Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
187763, 434, 0, 38.822886, 37.930557, 37.751377, 37.751377, 97.70, 99.53, 100.00
187811, 314, 0, 31.904010, 31.198049, 31.078359, 31.078359, 97.79, 99.62, 100.00
187812, 209, 0, 16.206484, 15.709780, 15.698080, 15.698080, 96.94, 99.93, 100.00
187815, 436, 0, 26.035370, 25.630211, 25.567364, 25.567364, 98.44, 99.75, 100.00
188921, 265, 0, 10.990750, 10.779195, 10.764606, 10.764606, 98.08, 99.86, 100.00
188951, 300, 0, 19.441951, 19.224859, 19.181669, 19.181669, 98.88, 99.78, 100.00
189027, 11, 0, 1.610070, 1.596110, 1.581320, 1.581320, 99.13, 99.07, 100.00
189028, 27, 0, 3.357740, 3.283750, 3.275220, 3.275220, 97.80, 99.74, 100.00
189049, 247, 0, 30.457027, 29.917350, 29.875450, 29.875450, 98.23, 99.86, 100.00
189079, 39, 0, 6.067250, 5.916830, 5.885770, 5.885770, 97.52, 99.48, 100.00
189090, 32, 0, 4.894506, 4.664539, 4.642126, 4.642126, 95.30, 99.52, 100.00
189184, 199, 0, 30.064020, 29.697770, 29.541870, 29.541870, 98.78, 99.48, 100.00
189207, 430, 0, 57.052740, 56.072900, 55.963950, 55.963950, 98.28, 99.81, 100.00
189242, 191, 0, 29.431096, 28.753996, 28.650414, 28.650414, 97.70, 99.64, 100.00
189280, 720, 0, 89.100480, 87.685440, 87.536860, 87.536860, 98.41, 99.83, 100.00
189288, 188, 0, 14.935660, 14.803470, 14.790500, 14.790500, 99.11, 99.91, 100.00
189372, 172, 0, 22.726000, 22.259660, 22.206160, 22.206160, 97.95, 99.76, 100.00
189421, 170, 0, 28.018840, 27.434310, 27.391510, 27.391510, 97.91, 99.84, 100.00
189425, 252, 0, 29.381939, 28.970693, 28.908563, 28.908563, 98.60, 99.79, 100.00
189481, 44, 0, 7.832630, 7.708160, 7.696760, 7.696760, 98.41, 99.85, 100.00
189483, 491, 0, 61.740430, 60.648100, 60.591840, 60.591840, 98.23, 99.91, 100.00
189530, 17, 0, 2.657470, 2.604900, 2.587130, 2.587130, 98.02, 99.32, 100.00
189536, 35, 0, 6.135793, 5.807608, 5.790428, 5.790428, 94.65, 99.70, 100.00
189561, 616, 0, 73.011846, 69.420410, 69.253152, 69.253152, 95.08, 99.76, 100.00
189598, 434, 0, 49.569680, 49.049920, 48.963630, 48.963630, 98.95, 99.82, 100.00
189602, 42, 0, 3.401060, 3.377850, 3.375220, 3.375220, 99.32, 99.92, 100.00
189610, 327, 0, 39.815312, 39.208458, 39.161008, 39.161008, 98.48, 99.88, 100.00
189639, 150, 0, 22.984400, 22.648200, 22.622300, 22.622300, 98.54, 99.89, 100.00
189660, 99, 0, 11.106590, 10.959960, 10.954230, 10.954230, 98.68, 99.95, 100.00
189693, 127, 0, 18.417800, 18.036900, 18.009700, 18.009700, 97.93, 99.85, 100.00
189719, 251, 0, 32.730686, 32.357102, 32.322362, 32.322362, 98.86, 99.89, 100.00
189751, 243, 0, 32.429559, 31.869906, 31.844121, 31.844121, 98.27, 99.92, 100.00
189781, 131, 0, 16.986993, 16.662870, 16.632370, 16.632370, 98.09, 99.82, 100.00
189813, 31, 0, 5.528710, 5.447460, 5.447460, 5.447460, 98.53, 100.00, 100.00
189822, 732, 0, 86.631919, 85.407906, 85.325306, 85.325306, 98.59, 99.90, 100.00
189836, 102, 0, 17.332100, 16.865200, 16.819600, 16.819600, 97.31, 99.73, 100.00
189845, 274, 0, 38.975798, 37.854408, 37.771178, 37.771178, 97.12, 99.78, 100.00
189875, 107, 0, 17.342790, 16.878380, 16.857260, 16.857260, 97.32, 99.87, 100.00
189963, 50, 0, 8.465938, 8.203304, 8.181214, 8.181214, 96.90, 99.73, 100.00
