25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            572.23686                                         0.80707                                           0.69908                                           -1.30110                                          1.42131                                           0.13748                                           2.68183                                           -0.02447                                          -0.02400                                          0.66200                                           -0.75912                                          -0.83499                                          -0.50028                                          0.69818                                           0.59934                                           1.21331                                           0.94295                                           0.13687                                           0.96111                                           1.44379                                           1.21633                                           0.39592                                           4.60946                                           
0.21 0.42                                         575.34188                                         0.72023                                           0.52077                                           -0.99580                                          1.22387                                           0.13847                                           2.19940                                           0.00533                                           -0.00876                                          0.65853                                           -0.80564                                          -0.96778                                          -0.81145                                          0.50144                                           0.81219                                           1.37008                                           0.59022                                           0.12551                                           0.88598                                           1.46245                                           1.07840                                           0.33705                                           4.20092                                           
0.42 0.63                                         574.92759                                         0.69579                                           0.46085                                           -1.11520                                          1.49815                                           0.13936                                           2.16123                                           -0.04792                                          0.03961                                           0.72965                                           -0.71752                                          -0.99287                                          -0.64922                                          0.57388                                           0.64128                                           1.55003                                           0.25550                                           0.10762                                           0.95041                                           1.51571                                           0.80809                                           0.34903                                           4.24791                                           
0.63 0.84                                         579.80253                                         0.75705                                           0.60405                                           -0.44700                                          1.42756                                           0.14088                                           2.87988                                           0.02193                                           0.03351                                           0.74218                                           -0.66216                                          -1.07712                                          -0.35813                                          0.52127                                           0.60827                                           1.77675                                           -0.05598                                          0.12212                                           0.95601                                           1.61935                                           1.00527                                           0.36077                                           4.65716                                           
0.84 1.05                                         578.81777                                         0.78153                                           0.62389                                           0.25253                                           1.85785                                           0.14151                                           3.09155                                           0.03676                                           0.01551                                           0.80929                                           -0.69818                                          -1.02376                                          -0.41296                                          0.53174                                           0.71191                                           2.01801                                           -0.34554                                          0.18225                                           1.00821                                           1.67999                                           0.78489                                           0.36245                                           5.04438                                           
1.05 1.37                                         593.01647                                         0.57039                                           0.42994                                           0.54715                                           2.19318                                           0.14511                                           1.71863                                           0.04104                                           -0.03455                                          0.95916                                           -0.61665                                          -1.25944                                          -0.37530                                          0.59185                                           0.60923                                           2.42876                                           -0.69422                                          0.12499                                           1.04193                                           1.82831                                           1.12737                                           0.27021                                           4.91827                                           
1.37 1.52                                         590.49651                                         0.78078                                           0.43715                                           -0.20043                                          2.86559                                           0.14533                                           1.90653                                           -0.05664                                          -0.03528                                          0.93845                                           -0.55550                                          -1.22460                                          0.18753                                           0.42702                                           0.77213                                           2.77964                                           -0.95981                                          0.13100                                           1.04604                                           1.97105                                           1.17438                                           0.37204                                           5.54685                                           
1.52 1.74                                         598.81156                                         0.65728                                           0.38427                                           -0.22213                                          2.04305                                           0.14638                                           1.69433                                           -0.02079                                          -0.06525                                          0.99617                                           -0.60404                                          -1.25150                                          -0.38810                                          0.53674                                           0.66899                                           3.13544                                           -1.16633                                          0.13001                                           1.07976                                           2.06516                                           1.09012                                           0.29942                                           5.38467                                           
1.74 1.95                                         595.72004                                         0.66677                                           0.39113                                           -0.05022                                          1.96373                                           0.14487                                           1.77311                                           0.01832                                           0.05438                                           0.89467                                           -0.51198                                          -1.20795                                          -0.42383                                          0.52239                                           0.67817                                           3.51654                                           -1.35993                                          0.13288                                           1.05946                                           2.14977                                           1.03834                                           0.29480                                           5.63526                                           
1.95 2.18                                         590.11009                                         0.61556                                           0.41545                                           -0.42141                                          2.37722                                           0.14833                                           2.03439                                           -0.05695                                          -0.17947                                          0.82210                                           -0.46553                                          -1.32382                                          -0.49326                                          0.59114                                           0.79796                                           3.92048                                           -1.52352                                          0.10524                                           0.91612                                           2.23354                                           1.07096                                           0.28848                                           6.23158                                           
2.18 2.4                                          564.10217                                         0.63299                                           0.34535                                           -0.05052                                          2.26202                                           0.13515                                           1.97935                                           -0.02991                                          -0.12702                                          0.80120                                           -0.49107                                          -1.11467                                          -0.73419                                          0.43657                                           0.62093                                           4.20935                                           -1.60288                                          0.10415                                           0.92952                                           2.22321                                           0.88834                                           0.29782                                           6.27819                                           
