25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            33.44683                                          0.19490                                           0.16513                                           -0.09291                                          0.08507                                           0.00320                                           0.39672                                           0.00581                                           0.01254                                           0.18157                                           -0.27591                                          -0.12135                                          -0.14279                                          0.13771                                           0.18814                                           0.09789                                           0.17134                                           0.01579                                           0.02908                                           0.10162                                           0.11279                                           0.03293                                           0.68077                                           
0.21 0.42                                         33.44979                                          0.16811                                           0.11749                                           -0.07492                                          0.07314                                           0.00320                                           0.30587                                           0.02365                                           -0.00640                                          0.19452                                           -0.24234                                          -0.12092                                          -0.14106                                          0.14370                                           0.03736                                           -0.00532                                          0.12688                                           0.01897                                           0.03093                                           0.10151                                           0.12102                                           0.03133                                           0.56164                                           
0.42 0.63                                         33.20204                                          0.16673                                           0.11538                                           -0.05958                                          0.08865                                           0.00317                                           0.29755                                           -0.00672                                          0.01407                                           0.14149                                           -0.19336                                          -0.11890                                          -0.12501                                          0.12815                                           0.03888                                           -0.06405                                          0.08194                                           0.01009                                           0.05043                                           0.09735                                           0.09291                                           0.03472                                           0.50139                                           
0.63 0.84                                         33.28346                                          0.18055                                           0.14407                                           -0.04766                                          0.08311                                           0.00317                                           0.38998                                           -0.02764                                          -0.02572                                          0.15834                                           -0.16946                                          -0.13410                                          -0.13708                                          0.13807                                           0.06088                                           -0.07933                                          0.03818                                           0.01162                                           0.05073                                           0.09120                                           0.11305                                           0.03493                                           0.57407                                           
0.84 1.05                                         32.75696                                          0.18288                                           0.15442                                           -0.01748                                          0.10514                                           0.00311                                           0.36964                                           0.02322                                           0.01966                                           0.20730                                           -0.19276                                          -0.15678                                          -0.15193                                          0.14471                                           0.11852                                           -0.04985                                          -0.00555                                          0.01663                                           0.04050                                           0.08301                                           0.09977                                           0.03546                                           0.59841                                           
1.05 1.37                                         33.49326                                          0.13464                                           0.10052                                           0.02184                                           0.12436                                           0.00344                                           0.17572                                           0.01087                                           -0.02327                                          0.20953                                           -0.16208                                          -0.13220                                          -0.09456                                          0.13144                                           0.07503                                           0.04834                                           -0.06111                                          0.01318                                           0.04228                                           0.07918                                           0.09008                                           0.02093                                           0.44715                                           
1.37 1.52                                         32.61457                                          0.17309                                           0.08687                                           -0.00417                                          0.15982                                           0.00311                                           0.19201                                           0.05812                                           -0.02396                                          0.18935                                           -0.12449                                          -0.13689                                          -0.11835                                          0.10003                                           0.05636                                           0.18999                                           -0.10719                                          0.00801                                           0.04922                                           0.08456                                           0.09957                                           0.03324                                           0.48935                                           
1.52 1.74                                         32.89262                                          0.14372                                           0.07027                                           -0.01768                                          0.11778                                           0.00318                                           0.16976                                           0.04122                                           0.09507                                           0.22857                                           -0.16853                                          -0.12562                                          -0.09747                                          0.12745                                           0.10355                                           0.34321                                           -0.14584                                          0.01125                                           0.06016                                           0.09411                                           0.09536                                           0.02579                                           0.59414                                           
1.74 1.95                                         31.98733                                          0.14836                                           0.06986                                           -0.00769                                          0.11130                                           0.00314                                           0.17780                                           0.03871                                           0.03739                                           0.23789                                           -0.16607                                          -0.12043                                          -0.10682                                          0.12636                                           0.09046                                           0.54614                                           -0.18433                                          0.01189                                           0.05647                                           0.11880                                           0.11443                                           0.02675                                           0.74133                                           
1.95 2.18                                         31.83480                                          0.14306                                           0.07757                                           -0.01481                                          0.13617                                           0.00348                                           0.19947                                           -0.03307                                          0.11999                                           0.22427                                           -0.17025                                          -0.12643                                          -0.09898                                          0.11707                                           0.08629                                           0.80526                                           -0.22658                                          0.01024                                           -0.06716                                          0.15265                                           0.08924                                           0.02573                                           0.97088                                           
2.18 2.4                                          29.97736                                          0.14524                                           0.07727                                           -0.00263                                          0.13203                                           0.00318                                           0.21432                                           0.04830                                           0.13409                                           0.21174                                           -0.14258                                          -0.14098                                          -0.09909                                          0.12595                                           0.11579                                           1.05510                                           -0.25476                                          0.01149                                           -0.10396                                          0.19616                                           0.07377                                           0.02767                                           1.20315                                           
