25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            102.42334                                         0.34395                                           0.27827                                           -0.23964                                          0.25883                                           0.05024                                           1.18237                                           -0.05181                                          -0.06335                                          -0.09132                                          0.13830                                           0.03506                                           1.08615                                           0.18278                                           -0.30164                                          -0.49780                                          1.34225                                           0.01381                                           0.57809                                           0.41687                                           0.39368                                           0.25327                                           2.39136                                           
0.21 0.42                                         102.65885                                         0.30386                                           0.20146                                           -0.19574                                          0.22053                                           0.05059                                           1.02673                                           0.01970                                           -0.01348                                          -0.08819                                          0.13437                                           0.13866                                           1.14753                                           0.22915                                           -0.06586                                          -0.65365                                          1.35050                                           0.03113                                           0.56656                                           0.42219                                           0.31936                                           0.21627                                           2.34598                                           
0.42 0.63                                         100.83386                                         0.30950                                           0.18876                                           -0.18977                                          0.26840                                           0.05024                                           1.02879                                           -0.02183                                          -0.01742                                          -0.06872                                          0.11225                                           -0.09238                                          1.13752                                           0.24609                                           -0.17326                                          -0.69833                                          1.29891                                           0.02031                                           0.58938                                           0.47220                                           0.38093                                           0.21609                                           2.35651                                           
0.63 0.84                                         104.15031                                         0.33387                                           0.24745                                           -0.03621                                          0.26672                                           0.05815                                           1.48972                                           0.03274                                           0.02310                                           -0.13697                                          0.14379                                           -0.06250                                          1.26746                                           0.23072                                           0.05441                                           -0.68064                                          1.27943                                           0.02138                                           0.60154                                           0.52295                                           0.34924                                           0.23023                                           2.64100                                           
0.84 1.05                                         103.88205                                         0.34005                                           0.26266                                           0.10404                                           0.34459                                           0.05234                                           1.53691                                           0.02007                                           -0.02745                                          -0.09378                                          0.09961                                           0.01599                                           1.32410                                           0.28023                                           -0.08695                                          -0.53978                                          1.18046                                           0.03139                                           0.66039                                           0.55472                                           0.47119                                           0.22871                                           2.66962                                           
1.05 1.37                                         106.82543                                         0.25361                                           0.17227                                           0.10671                                           0.41254                                           0.06435                                           0.95945                                           0.08333                                           -0.04548                                          -0.13721                                          0.11083                                           -0.09453                                          1.31497                                           0.28345                                           -0.04195                                          -0.22994                                          1.04039                                           0.02246                                           0.60874                                           0.58305                                           0.45448                                           0.15928                                           2.25266                                           
1.37 1.52                                         107.16961                                         0.33234                                           0.17333                                           -0.04799                                          0.53180                                           0.05426                                           0.99764                                           -0.06127                                          0.01529                                           -0.11781                                          0.08511                                           0.08282                                           1.41912                                           0.26242                                           -0.16208                                          0.19402                                           0.84314                                           0.04052                                           0.71856                                           0.58875                                           0.51246                                           0.21632                                           2.31882                                           
1.52 1.74                                         109.05619                                         0.27577                                           0.13977                                           -0.03540                                          0.38666                                           0.05521                                           0.82345                                           0.03414                                           0.07828                                           -0.12122                                          0.06929                                           0.02192                                           1.56186                                           0.35948                                           -0.07144                                          0.62881                                           0.66618                                           0.04216                                           0.77005                                           0.58898                                           0.37074                                           0.17997                                           2.32446                                           
1.74 1.95                                         110.84320                                         0.29809                                           0.15035                                           -0.01757                                          0.35601                                           0.05562                                           0.89239                                           -0.03129                                          0.06827                                           -0.08019                                          0.06781                                           0.10169                                           1.57820                                           0.27403                                           0.11104                                           1.25117                                           0.41555                                           0.04203                                           0.76959                                           0.54160                                           0.59286                                           0.17229                                           2.56143                                           
1.95 2.18                                         106.46644                                         0.27242                                           0.16486                                           -0.09713                                          0.41964                                           0.05341                                           0.96211                                           -0.06128                                          -0.17229                                          -0.17726                                          0.13059                                           0.12199                                           1.43940                                           0.26529                                           -0.03431                                          1.91292                                           0.10467                                           0.03244                                           0.73357                                           0.52702                                           0.54512                                           0.17194                                           2.86275                                           
2.18 2.4                                          96.99636                                          0.27088                                           0.15595                                           -0.03897                                          0.37722                                           0.04865                                           0.91440                                           -0.08153                                          -0.16524                                          -0.19455                                          -0.10759                                          0.13975                                           1.24495                                           0.23655                                           0.08137                                           2.50985                                           -0.21466                                          0.03053                                           0.69724                                           0.47763                                           0.42737                                           0.17740                                           3.16177                                           
