25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            91.89103                                          0.32530                                           0.28820                                           -0.22766                                          0.22581                                           0.00762                                           0.83482                                           0.00490                                           -0.01691                                          0.42109                                           -0.52636                                          -0.21019                                          -0.43708                                          0.12928                                           -0.04422                                          0.00273                                           -0.76099                                          0.02422                                           0.03638                                           0.14142                                           0.16931                                           0.06956                                           1.49197                                           
0.21 0.42                                         93.55937                                          0.29013                                           0.20351                                           -0.13079                                          0.19759                                           0.00776                                           0.68019                                           -0.01541                                          -0.01367                                          0.41617                                           -0.56995                                          -0.21746                                          -0.51441                                          0.06308                                           0.08301                                           0.04707                                           -0.47704                                          0.01607                                           0.02406                                           0.14200                                           0.18819                                           0.06500                                           1.29303                                           
0.42 0.63                                         93.95727                                          0.28728                                           0.23096                                           -0.19237                                          0.24217                                           0.00778                                           0.65253                                           -0.04727                                          -0.05439                                          0.41735                                           -0.44604                                          -0.22067                                          -0.49080                                          0.12994                                           -0.06987                                          0.10965                                           -0.23785                                          0.01911                                           0.01238                                           0.13729                                           0.20306                                           0.04957                                           1.18160                                           
0.63 0.84                                         92.62542                                          0.31019                                           0.24652                                           -0.11522                                          0.22625                                           0.00770                                           0.86315                                           0.01773                                           0.02710                                           0.52873                                           -0.48507                                          -0.23675                                          -0.48085                                          0.08787                                           0.05804                                           0.18724                                           -0.05367                                          0.01370                                           -0.01030                                          0.15158                                           0.23484                                           0.06497                                           1.34356                                           
0.84 1.05                                         92.99556                                          0.31873                                           0.24822                                           0.03448                                           0.29254                                           0.00772                                           0.82950                                           0.02041                                           -0.02472                                          0.47491                                           -0.45594                                          -0.23902                                          -0.46196                                          0.15043                                           -0.01894                                          0.28516                                           0.07043                                           0.02580                                           -0.01289                                          0.14380                                           0.17760                                           0.05766                                           1.30658                                           
1.05 1.37                                         96.49654                                          0.22726                                           0.15775                                           0.08405                                           0.35399                                           0.01379                                           0.42483                                           0.05773                                           0.04226                                           0.57483                                           -0.40690                                          -0.24407                                          -0.48128                                          0.11858                                           0.14000                                           0.44936                                           0.15113                                           0.02096                                           -0.00605                                          0.14796                                           0.14189                                           0.04066                                           1.19700                                           
1.37 1.52                                         95.56567                                          0.30734                                           0.17960                                           -0.01762                                          0.45645                                           0.00799                                           0.47335                                           -0.04784                                          0.10549                                           0.58239                                           -0.40910                                          -0.28237                                          -0.45951                                          0.12375                                           0.12164                                           0.60405                                           0.13987                                           0.01958                                           -0.07186                                          0.17141                                           0.19139                                           0.06021                                           1.32877                                           
1.52 1.74                                         96.86018                                          0.25597                                           0.15032                                           -0.02957                                          0.33024                                           0.00843                                           0.42355                                           0.10083                                           -0.08685                                          0.52887                                           -0.35706                                          -0.25150                                          -0.51199                                          0.12456                                           0.09536                                           0.75537                                           0.08145                                           0.02326                                           -0.12433                                          0.20235                                           0.12261                                           0.04555                                           1.31840                                           
1.74 1.95                                         95.04780                                          0.25672                                           0.12712                                           -0.00151                                          0.31878                                           0.00812                                           0.43325                                           -0.06233                                          0.02826                                           0.52222                                           -0.32931                                          -0.24508                                          -0.45459                                          0.09965                                           0.06172                                           0.92213                                           -0.04588                                          0.02854                                           -0.14793                                          0.27365                                           0.14907                                           0.05092                                           1.39524                                           
1.95 2.18                                         95.78231                                          0.25985                                           0.15534                                           -0.06616                                          0.39233                                           0.00823                                           0.56110                                           0.03945                                           0.04183                                           0.54664                                           -0.33683                                          -0.30667                                          -0.50879                                          0.13543                                           0.06105                                           1.13559                                           -0.23991                                          0.02919                                           -0.25419                                          0.34176                                           0.17544                                           0.04592                                           1.68824                                           
2.18 2.4                                          91.92526                                          0.25763                                           0.13944                                           -0.00873                                          0.37896                                           0.00816                                           0.54118                                           0.02972                                           0.05320                                           0.52134                                           -0.36253                                          -0.30969                                          -0.47867                                          0.06770                                           0.09224                                           1.31225                                           -0.48455                                          0.02681                                           -0.29866                                          0.39282                                           0.13701                                           0.05059                                           1.85027                                           
