25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            77.30414                                          0.30220                                           0.26281                                           -0.17764                                          0.24317                                           0.00642                                           0.71270                                           -0.01335                                          -0.01490                                          0.34740                                           0.45410                                           -0.17701                                          -0.40066                                          0.10774                                           0.06851                                           0.20607                                           -0.29844                                          0.02953                                           0.01587                                           0.12660                                           0.17935                                           0.06280                                           1.17812                                           
0.21 0.42                                         75.96674                                          0.25913                                           0.18382                                           -0.02651                                          0.17593                                           0.00632                                           0.55421                                           -0.01743                                          0.02042                                           0.29677                                           0.41778                                           -0.16220                                          -0.40233                                          0.08819                                           -0.04073                                          0.15224                                           -0.15194                                          0.01161                                           0.02761                                           0.12890                                           0.16640                                           0.05298                                           0.96325                                           
0.42 0.63                                         75.63662                                          0.25907                                           0.17651                                           -0.12557                                          0.20287                                           0.00630                                           0.51637                                           -0.02383                                          -0.01954                                          0.40214                                           0.41249                                           -0.16185                                          -0.36321                                          0.09111                                           0.03502                                           0.13244                                           -0.04010                                          0.02483                                           0.03633                                           0.13062                                           0.23004                                           0.04956                                           0.97403                                           
0.63 0.84                                         76.01481                                          0.27883                                           0.21579                                           -0.03427                                          0.23107                                           0.00673                                           0.70670                                           -0.02871                                          -0.02534                                          0.42283                                           0.41938                                           -0.18578                                          -0.40668                                          0.08909                                           0.10479                                           0.14492                                           0.04175                                           0.03367                                           0.02150                                           0.13290                                           0.24311                                           0.04910                                           1.13096                                           
0.84 1.05                                         72.93482                                          0.28188                                           0.23785                                           0.09464                                           0.23123                                           0.00609                                           0.65308                                           0.03370                                           -0.02627                                          0.41593                                           0.41016                                           -0.19227                                          -0.41481                                          0.11431                                           0.09394                                           0.18018                                           0.09030                                           0.04239                                           -0.01003                                          0.13427                                           0.16065                                           0.05709                                           1.09961                                           
1.05 1.37                                         72.98645                                          0.20628                                           0.14682                                           0.05117                                           0.28200                                           0.00609                                           0.33960                                           0.05472                                           0.07964                                           0.46856                                           0.31877                                           -0.19694                                          -0.36253                                          0.05416                                           0.06759                                           0.27482                                           0.11313                                           0.01695                                           -0.02265                                          0.13247                                           0.13585                                           0.03827                                           0.92405                                           
1.37 1.52                                         68.39443                                          0.26800                                           0.14701                                           0.03501                                           0.17360                                           0.00575                                           0.34509                                           -0.02109                                          -0.01130                                          0.46708                                           0.31954                                           -0.20980                                          -0.36650                                          0.09637                                           0.10438                                           0.37329                                           0.08935                                           0.01170                                           -0.06872                                          0.14832                                           0.19705                                           0.05878                                           0.95285                                           
1.52 1.74                                         67.99011                                          0.21980                                           0.12764                                           -0.01185                                          0.14928                                           0.00577                                           0.29217                                           -0.04978                                          -0.03402                                          0.38234                                           0.26085                                           -0.22837                                          -0.33904                                          0.10716                                           0.03419                                           0.48615                                           0.05239                                           0.01167                                           -0.10591                                          0.17582                                           0.10962                                           0.03967                                           0.90370                                           
1.74 1.95                                         66.88094                                          0.22696                                           0.11529                                           -0.03421                                          0.21463                                           0.00577                                           0.30039                                           -0.02506                                          -0.01378                                          0.37392                                           0.23546                                           -0.17680                                          -0.29806                                          0.06849                                           0.07157                                           0.63640                                           -0.01558                                          0.02178                                           -0.11625                                          0.22899                                           0.11232                                           0.04000                                           0.98116                                           
1.95 2.18                                         61.93235                                          0.21267                                           0.11786                                           -0.05921                                          0.20558                                           0.00549                                           0.33920                                           -0.01474                                          0.06328                                           0.35208                                           0.20886                                           -0.21646                                          -0.26952                                          0.07871                                           0.13630                                           0.76665                                           -0.10426                                          0.01962                                           -0.16546                                          0.30296                                           0.16062                                           0.04401                                           1.11208                                           
2.18 2.4                                          56.59719                                          0.20578                                           0.11692                                           0.00299                                           0.33015                                           0.00533                                           0.31838                                           0.03334                                           0.02146                                           0.35711                                           0.23408                                           -0.21467                                          -0.22905                                          0.06560                                           0.02618                                           0.89261                                           -0.20434                                          0.01948                                           -0.20495                                          0.35212                                           0.12417                                           0.04399                                           1.23844                                           
