30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            36.28502                                          0.19518                                           0.14357                                           -0.08377                                          0.05605                                           0.01876                                           0.01160                                           0.24850                                           0.06160                                           0.00733                                           0.00643                                           0.00849                                           0.14490                                           -0.27752                                          -0.20025                                          0.13212                                           0.50091                                           0.40015                                           0.27039                                           0.31354                                           0.48384                                           0.01330                                           0.15166                                           0.10456                                           0.22596                                           0.30823                                           0.15009                                           1.12774                                           
0.21 0.42                                         37.09129                                          0.16650                                           0.10391                                           -0.02631                                          0.05728                                           0.03711                                           0.01144                                           0.21271                                           0.02146                                           0.00751                                           0.02392                                           0.01944                                           0.14424                                           -0.28089                                          -0.19628                                          0.12822                                           0.51033                                           0.53436                                           0.41420                                           0.29941                                           0.34613                                           0.01795                                           0.14972                                           0.05357                                           0.21986                                           0.62479                                           0.13407                                           1.27551                                           
0.42 0.63                                         37.01671                                          0.16760                                           0.09599                                           -0.06214                                          0.05837                                           -0.00022                                          0.01202                                           0.20365                                           0.01988                                           0.00747                                           -0.00656                                          0.01218                                           0.18840                                           -0.29052                                          -0.19578                                          0.16201                                           0.59158                                           0.50432                                           0.52186                                           0.28477                                           0.26472                                           0.00848                                           0.14682                                           0.19458                                           0.21465                                           0.15698                                           0.13184                                           1.19107                                           
0.63 0.84                                         36.07442                                          0.17185                                           0.12266                                           -0.07524                                          0.05818                                           0.05413                                           0.01117                                           0.25391                                           0.02011                                           0.00733                                           0.02266                                           0.02259                                           0.19543                                           -0.27256                                          -0.17490                                          0.17573                                           0.52311                                           0.32967                                           0.58602                                           0.27070                                           0.24063                                           0.00697                                           0.14348                                           0.13283                                           0.20366                                           0.34715                                           0.14406                                           1.15975                                           
0.84 1.05                                         35.07778                                          0.17999                                           0.12703                                           0.02239                                           0.06042                                           0.04750                                           0.01056                                           0.23730                                           0.03112                                           0.00702                                           0.02449                                           0.02180                                           0.17436                                           -0.25592                                          -0.17408                                          0.10783                                           0.59262                                           0.42536                                           0.61764                                           0.26325                                           0.24432                                           0.01097                                           0.14749                                           0.12382                                           0.19202                                           0.19858                                           0.13702                                           1.18058                                           
1.05 1.37                                         35.89642                                          0.13109                                           0.06973                                           0.03983                                           0.06767                                           0.04337                                           0.01542                                           0.12124                                           0.03671                                           0.00716                                           0.01716                                           0.06984                                           0.19405                                           -0.18869                                          -0.19199                                          0.09119                                           0.64564                                           0.44873                                           0.65361                                           0.27916                                           0.25702                                           0.00972                                           0.11563                                           0.14035                                           0.16115                                           0.31197                                           0.10371                                           1.22861                                           
1.37 1.52                                         34.62698                                          0.17030                                           0.05468                                           -0.00413                                          0.06377                                           -0.07197                                          0.00995                                           0.13301                                           0.01973                                           0.00681                                           0.02626                                           0.03758                                           0.20619                                           -0.19419                                          -0.17236                                          0.10601                                           0.59371                                           0.35885                                           0.61277                                           0.28641                                           0.23453                                           0.02036                                           0.09589                                           0.09852                                           0.16244                                           0.39133                                           0.14297                                           1.16911                                           
1.52 1.74                                         33.99751                                          0.13865                                           0.04965                                           -0.02370                                          0.06742                                           0.01672                                           0.00945                                           0.11269                                           0.01547                                           0.00656                                           -0.00815                                          0.05444                                           0.19819                                           -0.19222                                          -0.17924                                          0.12383                                           0.63086                                           0.33691                                           0.56444                                           0.30012                                           0.21461                                           0.01345                                           0.08260                                           0.13431                                           0.15959                                           0.15315                                           0.10626                                           1.09504                                           
1.74 1.95                                         31.91141                                          0.14130                                           0.04220                                           0.00111                                           0.07837                                           0.04733                                           0.01914                                           0.11330                                           0.01867                                           0.00609                                           0.02103                                           0.05167                                           0.18777                                           -0.17335                                          -0.13415                                          0.11180                                           0.57298                                           0.42501                                           0.46484                                           0.30825                                           0.20581                                           0.01698                                           0.08865                                           0.12761                                           0.17428                                           0.05843                                           0.09620                                           1.02593                                           
1.95 2.18                                         30.79408                                          0.13293                                           0.05475                                           -0.01916                                          0.07381                                           0.08427                                           0.00862                                           0.13056                                           0.02273                                           0.00580                                           0.00945                                           0.03304                                           0.14945                                           -0.12840                                          -0.09188                                          -0.01012                                          0.50814                                           0.27307                                           0.35821                                           0.33001                                           0.26172                                           0.01109                                           0.13659                                           -0.01097                                          0.16885                                           0.43191                                           0.04012                                           0.97785                                           
2.18 2.4                                          27.27653                                          0.13124                                           0.05086                                           0.00479                                           0.07271                                           0.07501                                           0.00660                                           0.12270                                           0.02050                                           0.00505                                           0.04123                                           0.14446                                           0.20160                                           -0.18155                                          -0.14777                                          0.06278                                           0.53245                                           0.32152                                           0.21117                                           0.32769                                           0.34853                                           0.01823                                           0.03525                                           0.07290                                           0.17929                                           0.16569                                           0.11010                                           0.94337                                           
