30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            641.93916                                         0.86809                                           0.73420                                           -1.36787                                          0.86304                                           0.30885                                           0.18224                                           1.56967                                           1.08777                                           0.10959                                           -0.10740                                          0.04374                                           0.75029                                           -0.91045                                          -0.92784                                          1.89777                                           0.20882                                           0.83337                                           -0.18271                                          4.65935                                           2.07545                                           0.25322                                           1.10118                                           1.79181                                           1.77024                                           4.77646                                           1.03089                                           8.43193                                           
0.21 0.42                                         643.95220                                         0.77216                                           0.53809                                           -1.23645                                          0.93527                                           0.61491                                           0.25360                                           1.28800                                           0.37424                                           0.11080                                           -0.02320                                          0.02289                                           0.74712                                           -0.95008                                          -1.17214                                          1.78977                                           0.20176                                           0.83275                                           0.16737                                           4.24232                                           1.47965                                           0.23186                                           0.97044                                           1.80435                                           1.79868                                           6.35329                                           0.88421                                           8.97593                                           
0.42 0.63                                         643.12852                                         0.74547                                           0.47403                                           -1.34805                                          0.87733                                           -0.03542                                          0.18473                                           1.29519                                           0.34574                                           0.11115                                           -0.04657                                          0.03423                                           0.74485                                           -0.75288                                          -1.13012                                          1.97903                                           0.19425                                           0.85334                                           0.53269                                           3.85946                                           1.12249                                           0.21494                                           1.04857                                           1.66874                                           1.87857                                           4.03929                                           0.90863                                           7.26506                                           
0.63 0.84                                         650.08716                                         0.81052                                           0.63022                                           -0.49267                                          0.90582                                           0.95323                                           0.18653                                           1.79399                                           0.35775                                           0.11220                                           0.02702                                           -0.03317                                          0.78805                                           -0.71423                                          -1.24684                                          2.39153                                           0.16873                                           0.97838                                           0.92343                                           3.57394                                           1.01775                                           0.15197                                           0.92637                                           1.64908                                           1.96667                                           6.25940                                           0.96462                                           8.79751                                           
0.84 1.05                                         646.97878                                         0.83323                                           0.64711                                           0.11833                                           1.04136                                           0.79707                                           0.27987                                           1.76555                                           0.58379                                           0.11225                                           -0.04648                                          0.08618                                           0.91701                                           -0.84420                                          -1.07920                                          2.70040                                           0.22725                                           1.19527                                           1.31757                                           3.28511                                           1.02815                                           0.13912                                           1.15626                                           1.63894                                           2.15173                                           4.11738                                           0.99468                                           7.57637                                           
1.05 1.37                                         663.96360                                         0.60848                                           0.44165                                           0.73084                                           0.99690                                           0.69576                                           0.19187                                           0.99316                                           0.67953                                           0.11497                                           0.02801                                           0.02436                                           1.02281                                           -0.66446                                          -1.34666                                          2.49377                                           0.26679                                           0.84260                                           1.89088                                           3.09850                                           1.07528                                           0.17357                                           1.21605                                           1.77852                                           2.21856                                           5.34918                                           0.76438                                           8.19342                                           
1.37 1.52                                         660.38256                                         0.83282                                           0.43864                                           -0.37165                                          1.02479                                           -1.29136                                          0.19151                                           1.12965                                           0.37695                                           0.11436                                           -0.02076                                          -0.03848                                          1.07994                                           -0.62764                                          -1.08288                                          2.84950                                           0.32353                                           1.04127                                           2.37680                                           2.91453                                           1.00982                                           0.18997                                           1.31873                                           1.56021                                           2.38417                                           4.40216                                           1.02722                                           7.87724                                           
1.52 1.74                                         669.97742                                         0.70041                                           0.38816                                           -0.24785                                          1.08581                                           0.34690                                           0.19162                                           0.96282                                           0.30380                                           0.11522                                           -0.04461                                          -0.02453                                          1.08108                                           -0.65321                                          -1.04715                                          2.85154                                           0.39805                                           0.95545                                           2.82164                                           2.87253                                           0.94048                                           0.22144                                           1.45631                                           1.41475                                           2.44694                                           5.90613                                           0.86342                                           8.79558                                           
1.74 1.95                                         664.57756                                         0.70686                                           0.39265                                           -0.06298                                          1.14648                                           0.77468                                           0.18852                                           1.02220                                           0.38883                                           0.11399                                           0.00939                                           -0.05678                                          0.95575                                           -0.57740                                          -0.91556                                          2.66039                                           0.22582                                           1.03003                                           3.28734                                           2.80620                                           0.90108                                           0.23111                                           1.47452                                           1.17980                                           2.53985                                           6.81557                                           0.81976                                           9.50174                                           
1.95 2.18                                         656.96003                                         0.65064                                           0.42391                                           -0.46057                                          1.22622                                           1.80259                                           0.18209                                           1.05397                                           0.48369                                           0.11073                                           0.02803                                           -0.08112                                          0.90760                                           -0.53983                                          -0.99560                                          2.40776                                           0.37850                                           1.08241                                           3.76072                                           2.78984                                           1.11637                                           0.22686                                           1.46009                                           1.10520                                           2.58550                                           9.04401                                           0.79004                                           11.46478                                          
2.18 2.4                                          621.26713                                         0.66719                                           0.35001                                           -0.03783                                          1.25804                                           1.70439                                           0.16806                                           1.07858                                           0.46701                                           0.10222                                           -0.02948                                          -0.07586                                          0.86543                                           -0.55811                                          -0.89683                                          1.86849                                           0.10390                                           0.89059                                           4.06748                                           2.71239                                           1.59017                                           0.21382                                           1.42724                                           0.46969                                           2.53508                                           5.96196                                           0.74545                                           9.13558                                           
