30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            28.31128                                          0.18295                                           0.15207                                           -0.05468                                          0.03940                                           -0.01230                                          0.00275                                           0.18233                                           0.04823                                           0.00459                                           -0.00843                                          -0.01300                                          0.16653                                           0.22810                                           -0.11536                                          -0.11190                                          0.11675                                           -0.02548                                          0.09201                                           0.26495                                           0.35263                                           0.00780                                           0.04419                                           0.01731                                           0.08791                                           0.34494                                           0.08257                                           0.72276                                           
0.21 0.42                                         28.21918                                          0.15942                                           0.10930                                           -0.01606                                          0.03937                                           0.00173                                           0.00273                                           0.14628                                           0.01596                                           0.00458                                           0.01827                                           0.02218                                           0.17768                                           0.20473                                           -0.12256                                          -0.11716                                          0.09653                                           0.08229                                           0.28707                                           0.18431                                           0.24413                                           0.00817                                           0.03725                                           -0.01225                                          0.08483                                           0.21604                                           0.07298                                           0.62560                                           
0.42 0.63                                         27.61660                                          0.15660                                           0.10324                                           -0.02956                                          0.03891                                           -0.01392                                          0.00265                                           0.14141                                           0.01476                                           0.00448                                           0.02090                                           0.00391                                           0.14378                                           0.16575                                           -0.10450                                          -0.09745                                          0.11486                                           -0.06512                                          0.43093                                           0.11412                                           0.18537                                           0.00745                                           0.03500                                           0.06424                                           0.07640                                           0.08995                                           0.06429                                           0.61358                                           
0.63 0.84                                         27.22058                                          0.16602                                           0.13006                                           -0.01507                                          0.03921                                           -0.03097                                          0.00262                                           0.16522                                           0.01581                                           0.00442                                           -0.00575                                          0.01302                                           0.16628                                           0.16881                                           -0.10048                                          -0.10943                                          0.12273                                           0.12330                                           0.53197                                           0.05884                                           0.17617                                           0.01511                                           0.04747                                           -0.02934                                          0.07511                                           0.06389                                           0.07410                                           0.70139                                           
0.84 1.05                                         26.83843                                          0.17142                                           0.13551                                           0.04160                                           0.04124                                           0.00195                                           0.00257                                           0.17288                                           0.02468                                           0.00435                                           -0.01218                                          -0.01608                                          0.17838                                           0.16858                                           -0.13354                                          -0.10120                                          0.13578                                           0.12876                                           0.59017                                           0.01662                                           0.18576                                           0.01039                                           0.04327                                           -0.01090                                          0.06844                                           0.25600                                           0.07444                                           0.79813                                           
1.05 1.37                                         26.17738                                          0.12271                                           0.08757                                           0.01559                                           0.04090                                           -0.02382                                          0.00250                                           0.08274                                           0.02689                                           0.00425                                           -0.05329                                          -0.03731                                          0.15759                                           0.11485                                           -0.10686                                          -0.07931                                          0.11567                                           0.03504                                           0.60072                                           -0.01874                                          0.18924                                           0.00466                                           0.03284                                           -0.01107                                          0.06438                                           0.06073                                           0.04760                                           0.70757                                           
1.37 1.52                                         25.03312                                          0.15785                                           0.08681                                           0.00559                                           0.04078                                           -0.00011                                          0.00240                                           0.08803                                           0.01407                                           0.00406                                           0.06785                                           0.04779                                           0.18290                                           0.12877                                           -0.09766                                          -0.08479                                          0.12969                                           0.06667                                           0.54596                                           -0.03328                                          0.17319                                           0.00890                                           0.02544                                           -0.05059                                          0.06442                                           0.09173                                           0.06287                                           0.67904                                           
1.52 1.74                                         24.54384                                          0.12750                                           0.06105                                           -0.00933                                          0.04254                                           -0.00549                                          0.00238                                           0.06752                                           0.01149                                           0.00398                                           0.03196                                           0.05833                                           0.18183                                           0.12631                                           -0.13152                                          -0.10939                                          0.09474                                           0.04329                                           0.48104                                           -0.03523                                          0.15945                                           0.00809                                           0.03482                                           -0.06476                                          0.07560                                           0.12428                                           0.05011                                           0.62540                                           
1.74 1.95                                         23.84189                                          0.12921                                           0.06833                                           -0.01181                                          0.04497                                           -0.01952                                          0.00235                                           0.07151                                           0.01355                                           0.00387                                           -0.00965                                          -0.02112                                          0.15495                                           0.09493                                           -0.09307                                          -0.06903                                          0.11516                                           0.05726                                           0.37134                                           -0.02719                                          0.15694                                           0.00630                                           0.03171                                           0.01519                                           0.10772                                           0.18638                                           0.05178                                           0.53817                                           
1.95 2.18                                         21.74623                                          0.12219                                           0.06572                                           -0.01347                                          0.04630                                           0.00514                                           0.00222                                           0.07141                                           0.01589                                           0.00353                                           0.04308                                           0.10937                                           0.15905                                           0.12111                                           -0.11349                                          -0.04974                                          0.10265                                           0.14015                                           0.21395                                           -0.00814                                          0.18335                                           0.00682                                           0.03447                                           -0.04491                                          0.12330                                           0.25410                                           0.04758                                           0.52545                                           
2.18 2.4                                          19.60297                                          0.12191                                           0.06230                                           0.00485                                           0.04784                                           -0.00223                                          0.00209                                           0.07708                                           0.01397                                           0.00318                                           0.03370                                           0.05212                                           0.14966                                           0.11815                                           -0.10578                                          -0.07706                                          0.09369                                           0.06986                                           0.04465                                           0.01755                                           0.24416                                           0.00989                                           0.05636                                           -0.01997                                          0.16203                                           0.24296                                           0.04560                                           0.48610                                           
