30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            581.29615                                         0.81933                                           0.71639                                           -1.31305                                          0.77546                                           0.27855                                           0.14763                                           1.42238                                           0.98487                                           0.09520                                           -0.02606                                          -0.02318                                          0.67333                                           -0.77036                                          -1.01038                                          -0.66863                                          0.70784                                           0.60046                                           -0.63486                                          0.78661                                           1.81350                                           0.14320                                           1.16795                                           0.14780                                           1.28249                                           1.49595                                           0.69210                                           4.40414                                           
0.21 0.42                                         583.59290                                         0.73015                                           0.53211                                           -1.03278                                          0.78006                                           0.55304                                           0.14845                                           1.18807                                           0.33907                                           0.09600                                           0.00502                                           -0.00888                                          0.66856                                           -0.82726                                          -1.09385                                          -0.86448                                          0.52037                                           0.79554                                           -0.31531                                          0.56035                                           1.29521                                           0.12816                                           1.11273                                           0.02151                                           1.30533                                           2.32239                                           0.60475                                           4.31392                                           
0.42 0.63                                         583.23941                                         0.70545                                           0.47099                                           -1.15917                                          0.78936                                           -0.02977                                          0.14944                                           1.18650                                           0.31347                                           0.09648                                           -0.04675                                          0.03831                                           0.74597                                           -0.73090                                          -1.13830                                          -0.69942                                          0.57038                                           0.66320                                           -0.00830                                          0.33926                                           0.98010                                           0.10924                                           1.16679                                           0.25027                                           1.37036                                           0.98198                                           0.58840                                           3.61548                                           
0.63 0.84                                         587.29903                                         0.76636                                           0.61548                                           -0.32332                                          0.81420                                           0.85115                                           0.15105                                           1.61658                                           0.32322                                           0.09718                                           0.01419                                           0.02684                                           0.76063                                           -0.68072                                          -1.21507                                          -0.54399                                          0.52729                                           0.64124                                           0.28545                                           0.12788                                           0.87887                                           0.12542                                           1.15317                                           0.04876                                           1.45843                                           1.37066                                           0.63858                                           3.84147                                           
0.84 1.05                                         585.63975                                         0.79034                                           0.63430                                           0.19216                                           0.86721                                           0.78282                                           0.15222                                           1.65702                                           0.52712                                           0.09718                                           0.04422                                           0.01280                                           0.82132                                           -0.70342                                          -1.15871                                          -0.49618                                          0.53157                                           0.76898                                           0.56252                                           -0.07711                                          0.88537                                           0.15542                                           1.21656                                           0.03690                                           1.53187                                           1.69160                                           0.68485                                           4.09676                                           
1.05 1.37                                         601.43219                                         0.57798                                           0.43884                                           0.61630                                           0.90066                                           0.62239                                           0.15546                                           0.92350                                           0.61565                                           0.09931                                           0.04117                                           -0.03756                                          0.97929                                           -0.62907                                          -1.34043                                          -0.50841                                          0.61115                                           0.61413                                           0.91565                                           -0.33189                                          0.92522                                           0.12671                                           1.25878                                           0.09859                                           1.68315                                           1.48717                                           0.47504                                           3.98571                                           
1.37 1.52                                         599.12767                                         0.79151                                           0.44653                                           -0.23586                                          0.92668                                           -1.14941                                          0.15567                                           1.03167                                           0.34195                                           0.09972                                           -0.06075                                          -0.04193                                          0.95370                                           -0.56792                                          -1.15630                                          -0.33583                                          0.43954                                           0.76419                                           1.19011                                           -0.54224                                          0.86962                                           0.13150                                           1.24327                                           -0.08491                                          1.83550                                           1.51412                                           0.64517                                           4.15085                                           
1.52 1.74                                         607.47129                                         0.66614                                           0.39203                                           -0.21862                                          0.98484                                           0.31567                                           0.15675                                           0.90652                                           0.27556                                           0.10096                                           -0.02799                                          -0.05751                                          1.00502                                           -0.61214                                          -1.22320                                          -0.40379                                          0.56417                                           0.69123                                           1.41476                                           -0.71093                                          0.80716                                           0.13165                                           1.28034                                           -0.22701                                          1.93253                                           1.82170                                           0.56631                                           4.27648                                           
1.74 1.95                                         604.44965                                         0.67588                                           0.39930                                           -0.04335                                          1.04455                                           0.69913                                           0.15504                                           0.98333                                           0.35362                                           0.10057                                           0.02273                                           0.05213                                           0.90904                                           -0.52206                                          -0.96014                                          -0.57116                                          0.54780                                           0.67103                                           1.63314                                           -0.88515                                          0.76931                                           0.13565                                           1.25690                                           -0.33313                                          2.02698                                           2.91201                                           0.53628                                           4.95939                                           
1.95 2.18                                         598.70904                                         0.62378                                           0.42400                                           -0.42422                                          1.12040                                           1.62775                                           0.15245                                           0.99184                                           0.44078                                           0.09895                                           -0.06270                                          -0.18790                                          0.83921                                           -0.48005                                          -1.17207                                          -0.57939                                          0.60875                                           0.81130                                           1.82933                                           -1.04747                                          0.94947                                           0.10631                                           1.15061                                           -0.51087                                          2.13166                                           2.89531                                           0.52840                                           5.41620                                           
2.18 2.4                                          571.40457                                         0.64057                                           0.35052                                           -0.04549                                          1.16476                                           1.55976                                           0.14352                                           1.03892                                           0.42948                                           0.09327                                           -0.03103                                          -0.12538                                          0.80561                                           -0.50767                                          -1.06283                                          -0.87177                                          0.44599                                           0.63383                                           1.93582                                           -1.15690                                          1.36843                                           0.10570                                           1.14703                                           -0.68408                                          2.10614                                           2.42956                                           0.55988                                           5.29401                                           
