30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            170.45067                                         0.45116                                           0.40420                                           -0.38947                                          0.22200                                           0.07780                                           0.02173                                           0.82704                                           0.28784                                           0.04320                                           -0.03433                                          -0.01590                                          0.01519                                           0.11357                                           -0.24157                                          -0.72416                                          0.08859                                           -0.01739                                          -0.43274                                          -0.39799                                          0.92120                                           0.03564                                           0.18436                                           -0.21107                                          0.15868                                           0.50385                                           0.20201                                           1.82729                                           
0.21 0.42                                         169.38109                                         0.38225                                           0.29132                                           -0.26658                                          0.22140                                           0.15682                                           0.02163                                           0.66670                                           0.09844                                           0.04293                                           -0.04483                                          0.01232                                           0.07378                                           0.04520                                           -0.19999                                          -0.67812                                          0.09512                                           -0.02997                                          -0.24372                                          -0.64676                                          0.64309                                           0.03619                                           0.20107                                           -0.39706                                          0.17443                                           0.42080                                           0.17261                                           1.59167                                           
0.42 0.63                                         169.83446                                         0.38187                                           0.29044                                           -0.31634                                          0.22417                                           -0.00775                                          0.02167                                           0.67331                                           0.09133                                           0.04305                                           0.02016                                           0.05073                                           0.12201                                           -0.05928                                          -0.25051                                          -0.75563                                          0.03874                                           0.15589                                           -0.11447                                          -0.85917                                          0.49189                                           0.01545                                           0.20379                                           -0.35857                                          0.16616                                           0.32896                                           0.18117                                           1.64678                                           
0.63 0.84                                         171.14604                                         0.42302                                           0.34224                                           -0.09488                                          0.23116                                           0.24175                                           0.02227                                           0.87749                                           0.09420                                           0.04338                                           -0.02367                                          0.00832                                           0.08746                                           -0.02030                                          -0.26199                                          -0.71946                                          0.06278                                           0.11076                                           -0.04179                                          -1.03655                                          0.45785                                           0.04181                                           0.19398                                           -0.21147                                          0.18079                                           0.50095                                           0.19358                                           1.82248                                           
0.84 1.05                                         170.34309                                         0.42838                                           0.33440                                           0.00914                                           0.24536                                           0.21976                                           0.02243                                           0.88279                                           0.15282                                           0.04318                                           -0.01272                                          -0.03354                                          0.08531                                           -0.05014                                          -0.27350                                          -0.71693                                          0.02685                                           -0.12248                                          -0.02544                                          -1.16024                                          0.47507                                           0.07726                                           0.23314                                           -0.27339                                          0.21547                                           0.33505                                           0.20730                                           1.88421                                           
1.05 1.37                                         174.07574                                         0.32205                                           0.23448                                           0.15297                                           0.25506                                           0.17295                                           0.02258                                           0.48303                                           0.17787                                           0.04412                                           -0.06684                                          -0.07056                                          0.16956                                           -0.03403                                          -0.29028                                          -0.75305                                          0.04024                                           0.01287                                           -0.08841                                          -1.29110                                          0.50283                                           0.04313                                           0.23503                                           -0.32761                                          0.27568                                           0.40515                                           0.13562                                           1.86649                                           
1.37 1.52                                         174.34125                                         0.43495                                           0.24306                                           -0.05916                                          0.26459                                           -0.32442                                          0.02270                                           0.56222                                           0.09960                                           0.04419                                           -0.03742                                          -0.18164                                          0.11623                                           -0.03941                                          -0.30377                                          -0.72739                                          0.14436                                           0.16184                                           -0.22179                                          -1.33029                                          0.47958                                           0.02123                                           0.20390                                           -0.49209                                          0.33992                                           0.64824                                           0.19299                                           2.04700                                           
1.52 1.74                                         177.35691                                         0.35776                                           0.19801                                           -0.05945                                          0.28318                                           0.09047                                           0.02371                                           0.53577                                           0.08048                                           0.04495                                           -0.13706                                          -0.11820                                          0.19783                                           -0.07481                                          -0.32070                                          -0.83227                                          0.07471                                           -0.04122                                          -0.38468                                          -1.34515                                          0.45129                                           0.02137                                           0.24437                                           -0.44455                                          0.39765                                           0.55992                                           0.16024                                           2.05517                                           
1.74 1.95                                         175.80993                                         0.35969                                           0.22304                                           -0.01422                                          0.31281                                           0.20194                                           0.02315                                           0.55030                                           0.10285                                           0.04456                                           0.03338                                           -0.12280                                          0.11555                                           0.04512                                           -0.22005                                          -0.79182                                          0.04309                                           -0.07148                                          -0.62200                                          -1.28239                                          0.43537                                           0.02938                                           0.25852                                           -0.53156                                          0.44726                                           0.38852                                           0.15554                                           2.04080                                           
1.95 2.18                                         176.95427                                         0.37385                                           0.21435                                           -0.10618                                          0.32777                                           0.47440                                           0.02374                                           0.60169                                           0.13023                                           0.04485                                           -0.02331                                          -0.32623                                          0.07871                                           0.02895                                           -0.24094                                          -0.79755                                          0.02483                                           -0.06948                                          -0.93825                                          -1.19155                                          0.54593                                           0.04305                                           0.27694                                           -0.60942                                          0.46449                                           0.60609                                           0.15546                                           2.28915                                           
2.18 2.4                                          175.18747                                         0.36768                                           0.23575                                           -0.01285                                          0.34967                                           0.47695                                           0.02593                                           0.64244                                           0.13176                                           0.04440                                           -0.12254                                          -0.43823                                          -0.07785                                          -0.12112                                          -0.29717                                          -0.82559                                          0.05473                                           -0.02968                                          -1.31162                                          -1.03091                                          0.80539                                           0.03726                                           0.30825                                           -0.48019                                          0.44196                                           0.60876                                           0.16233                                           2.48814                                           
