30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            65.08487                                          0.28667                                           0.21542                                           -0.15727                                          0.08841                                           -0.02707                                          0.03525                                           0.42321                                           0.11214                                           0.03723                                           0.02606                                           0.02364                                           -0.07285                                          -0.07880                                          0.06320                                           0.53290                                           0.16709                                           -0.01811                                          -0.82964                                          1.16616                                           0.42343                                           0.01906                                           0.54141                                           0.32149                                           0.30538                                           0.23599                                           0.35432                                           1.87132                                           
0.21 0.42                                         66.22609                                          0.24894                                           0.16789                                           -0.08299                                          0.08935                                           0.00474                                           0.03558                                           0.36656                                           0.03721                                           0.03788                                           -0.02358                                          0.02719                                           -0.07892                                          -0.12747                                          0.04839                                           0.59651                                           0.10002                                           -0.03308                                          -0.78336                                          0.80734                                           0.30080                                           0.02641                                           0.57951                                           0.44045                                           0.28475                                           0.70220                                           0.29729                                           1.76736                                           
0.42 0.63                                         64.12429                                          0.25153                                           0.14458                                           -0.10381                                          0.08888                                           -0.03397                                          0.03507                                           0.37070                                           0.03454                                           0.03668                                           -0.03474                                          0.02301                                           -0.16655                                          -0.14939                                          0.11546                                           0.58693                                           0.16344                                           0.09189                                           -0.71116                                          0.47145                                           0.22706                                           0.01567                                           0.55570                                           0.30084                                           0.33472                                           0.27890                                           0.30224                                           1.44464                                           
0.63 0.84                                         62.48589                                          0.26795                                           0.18557                                           -0.04948                                          0.08863                                           -0.08113                                          0.03446                                           0.51803                                           0.03630                                           0.03574                                           0.01545                                           0.01466                                           -0.10525                                          -0.10484                                          0.04718                                           0.62573                                           0.17473                                           -0.14212                                          -0.65812                                          0.21260                                           0.21311                                           0.01758                                           0.52818                                           0.41231                                           0.35327                                           0.24643                                           0.32631                                           1.43370                                           
0.84 1.05                                         60.15381                                          0.26382                                           0.18438                                           0.08243                                           0.09228                                           0.00371                                           0.03378                                           0.52693                                           0.05610                                           0.03441                                           -0.02097                                          0.01722                                           -0.13395                                          -0.13740                                          0.09713                                           0.70664                                           0.14665                                           0.03480                                           -0.61083                                          0.02051                                           0.21868                                           0.03091                                           0.54291                                           0.30889                                           0.40313                                           0.41792                                           0.32225                                           1.46798                                           
1.05 1.37                                         57.90593                                          0.19405                                           0.11746                                           0.04228                                           0.08920                                           -0.05622                                          0.03274                                           0.25343                                           0.05971                                           0.03312                                           -0.13173                                          -0.07371                                          -0.18580                                          -0.11117                                          -0.03336                                          0.62208                                           0.13530                                           0.03134                                           -0.57528                                          -0.13053                                          0.21936                                           0.03320                                           0.46296                                           0.33395                                           0.40444                                           0.29115                                           0.22190                                           1.26268                                           
1.37 1.52                                         57.04980                                          0.25503                                           0.11245                                           0.00350                                           0.08945                                           -0.00010                                          0.03215                                           0.28800                                           0.03231                                           0.03263                                           -0.08328                                          -0.10037                                          -0.17232                                          -0.10675                                          0.09957                                           0.69358                                           0.16301                                           0.09037                                           -0.56936                                          -0.19236                                          0.20660                                           0.01251                                           0.55032                                           0.45830                                           0.38611                                           0.50473                                           0.29093                                           1.44774                                           
1.52 1.74                                         54.80335                                          0.20218                                           0.08752                                           -0.02691                                          0.08977                                           -0.01393                                          0.03113                                           0.22459                                           0.02556                                           0.03135                                           0.05261                                           -0.03363                                          -0.09650                                          -0.08991                                          0.09502                                           0.69967                                           0.13869                                           -0.06870                                          -0.55760                                          -0.19011                                          0.18591                                           0.01765                                           0.56778                                           0.19125                                           0.39036                                           0.76949                                           0.25765                                           1.47148                                           
1.74 1.95                                         53.13442                                          0.20736                                           0.10231                                           -0.03598                                          0.09081                                           -0.04389                                          0.03004                                           0.22897                                           0.03006                                           0.03039                                           -0.01467                                          -0.03964                                          -0.07819                                          -0.04042                                          0.11367                                           0.69640                                           0.14003                                           0.14932                                           -0.56196                                          -0.14428                                          0.18121                                           0.01475                                           0.54250                                           0.40175                                           0.36442                                           0.54081                                           0.23106                                           1.38941                                           
1.95 2.18                                         50.42422                                          0.19587                                           0.10040                                           -0.05123                                          0.09147                                           0.00943                                           0.02848                                           0.23582                                           0.03661                                           0.02884                                           -0.04429                                          -0.04858                                          -0.10597                                          -0.04627                                          0.10118                                           0.65126                                           0.17592                                           -0.12017                                          -0.56388                                          -0.04943                                          0.21851                                           0.03531                                           0.50068                                           0.28331                                           0.33628                                           0.54894                                           0.23376                                           1.32160                                           
2.18 2.4                                          48.44398                                          0.19800                                           0.09561                                           0.02953                                           0.09263                                           -0.00280                                          0.02708                                           0.24851                                           0.03446                                           0.02771                                           0.01481                                           -0.06400                                          -0.05585                                          -0.03898                                          0.17659                                           0.73079                                           0.11713                                           0.01669                                           -0.58170                                          0.08734                                           0.30963                                           0.02679                                           0.45705                                           0.23935                                           0.29204                                           0.34463                                           0.22703                                           1.27890                                           
