30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            93.29484                                          0.33020                                           0.29511                                           -0.22954                                          0.12429                                           0.04492                                           0.00841                                           0.45129                                           0.15794                                           0.01494                                           0.00528                                           -0.01712                                          0.42621                                           -0.53583                                          -0.29173                                          -0.38791                                          0.13128                                           0.02855                                           0.27158                                           -0.85511                                          0.46785                                           0.02510                                           0.04881                                           -0.09032                                          0.12768                                           0.20305                                           0.12306                                           1.48881                                           
0.21 0.42                                         94.86163                                          0.29286                                           0.22345                                           -0.13618                                          0.12665                                           0.08744                                           0.00855                                           0.37547                                           0.05506                                           0.01519                                           -0.02053                                          -0.01752                                          0.42702                                           -0.58156                                          -0.30733                                          -0.45307                                          0.05972                                           0.07329                                           0.20384                                           -0.47588                                          0.33333                                           0.01639                                           0.02614                                           -0.07165                                          0.12722                                           0.30244                                           0.11544                                           1.25404                                           
0.42 0.63                                         95.19515                                          0.29255                                           0.21034                                           -0.20132                                          0.12851                                           -0.00391                                          0.00858                                           0.37002                                           0.05115                                           0.01524                                           -0.04568                                          -0.05203                                          0.43033                                           -0.44856                                          -0.30936                                          -0.46104                                          0.13658                                           -0.07135                                          0.17498                                           -0.16939                                          0.25664                                           0.01946                                           0.01513                                           -0.17369                                          0.12656                                           0.21671                                           0.10633                                           1.09296                                           
0.63 0.84                                         93.69772                                          0.30968                                           0.24681                                           -0.09540                                          0.12960                                           0.13322                                           0.00861                                           0.44316                                           0.05162                                           0.01500                                           0.01967                                           0.02872                                           0.53719                                           -0.48848                                          -0.33896                                          -0.45366                                          0.08709                                           0.05441                                           0.18542                                           0.05114                                           0.23648                                           0.01351                                           0.01227                                           -0.24006                                          0.13750                                           0.25153                                           0.12875                                           1.18878                                           
0.84 1.05                                         93.98536                                          0.31900                                           0.26545                                           0.01984                                           0.13927                                           0.12179                                           0.00848                                           0.44420                                           0.08407                                           0.01505                                           0.02374                                           0.03009                                           0.49314                                           -0.46925                                          -0.33459                                          -0.36953                                          0.14840                                           -0.01095                                          0.24164                                           0.18411                                           0.24937                                           0.02220                                           0.02168                                           -0.23633                                          0.13179                                           0.16307                                           0.12200                                           1.14691                                           
1.05 1.37                                         97.74437                                          0.23580                                           0.15002                                           0.08957                                           0.14603                                           0.09848                                           0.00905                                           0.23602                                           0.10012                                           0.01565                                           0.05112                                           -0.03366                                          0.57719                                           -0.40585                                          -0.34602                                          -0.42739                                          0.11252                                           0.14206                                           0.38731                                           0.23856                                           0.26954                                           0.02185                                           0.01581                                           -0.19580                                          0.13722                                           0.38570                                           0.08072                                           1.20714                                           
1.37 1.52                                         96.87689                                          0.31824                                           0.18242                                           -0.02058                                          0.15032                                           -0.18067                                          0.00960                                           0.26595                                           0.05524                                           0.01551                                           -0.04833                                          0.10995                                           0.59160                                           -0.40782                                          -0.35357                                          -0.40655                                          0.12538                                           0.10820                                           0.56168                                           0.16012                                           0.25504                                           0.02029                                           0.08659                                           -0.16305                                          0.16038                                           0.32987                                           0.12480                                           1.26582                                           
1.52 1.74                                         98.18230                                          0.25875                                           0.14649                                           -0.02733                                          0.16069                                           0.04787                                           0.00897                                           0.22640                                           0.04463                                           0.01572                                           0.10361                                           -0.08958                                          0.53691                                           -0.36074                                          -0.35555                                          -0.46135                                          0.12753                                           0.09565                                           0.75015                                           0.02251                                           0.24028                                           0.02325                                           0.16361                                           -0.16305                                          0.19205                                           0.20638                                           0.09495                                           1.29193                                           
1.74 1.95                                         96.38210                                          0.26174                                           0.14061                                           -0.00052                                          0.17168                                           0.10981                                           0.00967                                           0.24051                                           0.05645                                           0.01543                                           -0.05825                                          0.02987                                           0.52924                                           -0.33529                                          -0.33099                                          -0.44252                                          0.10245                                           0.06764                                           0.98520                                           -0.22306                                          0.23197                                           0.02878                                           0.20836                                           -0.15173                                          0.26412                                           0.13621                                           0.09321                                           1.44166                                           
1.95 2.18                                         97.10797                                          0.25632                                           0.13557                                           -0.06422                                          0.19039                                           0.26003                                           0.00909                                           0.28881                                           0.07175                                           0.01555                                           0.04159                                           0.03273                                           0.55481                                           -0.34139                                          -0.38690                                          -0.50415                                          0.13646                                           0.05992                                           1.29669                                           -0.57359                                          0.29242                                           0.02937                                           0.35156                                           -0.22474                                          0.33146                                           0.35464                                           0.09768                                           1.89329                                           
2.18 2.4                                          93.03592                                          0.25579                                           0.13223                                           -0.00671                                          0.20118                                           0.25176                                           0.00887                                           0.28845                                           0.06985                                           0.01490                                           0.03137                                           0.04987                                           0.53346                                           -0.37033                                          -0.36560                                          -0.46207                                          0.06711                                           0.08335                                           1.58794                                           -0.98767                                          0.41529                                           0.02727                                           0.42175                                           -0.28017                                          0.38044                                           0.65125                                           0.10155                                           2.34508                                           
