30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            57.85629                                          0.27133                                           0.15286                                           -0.15049                                          0.08068                                           0.02972                                           0.03582                                           0.60939                                           0.09820                                           0.05011                                           0.03481                                           0.07706                                           -0.06963                                          0.05086                                           0.34555                                           2.46253                                           0.57278                                           0.10317                                           -0.44204                                          2.34452                                           0.74007                                           0.06247                                           0.31952                                           1.30140                                           0.40428                                           0.76467                                           0.61523                                           4.01760                                           
0.21 0.42                                         57.25228                                          0.23436                                           0.09698                                           -0.08674                                          0.08039                                           0.05751                                           0.03570                                           0.44284                                           0.03336                                           0.04959                                           -0.01125                                          0.03298                                           -0.03289                                          0.08698                                           0.32645                                           2.32206                                           0.46122                                           -0.34609                                          -0.35773                                          2.10204                                           0.51287                                           0.07407                                           0.29347                                           1.51271                                           0.42123                                           0.96958                                           0.54674                                           3.83072                                           
0.42 0.63                                         58.26094                                          0.23097                                           0.09288                                           -0.17361                                          0.08239                                           -0.00379                                          0.03634                                           0.45524                                           0.03139                                           0.05046                                           0.01948                                           -0.00223                                          -0.07326                                          0.10087                                           0.29058                                           2.48331                                           0.29267                                           -0.03437                                          -0.27834                                          1.98485                                           0.40617                                           0.05384                                           0.29376                                           1.10736                                           0.41655                                           0.89950                                           0.50268                                           3.65302                                           
0.63 0.84                                         60.66058                                          0.25212                                           0.14264                                           -0.12113                                          0.08654                                           0.09776                                           0.03762                                           0.62459                                           0.03339                                           0.05254                                           0.03141                                           -0.01710                                          -0.11969                                          0.10461                                           0.25041                                           2.53873                                           0.37408                                           0.24642                                           -0.19580                                          1.97644                                           0.40406                                           0.05811                                           0.33570                                           1.41741                                           0.42370                                           1.54063                                           0.57264                                           4.03690                                           
0.84 1.05                                         60.03371                                          0.24780                                           0.13956                                           0.03856                                           0.09139                                           0.09467                                           0.03756                                           0.60743                                           0.05523                                           0.05200                                           0.03401                                           0.02459                                           -0.16359                                          0.10764                                           0.45876                                           2.83005                                           0.46290                                           0.32642                                           -0.09601                                          1.93648                                           0.42351                                           0.03967                                           0.50395                                           1.42992                                           0.44724                                           0.56125                                           0.59342                                           4.01259                                           
1.05 1.37                                         60.60804                                          0.18818                                           0.06588                                           0.08982                                           0.09121                                           0.06726                                           0.03778                                           0.31528                                           0.06200                                           0.05249                                           0.02506                                           0.07890                                           -0.13637                                          0.08488                                           0.26927                                           2.65246                                           0.42086                                           0.11763                                           0.03445                                           2.03051                                           0.44348                                           0.04869                                           0.38208                                           1.30846                                           0.43904                                           1.52673                                           0.41360                                           4.04232                                           
1.37 1.52                                         59.92664                                          0.24324                                           0.04404                                           -0.09951                                          0.09195                                           -0.12979                                          0.03763                                           0.37277                                           0.03425                                           0.05190                                           0.08158                                           0.06494                                           -0.06993                                          0.07197                                           0.39626                                           2.88262                                           0.47542                                           -0.25661                                          0.15555                                           2.16655                                           0.41765                                           0.03583                                           0.51238                                           1.24985                                           0.45690                                           1.57579                                           0.55839                                           4.32238                                           
1.52 1.74                                         61.05294                                          0.20698                                           0.01812                                           -0.02087                                          0.09603                                           0.03548                                           0.03798                                           0.32177                                           0.02761                                           0.05288                                           -0.07343                                          -0.05826                                          -0.19953                                          0.10161                                           0.50674                                           3.03218                                           0.49138                                           0.03919                                           0.26015                                           2.39713                                           0.39727                                           0.03894                                           0.63563                                           1.39424                                           0.43512                                           2.24567                                           0.48356                                           4.86415                                           
1.74 1.95                                         58.58195                                          0.20305                                           0.04533                                           -0.01158                                          0.09616                                           0.07208                                           0.03660                                           0.30594                                           0.03431                                           0.05074                                           -0.01765                                          -0.04764                                          -0.12234                                          0.05436                                           0.49867                                           2.84510                                           0.29637                                           0.13642                                           0.36751                                           2.57812                                           0.38268                                           0.04150                                           0.65130                                           1.46326                                           0.42740                                           3.21112                                           0.50689                                           5.36951                                           
1.95 2.18                                         56.92784                                          0.18635                                           0.02839                                           -0.03101                                          0.09742                                           0.16703                                           0.03503                                           0.33221                                           0.04196                                           0.04931                                           0.06501                                           0.07112                                           -0.14657                                          0.06063                                           0.59585                                           2.77246                                           0.48634                                           0.11139                                           0.47923                                           2.85347                                           0.47483                                           0.04505                                           0.68550                                           1.41132                                           0.37966                                           4.48993                                           0.46006                                           6.32901                                           
2.18 2.4                                          49.86243                                          0.18857                                           0.02616                                           -0.00689                                          0.10000                                           0.15537                                           0.04054                                           0.31942                                           0.03753                                           0.04319                                           -0.01563                                          0.16521                                           -0.14820                                          0.06181                                           0.39521                                           2.58555                                           0.35392                                           0.20731                                           0.53359                                           2.87689                                           0.61653                                           0.04651                                           0.64375                                           1.11667                                           0.36260                                           3.40350                                           0.44618                                           5.45196                                           
