30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            133.93917                                         0.40010                                           0.34401                                           -0.32813                                          0.17450                                           -0.05422                                          0.01711                                           0.67944                                           0.22800                                           0.03395                                           -0.02774                                          0.01958                                           0.02525                                           -0.05799                                          -0.19999                                          -0.62938                                          0.03344                                           0.06355                                           -0.89477                                          -0.39072                                          0.73457                                           0.04046                                           0.17942                                           -0.16262                                          0.14176                                           0.65674                                           0.18568                                           1.80552                                           
0.21 0.42                                         132.75722                                         0.34323                                           0.23955                                           -0.11830                                          0.17348                                           0.00693                                           0.01698                                           0.55791                                           0.07465                                           0.03365                                           -0.02102                                          -0.01636                                          0.06920                                           -0.03188                                          -0.13659                                          -0.53025                                          0.03071                                           0.02502                                           -0.63609                                          -0.42585                                          0.50779                                           0.02726                                           0.13178                                           -0.14579                                          0.14225                                           0.40004                                           0.15046                                           1.34676                                           
0.42 0.63                                         131.39232                                         0.34079                                           0.24330                                           -0.22542                                          0.17389                                           -0.06171                                          0.01682                                           0.52659                                           0.07078                                           0.03330                                           0.02528                                           0.06887                                           0.06627                                           -0.12617                                          -0.15330                                          -0.57756                                          0.02973                                           0.02669                                           -0.42275                                          -0.48339                                          0.38827                                           0.02897                                           0.14510                                           -0.23146                                          0.14528                                           0.40440                                           0.16155                                           1.28898                                           
0.63 0.84                                         129.79130                                         0.36477                                           0.29498                                           -0.03981                                          0.17526                                           -0.14699                                          0.01664                                           0.67716                                           0.07569                                           0.03290                                           0.03480                                           0.04183                                           0.04799                                           -0.06845                                          -0.19522                                          -0.56226                                          0.06374                                           -0.05482                                          -0.25421                                          -0.56209                                          0.36528                                           0.03622                                           0.13833                                           -0.20030                                          0.15851                                           0.26981                                           0.16068                                           1.29465                                           
0.84 1.05                                         126.10121                                         0.37013                                           0.29506                                           0.14012                                           0.18237                                           0.00035                                           0.01624                                           0.67680                                           0.11478                                           0.03196                                           0.01402                                           0.04076                                           0.02732                                           -0.07572                                          -0.14141                                          -0.55337                                          0.03535                                           0.01843                                           -0.12798                                          -0.65107                                          0.37669                                           0.03941                                           0.12380                                           -0.21741                                          0.17714                                           0.36157                                           0.17006                                           1.33639                                           
1.05 1.37                                         124.98874                                         0.26175                                           0.18398                                           0.08839                                           0.18367                                           -0.11327                                          0.01622                                           0.38231                                           0.12760                                           0.03168                                           -0.10425                                          -0.12454                                          0.08078                                           -0.00461                                          -0.17037                                          -0.49742                                          0.04562                                           0.05543                                           -0.03421                                          -0.80881                                          0.38879                                           0.03106                                           0.16602                                           -0.20527                                          0.22227                                           0.35901                                           0.11555                                           1.27878                                           
1.37 1.52                                         120.38195                                         0.35273                                           0.20761                                           -0.02153                                          0.18466                                           -0.00236                                          0.01582                                           0.39291                                           0.06802                                           0.03051                                           -0.07407                                          -0.05604                                          -0.07813                                          -0.05657                                          -0.16191                                          -0.47615                                          0.05359                                           -0.09990                                          -0.00437                                          -0.94759                                          0.35759                                           0.03815                                           0.16835                                           -0.26781                                          0.28885                                           0.33997                                           0.16694                                           1.36960                                           
1.52 1.74                                         117.55504                                         0.29868                                           0.15403                                           -0.02970                                          0.19012                                           -0.02814                                          0.01557                                           0.32833                                           0.05490                                           0.02980                                           -0.04335                                          -0.06148                                          0.06657                                           -0.03126                                          -0.12800                                          -0.45134                                          0.04710                                           0.06271                                           -0.01492                                          -1.07364                                          0.32626                                           0.01982                                           0.14880                                           -0.33696                                          0.33243                                           0.74860                                           0.13804                                           1.57994                                           
1.74 1.95                                         113.19409                                         0.30924                                           0.17850                                           -0.05395                                          0.19595                                           -0.09042                                          0.01513                                           0.35299                                           0.06397                                           0.02869                                           0.00479                                           -0.11507                                          0.10715                                           0.03486                                           -0.14784                                          -0.47954                                          0.02877                                           -0.07365                                          -0.06107                                          -1.21970                                          0.31465                                           0.01950                                           0.15751                                           -0.33483                                          0.37164                                           0.35657                                           0.12251                                           1.58212                                           
1.95 2.18                                         106.70449                                         0.27968                                           0.15472                                           -0.09260                                          0.20061                                           0.01940                                           0.01438                                           0.35633                                           0.07754                                           0.02705                                           -0.06807                                          -0.20500                                          0.07531                                           0.01900                                           -0.15298                                          -0.44186                                          0.04833                                           0.06941                                           -0.13911                                          -1.34999                                          0.37739                                           0.02736                                           0.12349                                           -0.31847                                          0.39032                                           0.36153                                           0.12073                                           1.69848                                           
2.18 2.4                                          100.72610                                         0.27917                                           0.19185                                           0.02620                                           0.20518                                           -0.00297                                          0.01375                                           0.34889                                           0.07167                                           0.02553                                           -0.08842                                          -0.30562                                          -0.01979                                          -0.08585                                          -0.18255                                          -0.47922                                          0.02692                                           0.12232                                           -0.24606                                          -1.48829                                          0.52780                                           0.04398                                           0.11712                                           -0.34041                                          0.37579                                           0.33147                                           0.11961                                           1.88308                                           
