30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            102.38328                                         0.34603                                           0.28849                                           -0.26683                                          0.13414                                           -0.04541                                          0.03540                                           0.52841                                           0.17565                                           0.03909                                           -0.02758                                          -0.05356                                          -0.15784                                          -0.25738                                          -0.08378                                          -0.18379                                          0.08386                                           0.11267                                           -0.45387                                          -0.93397                                          0.71320                                           0.04542                                           0.42061                                           -0.04131                                          0.20851                                           0.45161                                           0.24891                                           1.64914                                           
0.21 0.42                                         102.03694                                         0.30632                                           0.20997                                           -0.06906                                          0.13254                                           0.00522                                           0.03854                                           0.45648                                           0.05744                                           0.03896                                           0.02376                                           -0.01971                                          -0.14337                                          -0.22275                                          -0.04621                                          -0.15096                                          0.06508                                           0.08655                                           -0.53276                                          -0.62682                                          0.49544                                           0.04891                                           0.41000                                           -0.00759                                          0.20778                                           0.34825                                           0.21753                                           1.30132                                           
0.42 0.63                                         101.12325                                         0.30850                                           0.19357                                           -0.15664                                          0.13716                                           -0.05088                                          0.03825                                           0.47529                                           0.05440                                           0.03861                                           -0.01920                                          -0.05119                                          -0.11169                                          -0.17148                                          -0.02433                                          -0.19514                                          0.06537                                           -0.03177                                          -0.58890                                          -0.38097                                          0.38014                                           0.04359                                           0.38775                                           -0.12057                                          0.21326                                           0.37955                                           0.20923                                           1.20025                                           
0.63 0.84                                         98.12468                                          0.30687                                           0.24224                                           -0.03402                                          0.13371                                           -0.11259                                          0.03428                                           0.63915                                           0.05681                                           0.03746                                           0.01231                                           -0.01490                                          -0.10200                                          -0.14299                                          -0.07201                                          -0.10697                                          0.02940                                           -0.09089                                          -0.61231                                          -0.19576                                          0.35257                                           0.03189                                           0.38255                                           -0.04715                                          0.25630                                           0.29608                                           0.23243                                           1.20673                                           
0.84 1.05                                         96.33432                                          0.31858                                           0.26617                                           0.07975                                           0.14017                                           0.00301                                           0.03379                                           0.63755                                           0.08771                                           0.03678                                           -0.01431                                          -0.04281                                          -0.09824                                          -0.12408                                          -0.07750                                          -0.19115                                          0.06516                                           -0.03842                                          -0.62336                                          -0.07958                                          0.36798                                           0.04641                                           0.35504                                           -0.11594                                          0.26835                                           1.04996                                           0.22540                                           1.57673                                           
1.05 1.37                                         94.55745                                          0.23524                                           0.15452                                           0.10019                                           0.14066                                           -0.08691                                          0.03380                                           0.34340                                           0.09679                                           0.03610                                           0.02057                                           0.03974                                           -0.15841                                          -0.14120                                          -0.04901                                          -0.06371                                          0.04486                                           -0.10117                                          -0.61433                                          -0.02005                                          0.37618                                           0.03620                                           0.31562                                           -0.07203                                          0.35462                                           0.43474                                           0.15935                                           1.10558                                           
1.37 1.52                                         90.81985                                          0.30708                                           0.16385                                           -0.03150                                          0.14044                                           -0.00016                                          0.03286                                           0.37523                                           0.05138                                           0.03468                                           0.09848                                           0.04185                                           -0.23036                                          -0.17999                                          -0.03712                                          -0.04121                                          0.09357                                           -0.05702                                          -0.56966                                          -0.04282                                          0.34524                                           0.03623                                           0.27725                                           -0.01011                                          0.40009                                           0.44500                                           0.21874                                           1.11133                                           
1.52 1.74                                         87.83969                                          0.24929                                           0.13182                                           -0.03011                                          0.14242                                           -0.02062                                          0.03200                                           0.32442                                           0.04110                                           0.03354                                           0.02602                                           -0.01176                                          -0.17739                                          -0.13239                                          -0.05196                                          0.02679                                           0.09249                                           0.03328                                           -0.52107                                          -0.10604                                          0.31276                                           0.03529                                           0.31777                                           -0.06908                                          0.41425                                           0.25806                                           0.18345                                           0.98508                                           
1.74 1.95                                         83.18804                                          0.25800                                           0.12550                                           -0.04651                                          0.14261                                           -0.06732                                          0.03038                                           0.30286                                           0.04703                                           0.03176                                           0.01474                                           0.04027                                           -0.15242                                          -0.12958                                          -0.01913                                          -0.02487                                          0.05120                                           -0.05900                                          -0.44551                                          -0.22050                                          0.29863                                           0.04214                                           0.28436                                           -0.18868                                          0.39704                                           0.32294                                           0.16161                                           0.96445                                           
1.95 2.18                                         80.53683                                          0.24657                                           0.12626                                           -0.06647                                          0.14747                                           0.01552                                           0.02935                                           0.32440                                           0.05852                                           0.03075                                           -0.03110                                          0.03178                                           -0.14319                                          -0.13500                                          -0.02321                                          0.05503                                           0.07328                                           -0.05139                                          -0.36755                                          -0.38516                                          0.36945                                           0.02575                                           0.30611                                           -0.11025                                          0.38152                                           0.32155                                           0.16664                                           1.00413                                           
2.18 2.4                                          77.02100                                          0.25199                                           0.14596                                           0.02557                                           0.15067                                           -0.00213                                          0.02793                                           0.32632                                           0.05466                                           0.02941                                           0.01661                                           0.12385                                           -0.15310                                          -0.10357                                          -0.02949                                          -0.06813                                          0.06414                                           -0.03233                                          -0.27290                                          -0.58902                                          0.52280                                           0.03649                                           0.30315                                           -0.11823                                          0.33607                                           0.43899                                           0.16971                                           1.16303                                           
