30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            473.30737                                         0.76045                                           0.61398                                           -1.10794                                          0.64107                                           -0.20097                                          0.12836                                           1.09859                                           0.80938                                           0.07328                                           -0.02353                                          -0.02481                                          0.53656                                           0.65947                                           -0.86666                                          0.90973                                           0.47244                                           0.94780                                           -0.42445                                          1.58865                                           1.47568                                           0.20145                                           0.76142                                           1.08252                                           1.50021                                           4.39274                                           0.89275                                           6.03171                                           
0.21 0.42                                         468.89794                                         0.67210                                           0.44567                                           -0.37744                                          0.63676                                           0.02765                                           0.12658                                           0.93016                                           0.26367                                           0.07248                                           -0.02423                                          0.05504                                           0.52470                                           0.68275                                           -0.81607                                          0.87976                                           0.26109                                           0.65092                                           0.05574                                           1.82637                                           1.03085                                           0.17910                                           0.72416                                           1.17044                                           1.48559                                           3.55237                                           0.75513                                           5.10926                                           
0.42 0.63                                         464.09294                                         0.64694                                           0.39197                                           -0.78611                                          0.63983                                           -0.23414                                          0.12565                                           0.91676                                           0.24969                                           0.07160                                           0.00492                                           0.00771                                           0.53823                                           0.55738                                           -0.79320                                          0.78345                                           0.18713                                           0.76187                                           0.42751                                           1.93935                                           0.78767                                           0.15845                                           0.69643                                           1.08175                                           1.55198                                           2.73161                                           0.75027                                           4.61479                                           
0.63 0.84                                         458.65489                                         0.69315                                           0.51252                                           -0.30274                                          0.64539                                           -0.53796                                          0.12450                                           1.18919                                           0.26625                                           0.07088                                           -0.00860                                          0.02322                                           0.58030                                           0.56831                                           -0.91259                                          0.97957                                           0.34560                                           0.96893                                           0.69262                                           1.92992                                           0.72722                                           0.15831                                           0.71172                                           0.69443                                           1.60981                                           4.71803                                           0.82716                                           6.11222                                           
0.84 1.05                                         444.77757                                         0.70470                                           0.52319                                           0.44177                                           0.67012                                           0.01302                                           0.12186                                           1.23928                                           0.40618                                           0.06912                                           0.04496                                           0.02125                                           0.59394                                           0.55935                                           -0.71723                                          1.28614                                           0.16850                                           0.89867                                           0.83871                                           1.77110                                           0.73619                                           0.17235                                           0.58421                                           0.93024                                           1.65883                                           3.36139                                           0.84972                                           5.16744                                           
1.05 1.37                                         437.28781                                         0.50700                                           0.34998                                           0.37724                                           0.66765                                           -0.40886                                          0.12045                                           0.64868                                           0.44773                                           0.06783                                           0.02127                                           0.02026                                           0.65659                                           0.41753                                           -0.89561                                          1.31398                                           0.19969                                           0.99670                                           0.89868                                           1.45766                                           0.74663                                           0.13230                                           0.65581                                           0.87979                                           1.74707                                           2.99945                                           0.60437                                           4.77619                                           
1.37 1.52                                         417.95317                                         0.68058                                           0.34647                                           -0.07332                                          0.66285                                           -0.00925                                          0.11445                                           0.67168                                           0.23641                                           0.06422                                           0.07411                                           -0.06175                                          0.65995                                           0.46950                                           -0.82549                                          1.35513                                           0.10646                                           0.89622                                           0.80295                                           1.01097                                           0.67781                                           0.12879                                           0.61451                                           0.92330                                           1.81701                                           2.63291                                           0.84600                                           4.40558                                           
1.52 1.74                                         407.69296                                         0.55988                                           0.29611                                           -0.15825                                          0.68007                                           -0.09794                                          0.11135                                           0.56915                                           0.19043                                           0.06237                                           -0.07213                                          -0.00643                                          0.63634                                           0.40545                                           -0.69827                                          1.57598                                           0.20069                                           0.90799                                           0.66361                                           0.60111                                           0.61292                                           0.13792                                           0.59992                                           0.43173                                           1.90468                                           3.15067                                           0.68164                                           4.59714                                           
1.74 1.95                                         395.14548                                         0.55819                                           0.29878                                           -0.24499                                          0.70191                                           -0.32370                                          0.10710                                           0.56792                                           0.22355                                           0.06066                                           0.01575                                           0.02684                                           0.61157                                           0.36393                                           -0.63429                                          1.74292                                           0.08109                                           1.06608                                           0.42623                                           0.05074                                           0.58527                                           0.16385                                           0.59843                                           0.80133                                           1.92835                                           3.22271                                           0.66909                                           4.72556                                           
1.95 2.18                                         371.58439                                         0.50270                                           0.30420                                           -0.33128                                          0.71688                                           0.07767                                           0.10049                                           0.59240                                           0.27026                                           0.05708                                           -0.02528                                          0.03377                                           0.55685                                           0.36140                                           -0.59852                                          1.63146                                           0.14259                                           0.81845                                           0.10603                                           -0.56680                                          0.69381                                           0.15426                                           0.48514                                           0.41797                                           1.96916                                           2.37779                                           0.66884                                           4.06678                                           
2.18 2.4                                          347.17997                                         0.51143                                           0.24582                                           0.11208                                           0.72810                                           -0.01853                                          0.09336                                           0.57462                                           0.24667                                           0.05395                                           -0.02023                                          -0.11293                                          0.49504                                           0.33764                                           -0.59396                                          1.59565                                           0.09587                                           0.61225                                           -0.26671                                          -1.21720                                          0.96472                                           0.16326                                           0.40735                                           0.32977                                           1.93468                                           1.40980                                           0.66952                                           3.69118                                           
