30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            78.36583                                          0.30637                                           0.26846                                           -0.19256                                          0.10435                                           -0.03156                                          0.00708                                           0.39349                                           0.13360                                           0.01255                                           -0.01036                                          -0.01660                                          0.35053                                           0.46109                                           -0.22761                                          -0.34582                                          0.11196                                           -0.06860                                          0.01596                                           0.00253                                           0.57322                                           0.03095                                           0.01409                                           -0.13733                                          0.11126                                           0.22632                                           0.11724                                           1.11562                                           
0.21 0.42                                         76.96967                                          0.25901                                           0.17261                                           -0.02548                                          0.10290                                           0.00341                                           0.00696                                           0.29755                                           0.04323                                           0.01232                                           -0.01536                                          0.02084                                           0.29631                                           0.42237                                           -0.23848                                          -0.34940                                          0.08732                                           -0.04207                                          0.14574                                           -0.01793                                          0.39193                                           0.01174                                           0.02751                                           -0.12196                                          0.11463                                           0.17028                                           0.09989                                           0.91100                                           
0.42 0.63                                         76.60012                                          0.26238                                           0.18268                                           -0.12874                                          0.10385                                           -0.03702                                          0.00693                                           0.29310                                           0.04125                                           0.01226                                           -0.02804                                          -0.02045                                          0.41048                                           0.41775                                           -0.26180                                          -0.33552                                          0.09143                                           0.03730                                           0.24886                                           -0.02841                                          0.30138                                           0.02484                                           0.04709                                           -0.14614                                          0.11734                                           0.23084                                           0.09291                                           0.96873                                           
0.63 0.84                                         77.01002                                          0.28446                                           0.22300                                           -0.03938                                          0.10660                                           -0.08791                                          0.00697                                           0.37084                                           0.04474                                           0.01233                                           -0.02723                                          -0.02678                                          0.42905                                           0.42106                                           -0.25910                                          -0.35161                                          0.08622                                           0.10737                                           0.32879                                           -0.02941                                          0.28950                                           0.03350                                           0.01931                                           -0.14659                                          0.12119                                           0.36240                                           0.11222                                           1.07565                                           
0.84 1.05                                         73.72760                                          0.28480                                           0.20450                                           0.09385                                           0.10940                                           0.00111                                           0.00669                                           0.35253                                           0.06657                                           0.01180                                           0.03125                                           -0.02174                                          0.41681                                           0.41353                                           -0.28023                                          -0.36099                                          0.11285                                           0.09629                                           0.36537                                           -0.01960                                          0.29497                                           0.03595                                           0.01686                                           -0.01930                                          0.12257                                           0.18443                                           0.10796                                           1.02570                                           
1.05 1.37                                         73.95767                                          0.21085                                           0.14580                                           0.04611                                           0.11096                                           -0.06726                                          0.00671                                           0.18763                                           0.07551                                           0.01184                                           0.05703                                           0.08076                                           0.47207                                           0.32214                                           -0.26783                                          -0.34282                                          0.05510                                           0.06282                                           0.39524                                           0.00459                                           0.30855                                           0.01762                                           0.02230                                           -0.16441                                          0.12003                                           0.15506                                           0.07388                                           0.96806                                           
1.37 1.52                                         69.32244                                          0.26602                                           0.15541                                           0.03483                                           0.10841                                           -0.00059                                          0.00633                                           0.18849                                           0.03931                                           0.01110                                           -0.01980                                          -0.01217                                          0.47370                                           0.32343                                           -0.27162                                          -0.34930                                          0.09261                                           0.10719                                           0.36345                                           0.03620                                           0.27633                                           0.01202                                           0.07448                                           -0.13538                                          0.13592                                           0.23163                                           0.10517                                           0.96784                                           
1.52 1.74                                         68.87968                                          0.21918                                           0.13020                                           -0.01206                                          0.11408                                           -0.01550                                          0.00635                                           0.16233                                           0.03215                                           0.01103                                           -0.04746                                          -0.03617                                          0.38540                                           0.26561                                           -0.27441                                          -0.33342                                          0.11139                                           0.03379                                           0.33535                                           0.06862                                           0.25665                                           0.01165                                           0.12119                                           -0.20889                                          0.16468                                           0.06711                                           0.08758                                           0.87255                                           
1.74 1.95                                         67.82784                                          0.23306                                           0.13253                                           -0.03586                                          0.12174                                           -0.05414                                          0.00635                                           0.16809                                           0.03846                                           0.01086                                           -0.02374                                          -0.01888                                          0.38259                                           0.24401                                           -0.22661                                          -0.29044                                          0.06567                                           0.06632                                           0.27859                                           0.11335                                           0.25334                                           0.02121                                           0.14127                                           -0.10966                                          0.21934                                           0.23872                                           0.07583                                           0.84597                                           
1.95 2.18                                         62.80933                                          0.22199                                           0.11711                                           -0.05431                                          0.12543                                           0.01339                                           0.00605                                           0.18228                                           0.04590                                           0.01006                                           -0.01080                                          0.06462                                           0.35753                                           0.20844                                           -0.22592                                          -0.30138                                          0.07986                                           0.13413                                           0.18625                                           0.15700                                           0.29864                                           0.01960                                           0.21396                                           -0.17310                                          0.29208                                           0.18354                                           0.08599                                           0.87230                                           
2.18 2.4                                          57.30707                                          0.20991                                           0.11685                                           0.00366                                           0.12760                                           -0.00302                                          0.00565                                           0.17215                                           0.04069                                           0.00918                                           0.03020                                           0.02204                                           0.35951                                           0.23939                                           -0.23961                                          -0.24144                                          0.06764                                           0.02685                                           0.08123                                           0.20007                                           0.40363                                           0.01982                                           0.26608                                           -0.11477                                          0.34031                                           0.35959                                           0.08313                                           0.95721                                           
