30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            641.87792                                         0.86809                                           0.73413                                           -1.43076                                          0.92557                                           0.24433                                           0.24652                                           1.56952                                           1.08766                                           0.10958                                           -0.07273                                          -0.08465                                          0.75199                                           -0.89424                                          -1.02862                                          1.96348                                           0.18359                                           0.74172                                           2.47975                                           4.02293                                           2.08429                                           0.25319                                           0.97718                                           1.72466                                           1.80722                                           4.63879                                           1.04080                                           8.40445                                           
0.21 0.42                                         643.98211                                         0.77216                                           0.53812                                           -1.16695                                          0.93584                                           0.61491                                           0.25338                                           1.28806                                           0.37426                                           0.11080                                           -0.02269                                          0.02171                                           0.74555                                           -0.94607                                          -1.17027                                          1.79281                                           0.19993                                           0.83259                                           2.85424                                           3.63262                                           1.48632                                           0.23187                                           0.97046                                           1.79200                                           1.79868                                           6.35282                                           0.88821                                           9.14826                                           
0.42 0.63                                         643.16851                                         0.74547                                           0.47406                                           -1.27427                                          0.87732                                           -0.03511                                          0.18484                                           1.29527                                           0.34576                                           0.11116                                           -0.04705                                          0.03376                                           0.74548                                           -0.75448                                          -1.12682                                          1.98006                                           0.19978                                           0.84596                                           3.22864                                           3.27195                                           1.12752                                           0.21495                                           1.04879                                           1.66598                                           1.87668                                           4.03832                                           0.88689                                           7.64701                                           
0.63 0.84                                         650.03664                                         0.81052                                           0.63017                                           -0.49155                                          0.90577                                           0.95322                                           0.18658                                           1.79385                                           0.35773                                           0.11219                                           0.02613                                           -0.03237                                          0.78867                                           -0.71340                                          -1.24481                                          2.38677                                           0.18857                                           0.96515                                           3.65740                                           2.99443                                           1.02189                                           0.15196                                           0.92625                                           1.62186                                           1.96868                                           6.24296                                           0.95020                                           9.26062                                           
0.84 1.05                                         647.01980                                         0.83323                                           0.64715                                           0.20964                                           0.96996                                           0.89044                                           0.19086                                           1.76566                                           0.58383                                           0.11226                                           0.13709                                           0.11929                                           0.91668                                           -0.81684                                          -1.17158                                          2.79077                                           0.21823                                           1.26312                                           4.04505                                           2.71672                                           1.03220                                           0.13913                                           1.28624                                           1.72674                                           2.16993                                           4.20408                                           0.93026                                           8.41194                                           
1.05 1.37                                         663.93032                                         0.60848                                           0.44163                                           0.73204                                           0.99622                                           0.69703                                           0.19375                                           0.99311                                           0.67950                                           0.11496                                           0.02943                                           0.02416                                           1.02113                                           -0.66342                                          -1.34864                                          2.49408                                           0.26616                                           0.94328                                           4.69257                                           2.51523                                           1.07921                                           0.17356                                           1.21880                                           1.77340                                           2.22199                                           5.33483                                           0.74773                                           9.07308                                           
1.37 1.52                                         660.43920                                         0.83282                                           0.43867                                           -0.37121                                          1.02486                                           -1.29130                                          0.19172                                           1.12975                                           0.37698                                           0.11437                                           -0.01871                                          -0.03587                                          1.07938                                           -0.62657                                          -1.08227                                          2.84760                                           0.32577                                           1.04929                                           5.16240                                           2.32580                                           1.01357                                           0.18999                                           1.31759                                           1.55751                                           2.38278                                           4.41728                                           1.02579                                           8.94931                                           
1.52 1.74                                         670.01901                                         0.70041                                           0.38819                                           -0.24789                                          1.08585                                           0.34705                                           0.19171                                           0.96288                                           0.30381                                           0.11523                                           -0.04382                                          -0.02508                                          1.08108                                           -0.65312                                          -1.04717                                          2.85179                                           0.40244                                           0.96400                                           5.64333                                           2.26187                                           0.94389                                           0.22146                                           1.45652                                           1.41464                                           2.44584                                           5.88462                                           0.89312                                           9.89615                                           
1.74 1.95                                         664.61653                                         0.70686                                           0.39268                                           -0.06273                                          1.14650                                           0.77476                                           0.18853                                           1.02226                                           0.38885                                           0.11400                                           0.00903                                           -0.05818                                          0.95495                                           -0.57858                                          -0.91659                                          2.65887                                           0.22592                                           1.03808                                           6.07811                                           2.17831                                           0.90432                                           0.23112                                           1.47477                                           1.17615                                           2.53749                                           6.81738                                           0.79538                                           10.64294                                          
1.95 2.18                                         656.97503                                         0.65064                                           0.42392                                           -0.45977                                          1.22621                                           1.80268                                           0.18207                                           1.05400                                           0.48370                                           0.11073                                           0.02846                                           -0.08136                                          0.90817                                           -0.54036                                          -0.99567                                          2.41020                                           0.37910                                           1.08900                                           6.50746                                           2.13919                                           1.12045                                           0.22687                                           1.46054                                           1.10696                                           2.58047                                           9.06596                                           0.76763                                           12.52267                                          
2.18 2.4                                          621.27705                                         0.66719                                           0.35001                                           -0.03781                                          1.25804                                           1.70432                                           0.16807                                           1.07860                                           0.46702                                           0.10222                                           -0.02884                                          -0.07487                                          0.86516                                           -0.55832                                          -0.89817                                          1.86835                                           0.10317                                           0.89351                                           6.64998                                           2.06078                                           1.59613                                           0.21383                                           1.42722                                           0.47413                                           2.53549                                           5.98295                                           0.76419                                           10.40851                                          
