30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            36.26582                                          0.19518                                           0.14350                                           -0.08226                                          0.05575                                           0.01876                                           0.01133                                           0.24837                                           0.06157                                           0.00733                                           0.00458                                           0.00755                                           0.14457                                           -0.27909                                          -0.20011                                          0.13080                                           0.50567                                           0.39593                                           0.28351                                           0.28949                                           0.48415                                           0.01329                                           0.15030                                           0.10221                                           0.22491                                           0.37568                                           0.12047                                           1.14149                                           
0.21 0.42                                         37.08231                                          0.16660                                           0.10227                                           -0.02406                                          0.05752                                           0.03708                                           0.01144                                           0.21266                                           0.02146                                           0.00751                                           0.02427                                           0.01910                                           0.14324                                           -0.27864                                          -0.19587                                          0.13096                                           0.51221                                           0.53233                                           0.42705                                           0.27462                                           0.34644                                           0.01795                                           0.14955                                           0.04469                                           0.22057                                           0.61343                                           0.12693                                           1.26709                                           
0.42 0.63                                         37.01200                                          0.16582                                           0.09984                                           -0.06321                                          0.05836                                           -0.00022                                          0.01198                                           0.20363                                           0.01988                                           0.00747                                           -0.00622                                          0.01165                                           0.18867                                           -0.29198                                          -0.19737                                          0.16307                                           0.59692                                           0.50139                                           0.53426                                           0.25952                                           0.26503                                           0.00848                                           0.14667                                           0.19508                                           0.21478                                           0.12767                                           0.13370                                           1.19024                                           
0.63 0.84                                         36.05278                                          0.17810                                           0.12234                                           -0.07459                                          0.05811                                           0.05410                                           0.01121                                           0.25376                                           0.02010                                           0.00732                                           0.02223                                           0.02232                                           0.19399                                           -0.26978                                          -0.17202                                          0.17284                                           0.52200                                           0.33705                                           0.59751                                           0.24518                                           0.24085                                           0.00697                                           0.14327                                           0.12276                                           0.20419                                           0.34258                                           0.15303                                           1.15846                                           
0.84 1.05                                         35.07201                                          0.17564                                           0.11709                                           0.02078                                           0.06041                                           0.04760                                           0.01056                                           0.23726                                           0.03112                                           0.00702                                           0.02581                                           0.02247                                           0.17495                                           -0.25617                                          -0.17214                                          0.10658                                           0.58938                                           0.42713                                           0.62889                                           0.23751                                           0.24469                                           0.01097                                           0.14689                                           0.12522                                           0.19127                                           0.20257                                           0.13237                                           1.17897                                           
1.05 1.37                                         35.89529                                          0.13112                                           0.07507                                           0.03455                                           0.06310                                           0.03840                                           0.01078                                           0.12124                                           0.03671                                           0.00716                                           0.02035                                           0.06485                                           0.19849                                           -0.19383                                          -0.18680                                          0.08746                                           0.64198                                           0.44899                                           0.66521                                           0.25115                                           0.25746                                           0.00972                                           0.11215                                           0.13444                                           0.17147                                           0.32089                                           0.10654                                           1.22992                                           
1.37 1.52                                         34.64907                                          0.17040                                           0.05490                                           -0.00467                                          0.06375                                           -0.07184                                          0.00995                                           0.13309                                           0.01974                                           0.00681                                           0.02580                                           0.03824                                           0.20673                                           -0.19270                                          -0.17332                                          0.11501                                           0.58748                                           0.35392                                           0.62455                                           0.25777                                           0.23511                                           0.02038                                           0.09623                                           0.10723                                           0.16163                                           0.44043                                           0.14710                                           1.18358                                           
1.52 1.74                                         34.03594                                          0.13887                                           0.05334                                           -0.02259                                          0.06666                                           0.01741                                           0.00922                                           0.11281                                           0.01549                                           0.00657                                           0.00779                                           0.05491                                           0.19775                                           -0.19177                                          -0.18051                                          0.12364                                           0.62949                                           0.33531                                           0.57653                                           0.27055                                           0.21526                                           0.01347                                           0.08044                                           0.13591                                           0.15882                                           0.11408                                           0.11594                                           1.08878                                           
1.74 1.95                                         31.89435                                          0.14113                                           0.04229                                           -0.00978                                          0.06904                                           0.03573                                           0.00852                                           0.11324                                           0.01866                                           0.00609                                           0.00993                                           0.04177                                           0.17757                                           -0.17251                                          -0.14479                                          0.10048                                           0.56258                                           0.41164                                           0.47573                                           0.27809                                           0.20608                                           0.01697                                           0.07858                                           0.11652                                           0.16358                                           0.03840                                           0.09257                                           1.00215                                           
1.95 2.18                                         30.79965                                          0.13732                                           0.05542                                           -0.01912                                          0.07381                                           0.08430                                           0.00861                                           0.13058                                           0.02273                                           0.00580                                           0.00962                                           0.03267                                           0.14960                                           -0.12867                                          -0.09187                                          -0.01079                                          0.50476                                           0.29430                                           0.36957                                           0.29892                                           0.26220                                           0.01109                                           0.13661                                           -0.01104                                          0.16850                                           0.45373                                           0.04836                                           0.98687                                           
2.18 2.4                                          27.28517                                          0.13046                                           0.05129                                           0.00342                                           0.07402                                           0.07435                                           0.00795                                           0.12274                                           0.02051                                           0.00505                                           0.04220                                           0.14476                                           0.20239                                           -0.18238                                          -0.14756                                          0.06109                                           0.53169                                           0.31914                                           0.22184                                           0.29800                                           0.34917                                           0.01824                                           0.03322                                           0.07222                                           0.17864                                           0.16827                                           0.12267                                           0.93707                                           
