30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            30.65580                                          0.18015                                           0.12845                                           -0.08001                                          0.04756                                           -0.01342                                          0.00969                                           0.21187                                           0.05249                                           0.00620                                           -0.01132                                          -0.01719                                          0.14693                                           0.24783                                           -0.16071                                          0.13409                                           0.52964                                           0.53030                                           -0.24167                                          0.51628                                           0.42418                                           0.01354                                           0.13331                                           0.20568                                           0.20944                                           0.09251                                           0.13787                                           1.18265                                           
0.21 0.42                                         30.38018                                          0.15489                                           0.08936                                           -0.02033                                          0.04733                                           0.00094                                           0.00961                                           0.17405                                           0.01704                                           0.00615                                           -0.00965                                          -0.02223                                          0.13169                                           0.26023                                           -0.19089                                          0.13921                                           0.44076                                           0.35914                                           0.02862                                           0.49324                                           0.29495                                           0.01542                                           0.14704                                           0.10224                                           0.20274                                           0.14993                                           0.11555                                           0.97284                                           
0.42 0.63                                         30.15100                                          0.15177                                           0.07874                                           -0.02648                                          0.04768                                           -0.01577                                          0.00942                                           0.16174                                           0.01626                                           0.00610                                           -0.01077                                          0.01664                                           0.12972                                           0.22877                                           -0.15997                                          0.13598                                           0.47586                                           0.44241                                           0.25857                                           0.46769                                           0.22550                                           0.02020                                           0.14624                                           0.15323                                           0.19485                                           0.23309                                           0.10945                                           1.02848                                           
0.63 0.84                                         30.36442                                          0.16096                                           0.09994                                           -0.01144                                          0.04907                                           -0.03402                                          0.00931                                           0.21101                                           0.01751                                           0.00611                                           0.00629                                           -0.01047                                          0.15740                                           0.22376                                           -0.18057                                          0.14297                                           0.53047                                           0.47211                                           0.45601                                           0.44540                                           0.21292                                           0.01535                                           0.14288                                           0.16111                                           0.18286                                           0.27329                                           0.12726                                           1.14611                                           
0.84 1.05                                         29.94732                                          0.16424                                           0.10882                                           0.02315                                           0.05212                                           -0.00033                                          0.01074                                           0.21339                                           0.02698                                           0.00614                                           0.01082                                           0.02051                                           0.14569                                           0.19707                                           -0.13896                                          0.14937                                           0.45820                                           0.42476                                           0.60699                                           0.41048                                           0.21992                                           0.01624                                           0.14176                                           0.13135                                           0.17312                                           0.13571                                           0.12148                                           1.11362                                           
1.05 1.37                                         28.95871                                          0.12011                                           0.06369                                           0.01918                                           0.05147                                           -0.02799                                          0.00893                                           0.10145                                           0.02964                                           0.00587                                           0.08226                                           0.04827                                           0.16466                                           0.17214                                           -0.14828                                          0.13004                                           0.45574                                           0.42834                                           0.72958                                           0.35687                                           0.21924                                           0.01368                                           0.14425                                           0.14618                                           0.15275                                           0.14720                                           0.10449                                           1.14936                                           
1.37 1.52                                         26.85442                                          0.15135                                           0.04547                                           -0.01476                                          0.05003                                           -0.00034                                          0.00778                                           0.10310                                           0.01521                                           0.00535                                           -0.02024                                          -0.00947                                          0.15770                                           0.18222                                           -0.15468                                          0.15252                                           0.50798                                           0.50194                                           0.75122                                           0.29374                                           0.19254                                           0.01507                                           0.09614                                           0.17938                                           0.13555                                           0.07973                                           0.13865                                           1.18523                                           
1.52 1.74                                         26.74388                                          0.12857                                           0.04107                                           -0.00997                                          0.05295                                           -0.00629                                          0.00766                                           0.08497                                           0.01252                                           0.00532                                           0.02372                                           0.02837                                           0.14797                                           0.15104                                           -0.15086                                          0.15064                                           0.48321                                           0.42151                                           0.77859                                           0.26057                                           0.17772                                           0.01199                                           0.09492                                           0.15693                                           0.13167                                           0.20882                                           0.11541                                           1.15261                                           
1.74 1.95                                         25.93836                                          0.13090                                           0.04483                                           -0.00980                                          0.05641                                           -0.02166                                          0.00744                                           0.09126                                           0.01475                                           0.00509                                           0.02875                                           0.05173                                           0.14910                                           0.14401                                           -0.16764                                          0.14007                                           0.39126                                           0.39201                                           0.75934                                           0.21370                                           0.17189                                           0.01781                                           0.09644                                           0.14329                                           0.13330                                           0.12379                                           0.08927                                           1.06694                                           
1.95 2.18                                         22.71701                                          0.11980                                           0.04580                                           -0.00938                                          0.05497                                           0.00533                                           0.00630                                           0.09306                                           0.01660                                           0.00441                                           0.00697                                           0.03191                                           0.12292                                           0.11767                                           -0.13866                                          0.11561                                           0.48113                                           0.35063                                           0.63942                                           0.14926                                           0.19368                                           0.01075                                           0.09685                                           0.10691                                           0.13564                                           0.10209                                           0.09661                                           0.97928                                           
2.18 2.4                                          20.50068                                          0.11471                                           0.04281                                           0.00653                                           0.05558                                           -0.00072                                          0.00565                                           0.09476                                           0.01462                                           0.00390                                           0.02579                                           0.09990                                           0.11833                                           0.10470                                           -0.11644                                          0.14715                                           0.41303                                           0.28379                                           0.52567                                           0.09695                                           0.26204                                           0.01749                                           0.06615                                           0.07984                                           0.14311                                           0.22820                                           0.09764                                           0.88526                                           
