30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            28.31263                                          0.18295                                           0.15207                                           -0.05372                                          0.03940                                           -0.01229                                          0.00275                                           0.18234                                           0.04823                                           0.00459                                           -0.00712                                          -0.01224                                          0.16558                                           0.22645                                           -0.11469                                          -0.11052                                          0.11498                                           -0.02773                                          0.11565                                           0.22121                                           0.35237                                           0.00780                                           0.04420                                           0.01769                                           0.08780                                           0.31871                                           0.08230                                           0.69745                                           
0.21 0.42                                         28.21145                                          0.15695                                           0.10811                                           -0.01626                                          0.03936                                           0.00174                                           0.00272                                           0.14624                                           0.01596                                           0.00458                                           0.01682                                           0.02096                                           0.17642                                           0.20578                                           -0.12157                                          -0.11685                                          0.09739                                           0.08425                                           0.31060                                           0.14073                                           0.24388                                           0.00817                                           0.03725                                           -0.00997                                          0.08538                                           0.20283                                           0.07177                                           0.62070                                           
0.42 0.63                                         27.61473                                          0.15671                                           0.10774                                           -0.03029                                          0.03891                                           -0.01389                                          0.00265                                           0.14140                                           0.01476                                           0.00448                                           0.02044                                           0.00540                                           0.14452                                           0.16507                                           -0.10439                                          -0.09707                                          0.11483                                           -0.06225                                          0.45407                                           0.07156                                           0.18522                                           0.00745                                           0.03498                                           0.06497                                           0.07635                                           0.09220                                           0.06402                                           0.62448                                           
0.63 0.84                                         27.23715                                          0.16602                                           0.13013                                           -0.01582                                          0.03921                                           -0.03102                                          0.00262                                           0.16532                                           0.01582                                           0.00442                                           -0.00571                                          0.01315                                           0.16509                                           0.16803                                           -0.10038                                          -0.10851                                          0.12342                                           0.12609                                           0.55523                                           0.01693                                           0.17614                                           0.01512                                           0.04754                                           -0.02999                                          0.07429                                           0.06379                                           0.07121                                           0.71667                                           
0.84 1.05                                         26.84224                                          0.17358                                           0.13578                                           0.04138                                           0.04123                                           0.00191                                           0.00257                                           0.17290                                           0.02468                                           0.00435                                           -0.01186                                          -0.01498                                          0.17895                                           0.16883                                           -0.13378                                          -0.10057                                          0.13508                                           0.12599                                           0.61295                                           -0.02470                                          0.18565                                           0.01039                                           0.04320                                           -0.01027                                          0.06774                                           0.26329                                           0.07506                                           0.81720                                           
1.05 1.37                                         26.17100                                          0.11762                                           0.08025                                           0.01518                                           0.04090                                           -0.02380                                          0.00258                                           0.08272                                           0.02689                                           0.00425                                           -0.05176                                          -0.03720                                          0.15757                                           0.11440                                           -0.10682                                          -0.07894                                          0.11540                                           0.03554                                           0.62283                                           -0.05904                                          0.18905                                           0.00465                                           0.03282                                           -0.01104                                          0.06468                                           0.06327                                           0.04594                                           0.72757                                           
1.37 1.52                                         25.03687                                          0.15625                                           0.08525                                           0.00538                                           0.04078                                           -0.00011                                          0.00240                                           0.08804                                           0.01407                                           0.00406                                           0.06817                                           0.04759                                           0.18362                                           0.12911                                           -0.09670                                          -0.08497                                          0.13099                                           0.06566                                           0.56747                                           -0.07187                                          0.17309                                           0.00890                                           0.02545                                           -0.05247                                          0.06405                                           0.07011                                           0.06440                                           0.69718                                           
1.52 1.74                                         24.54562                                          0.12552                                           0.06966                                           -0.00936                                          0.04255                                           -0.00549                                          0.00238                                           0.06753                                           0.01149                                           0.00398                                           0.03141                                           0.05868                                           0.18101                                           0.12636                                           -0.13171                                          -0.10914                                          0.09512                                           0.04374                                           0.50219                                           -0.07310                                          0.15934                                           0.00809                                           0.03483                                           -0.06418                                          0.07567                                           0.12490                                           0.05118                                           0.64587                                           
1.74 1.95                                         23.83187                                          0.13200                                           0.06614                                           -0.01170                                          0.04497                                           -0.01955                                          0.00235                                           0.07148                                           0.01354                                           0.00387                                           -0.01023                                          -0.02130                                          0.15480                                           0.09494                                           -0.09284                                          -0.06856                                          0.11508                                           0.05781                                           0.39184                                           -0.06401                                          0.15676                                           0.00630                                           0.03170                                           0.01617                                           0.10810                                           0.19018                                           0.05062                                           0.55641                                           
1.95 2.18                                         21.74698                                          0.12249                                           0.06440                                           -0.01346                                          0.04630                                           0.00515                                           0.00222                                           0.07141                                           0.01589                                           0.00353                                           0.04296                                           0.10980                                           0.15865                                           0.12102                                           -0.11325                                          -0.04935                                          0.10238                                           0.14176                                           0.23295                                           -0.04181                                          0.18323                                           0.00682                                           0.03451                                           -0.04517                                          0.12323                                           0.25602                                           0.04810                                           0.53603                                           
2.18 2.4                                          19.60419                                          0.12069                                           0.06126                                           0.00481                                           0.04783                                           -0.00226                                          0.00209                                           0.07709                                           0.01397                                           0.00318                                           0.03394                                           0.05267                                           0.14968                                           0.11822                                           -0.10577                                          -0.07730                                          0.09463                                           0.06836                                           0.06192                                           -0.01288                                          0.24399                                           0.00989                                           0.05635                                           -0.01963                                          0.16194                                           0.24792                                           0.04594                                           0.49022                                           
