25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            30.19063                                          0.17740                                           0.12524                                           -0.07506                                          0.10617                                           0.00873                                           0.38844                                           -0.01329                                          -0.01766                                          0.14489                                           0.24305                                           -0.18433                                          0.26162                                           0.52170                                           0.49937                                           0.09217                                           0.45038                                           0.01418                                           0.13149                                           0.25519                                           0.18814                                           0.12022                                           1.10990                                           
0.21 0.42                                         29.98005                                          0.15271                                           0.07932                                           -0.02007                                          0.07840                                           0.00872                                           0.32486                                           -0.00863                                          -0.02147                                          0.12840                                           0.25454                                           -0.20925                                          0.23157                                           0.43747                                           0.34576                                           0.32123                                           0.38478                                           0.01379                                           0.14609                                           0.24662                                           0.21089                                           0.11480                                           0.99993                                           
0.42 0.63                                         29.72570                                          0.14684                                           0.08552                                           -0.02644                                          0.08944                                           0.00855                                           0.29017                                           -0.01220                                          0.01807                                           0.12960                                           0.22288                                           -0.17433                                          0.22194                                           0.46630                                           0.43406                                           0.51425                                           0.32711                                           0.02056                                           0.15013                                           0.23830                                           0.15356                                           0.10898                                           1.06742                                           
0.63 0.84                                         29.93726                                          0.15882                                           0.09860                                           -0.01215                                          0.10073                                           0.01781                                           0.38034                                           0.01519                                           -0.02070                                          0.15537                                           0.23226                                           -0.19233                                          0.23139                                           0.52195                                           0.45586                                           0.68279                                           0.28221                                           0.01468                                           0.14286                                           0.22258                                           0.58758                                           0.12078                                           1.33804                                           
0.84 1.05                                         29.62368                                          0.16717                                           0.10614                                           0.01876                                           0.10367                                           0.00860                                           0.39205                                           0.01153                                           0.01852                                           0.14523                                           0.19734                                           -0.18866                                          0.22463                                           0.46340                                           0.41493                                           0.80689                                           0.24002                                           0.01725                                           0.14347                                           0.20853                                           0.02561                                           0.12283                                           1.22409                                           
1.05 1.37                                         28.51944                                          0.11953                                           0.06845                                           0.02180                                           0.12235                                           0.00780                                           0.19182                                           0.07837                                           0.04361                                           0.15838                                           0.16584                                           -0.17155                                          0.23323                                           0.44314                                           0.40859                                           0.89241                                           0.19371                                           0.01336                                           0.14135                                           0.18142                                           0.03870                                           0.08485                                           1.20849                                           
1.37 1.52                                         26.41939                                          0.14882                                           0.04351                                           -0.01531                                          0.07613                                           0.00708                                           0.18648                                           -0.01905                                          -0.00615                                          0.15141                                           0.17624                                           -0.19494                                          0.24907                                           0.50017                                           0.49301                                           0.88374                                           0.15765                                           0.01502                                           0.09780                                           0.16161                                           0.06809                                           0.13702                                           1.24722                                           
1.52 1.74                                         26.31558                                          0.12312                                           0.03830                                           -0.00939                                          0.06719                                           0.00705                                           0.15898                                           0.02455                                           0.02775                                           0.14411                                           0.14715                                           -0.20246                                          0.25528                                           0.46786                                           0.41078                                           0.90003                                           0.14580                                           0.01180                                           0.09559                                           0.14997                                           0.11800                                           0.10995                                           1.20750                                           
1.74 1.95                                         25.49735                                          0.13096                                           0.04348                                           -0.00894                                          0.09166                                           0.00712                                           0.16919                                           0.02724                                           0.04985                                           0.14492                                           0.13879                                           -0.19723                                          0.25893                                           0.38669                                           0.39173                                           0.86751                                           0.13491                                           0.01734                                           0.09746                                           0.14753                                           0.12623                                           0.09703                                           1.14854                                           
1.95 2.18                                         22.34007                                          0.11439                                           0.04424                                           -0.00957                                          0.08399                                           0.00574                                           0.17198                                           0.00812                                           0.03195                                           0.12106                                           0.11589                                           -0.17359                                          0.20205                                           0.47526                                           0.33848                                           0.72991                                           0.11864                                           0.01057                                           0.09608                                           0.14670                                           0.05679                                           0.09880                                           1.03439                                           
2.18 2.4                                          20.20194                                          0.11511                                           0.04074                                           0.00611                                           0.12914                                           0.00492                                           0.16856                                           0.02602                                           0.09919                                           0.11583                                           0.10226                                           -0.14425                                          0.22227                                           0.40781                                           0.28316                                           0.60744                                           0.11349                                           0.01710                                           0.06631                                           0.15178                                           0.21497                                           0.09173                                           0.92850                                           
