25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            91.89103                                          0.32530                                           0.28820                                           -0.22766                                          0.22581                                           0.00762                                           0.83482                                           0.00490                                           -0.01691                                          0.42109                                           -0.52636                                          -0.21019                                          -0.43708                                          0.12928                                           -0.04422                                          0.00273                                           -0.76099                                          0.02422                                           0.04952                                           0.14142                                           0.22466                                           0.12457                                           1.50319                                           
0.21 0.42                                         93.55937                                          0.29013                                           0.20351                                           -0.13079                                          0.19759                                           0.00776                                           0.68019                                           -0.01541                                          -0.01367                                          0.41617                                           -0.56995                                          -0.21746                                          -0.51441                                          0.06308                                           0.08301                                           0.04707                                           -0.47704                                          0.01607                                           0.02800                                           0.14200                                           0.27437                                           0.11626                                           1.31198                                           
0.42 0.63                                         93.95727                                          0.28728                                           0.23096                                           -0.19237                                          0.24217                                           0.00778                                           0.65253                                           -0.04727                                          -0.05439                                          0.41735                                           -0.44604                                          -0.22067                                          -0.49080                                          0.12994                                           -0.06987                                          0.10965                                           -0.23785                                          0.01911                                           0.01704                                           0.13729                                           0.18777                                           0.10089                                           1.18239                                           
0.63 0.84                                         92.62542                                          0.31019                                           0.24652                                           -0.11522                                          0.22625                                           0.00770                                           0.86315                                           0.01773                                           0.02710                                           0.52873                                           -0.48507                                          -0.23675                                          -0.48085                                          0.08787                                           0.05804                                           0.18724                                           -0.05367                                          0.01370                                           0.01033                                           0.15158                                           0.20393                                           0.11829                                           1.34215                                           
0.84 1.05                                         92.99556                                          0.31873                                           0.24822                                           0.03448                                           0.29254                                           0.00772                                           0.82950                                           0.02041                                           -0.02472                                          0.47491                                           -0.45594                                          -0.23902                                          -0.46196                                          0.15043                                           -0.01894                                          0.28516                                           0.07043                                           0.02580                                           0.01743                                           0.14380                                           0.11768                                           0.12063                                           1.30415                                           
1.05 1.37                                         96.49654                                          0.22726                                           0.15775                                           0.08405                                           0.35399                                           0.01379                                           0.42483                                           0.05773                                           0.04226                                           0.57483                                           -0.40690                                          -0.24407                                          -0.48128                                          0.11858                                           0.14000                                           0.44936                                           0.15113                                           0.02096                                           0.00657                                           0.14796                                           0.41512                                           0.08577                                           1.26124                                           
1.37 1.52                                         95.56567                                          0.30734                                           0.17960                                           -0.01762                                          0.45645                                           0.00799                                           0.47335                                           -0.04784                                          0.10549                                           0.58239                                           -0.40910                                          -0.28237                                          -0.45951                                          0.12375                                           0.12164                                           0.60405                                           0.13987                                           0.01958                                           0.08331                                           0.17141                                           0.25832                                           0.12430                                           1.34511                                           
1.52 1.74                                         96.86018                                          0.25597                                           0.15032                                           -0.02957                                          0.33024                                           0.00843                                           0.42355                                           0.10083                                           -0.08685                                          0.52887                                           -0.35706                                          -0.25150                                          -0.51199                                          0.12456                                           0.09536                                           0.75537                                           0.08145                                           0.02326                                           0.15984                                           0.20235                                           0.10010                                           0.09984                                           1.32331                                           
1.74 1.95                                         95.04780                                          0.25672                                           0.12712                                           -0.00151                                          0.31878                                           0.00812                                           0.43325                                           -0.06233                                          0.02826                                           0.52222                                           -0.32931                                          -0.24508                                          -0.45459                                          0.09965                                           0.06172                                           0.92213                                           -0.04588                                          0.02854                                           0.20679                                           0.27365                                           0.11346                                           0.09992                                           1.40200                                           
1.95 2.18                                         95.78231                                          0.25985                                           0.15534                                           -0.06616                                          0.39233                                           0.00823                                           0.56110                                           0.03945                                           0.04183                                           0.54664                                           -0.33683                                          -0.30667                                          -0.50879                                          0.13543                                           0.06105                                           1.13559                                           -0.23991                                          0.02919                                           0.34364                                           0.34176                                           0.32392                                           0.09180                                           1.72745                                           
2.18 2.4                                          91.92526                                          0.25763                                           0.13944                                           -0.00873                                          0.37896                                           0.00816                                           0.54118                                           0.02972                                           0.05320                                           0.52134                                           -0.36253                                          -0.30969                                          -0.47867                                          0.06770                                           0.09224                                           1.31225                                           -0.48455                                          0.02681                                           0.41538                                           0.39282                                           0.50987                                           0.09417                                           1.93761                                           
