25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            140.93930                                         0.40251                                           0.34905                                           -0.28642                                          0.34409                                           0.04669                                           1.38648                                           0.03647                                           0.04082                                           -0.11154                                          0.23696                                           -0.09042                                          -0.19544                                          0.08941                                           -0.07916                                          0.22462                                           0.14208                                           0.06570                                           0.50266                                           0.27626                                           0.31905                                           0.28484                                           1.72217                                           
0.21 0.42                                         141.26774                                         0.34626                                           0.26120                                           -0.30666                                          0.29557                                           0.04687                                           1.18306                                           0.01669                                           -0.02742                                          -0.12356                                          0.22710                                           -0.11922                                          -0.24378                                          0.15253                                           0.10163                                           0.36479                                           -0.30887                                          0.04911                                           0.56826                                           0.28763                                           0.58979                                           0.25684                                           1.69615                                           
0.42 0.63                                         142.36739                                         0.35236                                           0.23452                                           -0.31191                                          0.36524                                           0.04736                                           1.14983                                           -0.07428                                          0.02384                                           -0.15530                                          0.22815                                           -0.06902                                          -0.27313                                          0.06555                                           -0.23340                                          0.50226                                           -0.67306                                          0.05627                                           0.55099                                           0.31012                                           0.32313                                           0.24878                                           1.76208                                           
0.63 0.84                                         144.70038                                         0.36808                                           0.30036                                           -0.05730                                          0.35085                                           0.04839                                           1.69951                                           -0.02563                                          -0.01234                                          -0.12568                                          0.21220                                           -0.13614                                          -0.17626                                          0.11548                                           0.14136                                           0.64109                                           -0.95727                                          0.05498                                           0.57957                                           0.35241                                           0.25875                                           0.26734                                           2.27612                                           
0.84 1.05                                         145.24842                                         0.39444                                           0.33899                                           0.09118                                           0.46109                                           0.04879                                           1.83207                                           -0.02003                                          -0.02245                                          -0.10264                                          0.15968                                           -0.17106                                          -0.20249                                          0.15887                                           0.13907                                           0.76838                                           -1.14022                                          0.04369                                           0.61538                                           0.38662                                           0.53212                                           0.27166                                           2.57372                                           
1.05 1.37                                         148.49979                                         0.29762                                           0.20016                                           0.15915                                           0.54613                                           0.05047                                           1.03032                                           -0.07411                                          0.05757                                           -0.16435                                          0.14097                                           -0.21586                                          -0.19989                                          0.12947                                           -0.08940                                          0.93756                                           -1.25864                                          0.02765                                           0.54413                                           0.48259                                           0.18383                                           0.19111                                           2.15824                                           
1.37 1.52                                         148.81379                                         0.38814                                           0.21230                                           -0.06038                                          0.71823                                           0.05098                                           1.14220                                           -0.04091                                          -0.04989                                          -0.14896                                          0.16090                                           -0.19439                                          -0.18355                                          0.17417                                           0.04956                                           1.06609                                           -1.21433                                          0.04670                                           0.53331                                           0.54548                                           0.41318                                           0.26334                                           2.33744                                           
1.52 1.74                                         151.15910                                         0.32025                                           0.18343                                           -0.05045                                          0.50969                                           0.05183                                           1.00484                                           -0.09488                                          -0.04321                                          -0.15553                                          0.17650                                           -0.23568                                          -0.09514                                          0.17530                                           -0.01935                                          1.17835                                           -1.10891                                          0.06143                                           0.60775                                           0.55841                                           0.44627                                           0.21787                                           2.24055                                           
1.74 1.95                                         153.36326                                         0.34857                                           0.18738                                           0.00296                                           0.49321                                           0.05301                                           1.04881                                           0.01236                                           -0.04474                                          -0.18105                                          0.16743                                           -0.19396                                          -0.20664                                          0.13201                                           -0.06321                                          1.30167                                           -0.88053                                          0.03914                                           0.60756                                           0.53734                                           1.12719                                           0.22650                                           2.44884                                           
1.95 2.18                                         150.81622                                         0.33742                                           0.19621                                           -0.11719                                          0.59301                                           0.05150                                           1.13377                                           -0.03519                                          0.07238                                           -0.22278                                          0.16874                                           -0.16485                                          -0.18693                                          0.16642                                           0.13498                                           1.37982                                           -0.51290                                          0.04060                                           0.65888                                           0.51297                                           0.99750                                           0.21283                                           2.40640                                           
2.18 2.4                                          145.49921                                         0.34156                                           0.21728                                           -0.00028                                          0.56327                                           0.05011                                           1.12415                                           0.06854                                           0.12284                                           -0.20309                                          0.21753                                           -0.15697                                          -0.27226                                          0.11546                                           -0.04274                                          1.42251                                           -0.03862                                          0.04800                                           0.63488                                           0.45876                                           1.10689                                           0.20917                                           2.40059                                           
