25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            432.66774                                         0.70842                                           0.58873                                           -0.99391                                          1.38309                                           0.10047                                           2.03112                                           -0.03058                                          -0.02563                                          0.49211                                           0.61533                                           -0.73608                                          -0.83970                                          0.65411                                           0.61326                                           0.99270                                           -0.19075                                          0.16454                                           0.85968                                           1.29182                                           1.44881                                           0.59111                                           3.99518                                           
0.21 0.42                                         430.88358                                         0.62817                                           0.43403                                           -0.33987                                          1.00940                                           0.09929                                           1.61580                                           -0.02824                                          0.02925                                           0.52131                                           0.60585                                           -0.68418                                          -0.63707                                          0.51385                                           0.56691                                           1.77824                                           -0.34634                                          0.12795                                           0.82490                                           1.25427                                           2.18410                                           0.50841                                           4.07728                                           
0.42 0.63                                         425.49451                                         0.60386                                           0.38114                                           -0.66176                                          1.15707                                           0.09836                                           1.56829                                           -0.01850                                          0.03396                                           0.48804                                           0.47799                                           -0.65383                                          -0.72753                                          0.50202                                           0.64846                                           2.38816                                           -0.51006                                          0.14268                                           0.81370                                           1.29883                                           1.04092                                           0.50923                                           4.02050                                           
0.63 0.84                                         419.67653                                         0.64764                                           0.49305                                           -0.18153                                          1.29696                                           0.09782                                           2.05690                                           0.01078                                           -0.01677                                          0.51377                                           0.48388                                           -0.74486                                          -0.48644                                          0.62067                                           0.68541                                           2.83344                                           -0.68228                                          0.15335                                           0.77240                                           1.36286                                           1.43670                                           0.55854                                           4.65736                                           
0.84 1.05                                         408.49245                                         0.66286                                           0.50714                                           0.44585                                           1.31599                                           0.09589                                           2.13185                                           0.03230                                           0.01699                                           0.50546                                           0.45971                                           -0.68908                                          -0.40857                                          0.51876                                           0.70028                                           3.08144                                           -0.85161                                          0.18655                                           0.58666                                           1.41401                                           0.85984                                           0.55659                                           4.71797                                           
1.05 1.37                                         400.89616                                         0.47493                                           0.33994                                           0.34726                                           1.57669                                           0.09497                                           1.11863                                           -0.08170                                          -0.04792                                          0.60706                                           0.36513                                           -0.89270                                          -0.23602                                          0.47589                                           0.64697                                           3.22633                                           -1.08632                                          0.12266                                           0.69775                                           1.52094                                           0.76876                                           0.42506                                           4.60076                                           
1.37 1.52                                         383.52403                                         0.63768                                           0.34245                                           -0.04546                                          0.99228                                           0.09046                                           1.19437                                           0.07795                                           -0.04023                                          0.60367                                           0.39849                                           -0.90721                                          -0.23897                                          0.43707                                           0.72192                                           3.08082                                           -1.26817                                          0.10739                                           0.63022                                           1.58849                                           0.73723                                           0.53998                                           4.41912                                           
1.52 1.74                                         375.24845                                         0.52710                                           0.29455                                           -0.12067                                          0.83142                                           0.08861                                           1.00885                                           -0.03424                                          -0.01613                                          0.56007                                           0.34087                                           -0.88569                                          0.06790                                           0.46891                                           0.74071                                           2.89528                                           -1.42773                                          0.08872                                           0.59197                                           1.67375                                           1.46315                                           0.44164                                           4.44114                                           
1.74 1.95                                         361.58830                                         0.52659                                           0.29519                                           -0.23703                                          1.20394                                           0.08529                                           1.01590                                           -0.04365                                          -0.04848                                          0.52837                                           0.34081                                           -0.97695                                          0.05122                                           0.38572                                           0.64107                                           2.53425                                           -1.59637                                          0.10007                                           0.50857                                           1.73203                                           0.80917                                           0.44232                                           4.19980                                           
1.95 2.18                                         339.94173                                         0.47460                                           0.29766                                           -0.28702                                          1.10829                                           0.08017                                           1.12027                                           -0.06147                                          -0.06789                                          0.53026                                           0.34619                                           -0.87439                                          0.14552                                           0.38670                                           0.69201                                           2.00868                                           -1.72485                                          0.08909                                           0.44543                                           1.80422                                           0.84034                                           0.40777                                           3.97847                                           
2.18 2.4                                          319.22141                                         0.48481                                           0.24588                                           0.08939                                           1.78808                                           0.07483                                           1.08075                                           -0.03389                                          -0.07853                                          0.49258                                           0.31159                                           -0.88506                                          0.13316                                           0.40178                                           0.53961                                           1.40150                                           -1.84650                                          0.09965                                           0.38355                                           1.80913                                           0.82371                                           0.41244                                           3.96136                                           
