25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            100.92507                                         0.34128                                           0.28221                                           -0.25476                                          0.31789                                           0.03374                                           0.97660                                           -0.03078                                          -0.05106                                          -0.15733                                          -0.24982                                          -0.05061                                          -0.20982                                          0.07819                                           0.10326                                           0.31297                                           -0.98913                                          0.04496                                           0.41528                                           0.24464                                           0.43598                                           0.25108                                           1.70832                                           
0.21 0.42                                         100.60261                                         0.30242                                           0.20120                                           -0.07801                                          0.23190                                           0.03771                                           0.85948                                           0.02240                                           -0.02108                                          -0.14859                                          -0.22619                                          -0.02496                                          -0.17464                                          0.06335                                           0.08290                                           0.15156                                           -0.74728                                          0.04601                                           0.40250                                           0.24086                                           0.33704                                           0.20309                                           1.38385                                           
0.42 0.63                                         99.79291                                          0.30427                                           0.20871                                           -0.15271                                          0.26860                                           0.03333                                           0.82328                                           -0.02133                                          -0.05187                                          -0.11386                                          -0.17488                                          -0.01901                                          -0.20342                                          0.06616                                           -0.02546                                          0.03573                                           -0.55114                                          0.04257                                           0.38528                                           0.24630                                           0.30844                                           0.20726                                           1.25117                                           
0.63 0.84                                         96.76285                                          0.31573                                           0.23547                                           -0.03750                                          0.29586                                           0.03267                                           1.15555                                           0.01114                                           -0.01478                                          -0.10128                                          -0.14421                                          -0.07369                                          -0.06963                                          0.02510                                           -0.08082                                          -0.03333                                          -0.39526                                          0.03222                                           0.37949                                           0.29210                                           0.28793                                           0.23232                                           1.43323                                           
0.84 1.05                                         95.23010                                          0.31542                                           0.24923                                           0.08166                                           0.30280                                           0.03226                                           1.21511                                           -0.02028                                          -0.04185                                          -0.09276                                          -0.11997                                          -0.11165                                          -0.16874                                          0.06546                                           -0.02384                                          -0.05723                                          -0.29657                                          0.04971                                           0.35482                                           0.30065                                           1.03122                                           0.21754                                           1.76909                                           
1.05 1.37                                         93.20606                                          0.23292                                           0.14716                                           0.10632                                           0.36218                                           0.03220                                           0.61935                                           0.02257                                           0.04007                                           -0.15692                                          -0.13855                                          -0.12785                                          -0.05789                                          0.04231                                           -0.09102                                          -0.02686                                          -0.23827                                          0.03499                                           0.31263                                           0.38666                                           0.46169                                           0.16000                                           1.08129                                           
1.37 1.52                                         89.47162                                          0.31433                                           0.15640                                           -0.03091                                          0.23056                                           0.03131                                           0.65706                                           0.09348                                           0.03869                                           -0.21561                                          -0.17052                                          -0.14618                                          0.03482                                           0.09050                                           -0.05263                                          0.05220                                           -0.24016                                          0.03536                                           0.27728                                           0.43358                                           0.38224                                           0.21492                                           1.07213                                           
1.52 1.74                                         86.56008                                          0.24958                                           0.13217                                           -0.02889                                          0.18901                                           0.03048                                           0.57393                                           0.02896                                           -0.01276                                          -0.17225                                          -0.12856                                          -0.17255                                          0.04424                                           0.09295                                           0.02404                                           0.14391                                           -0.27669                                          0.03528                                           0.31539                                           0.44887                                           0.20271                                           0.17967                                           0.97228                                           
1.74 1.95                                         82.02252                                          0.24944                                           0.13008                                           -0.04582                                          0.25962                                           0.02896                                           0.54002                                           0.01495                                           0.04122                                           -0.14760                                          -0.12595                                          -0.16472                                          -0.01802                                          0.05237                                           -0.06192                                          0.27490                                           -0.34840                                          0.04126                                           0.28186                                           0.43538                                           0.28208                                           0.16205                                           1.01291                                           
1.95 2.18                                         79.37522                                          0.23684                                           0.12778                                           -0.06574                                          0.25020                                           0.02796                                           0.58584                                           -0.03048                                          0.02648                                           -0.14282                                          -0.13204                                          -0.09866                                          0.05718                                           0.07410                                           -0.04706                                          0.44161                                           -0.46278                                          0.02566                                           0.30074                                           0.40993                                           0.27431                                           0.16313                                           1.12142                                           
2.18 2.4                                          76.07759                                          0.24169                                           0.13321                                           0.02279                                           0.40744                                           0.02667                                           0.60194                                           0.01608                                           0.12747                                           -0.15098                                          -0.10158                                          -0.10044                                          -0.03648                                          0.06397                                           -0.03638                                          0.63390                                           -0.60705                                          0.03594                                           0.30143                                           0.37086                                           0.41192                                           0.16507                                           1.34563                                           
