31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            466.10126                                         0.74991                                           0.59995                                           -1.09461                                          0.63188                                           -0.19854                                          0.12656                                           1.08178                                           0.79679                                           0.07219                                           -0.02509                                          -0.02239                                          0.52204                                           0.64743                                           -0.85878                                          0.93671                                           0.47189                                           0.88147                                           1.48153                                           1.02284                                           1.06532                                           0.19981                                           0.76074                                           1.07348                                           0.95567                                           1.72417                                           3.83680                                           0.90202                                           5.71825                                           
0.21 0.42                                         461.76428                                         0.66282                                           0.43555                                           -0.37404                                          0.62748                                           0.02742                                           0.12484                                           0.91602                                           0.25964                                           0.07140                                           -0.02227                                          0.05552                                           0.51627                                           0.66920                                           -0.79179                                          0.87814                                           0.26313                                           0.65871                                           1.92718                                           1.28495                                           0.74813                                           0.17657                                           0.72057                                           1.27009                                           0.66300                                           1.70451                                           3.04608                                           0.75609                                           5.05509                                           
0.42 0.63                                         457.05593                                         0.63816                                           0.38322                                           -0.77158                                          0.63049                                           -0.23069                                          0.12398                                           0.90293                                           0.24591                                           0.07053                                           0.00417                                           0.00928                                           0.53006                                           0.54772                                           -0.78203                                          0.78357                                           0.18377                                           0.75419                                           2.26631                                           1.42265                                           0.55922                                           0.15752                                           0.69975                                           1.17576                                           0.52093                                           1.76844                                           2.11828                                           0.73437                                           4.72155                                           
0.63 0.84                                         451.78152                                         0.68376                                           0.50116                                           -0.30384                                          0.63627                                           -0.53010                                          0.12297                                           1.17122                                           0.26229                                           0.06982                                           -0.00983                                          0.02246                                           0.56899                                           0.55731                                           -0.89650                                          0.98276                                           0.33180                                           0.90903                                           2.49994                                           1.43858                                           0.49297                                           0.15775                                           0.71555                                           0.61045                                           0.50601                                           1.81879                                           4.18631                                           0.80304                                           6.08577                                           
0.84 1.05                                         437.89371                                         0.69517                                           0.51130                                           0.44453                                           0.66031                                           0.01284                                           0.12028                                           1.22004                                           0.39996                                           0.06807                                           0.04446                                           0.02136                                           0.58483                                           0.55185                                           -0.69622                                          1.29257                                           0.16673                                           0.86377                                           2.58294                                           1.31260                                           0.48405                                           0.17366                                           0.58977                                           0.82798                                           0.52654                                           1.85974                                           2.68294                                           0.84641                                           5.24251                                           
1.05 1.37                                         430.46895                                         0.50009                                           0.34205                                           0.36893                                           0.65801                                           -0.40270                                          0.11904                                           0.63858                                           0.44069                                           0.06679                                           0.02252                                           0.01874                                           0.64486                                           0.41251                                           -0.87069                                          1.31259                                           0.18808                                           0.98260                                           2.60843                                           1.03021                                           0.48441                                           0.13022                                           0.65439                                           0.90001                                           0.54001                                           1.95177                                           2.37367                                           0.60326                                           4.99920                                           
1.37 1.52                                         411.38352                                         0.67134                                           0.33883                                           -0.07658                                          0.65185                                           -0.00942                                          0.11307                                           0.66112                                           0.23270                                           0.06322                                           0.06286                                           -0.05691                                          0.64116                                           0.45744                                           -0.82622                                          1.35673                                           0.09485                                           0.85637                                           2.43643                                           0.62252                                           0.43566                                           0.12892                                           0.61569                                           1.06659                                           0.49389                                           2.01112                                           2.03924                                           0.81343                                           4.70132                                           
1.52 1.74                                         401.40794                                         0.55242                                           0.28991                                           -0.15696                                          0.67046                                           -0.09688                                          0.10997                                           0.56037                                           0.18748                                           0.06142                                           -0.06539                                          -0.00380                                          0.62441                                           0.39596                                           -0.69337                                          1.58001                                           0.18827                                           0.86897                                           2.25981                                           0.23799                                           0.38799                                           0.13789                                           0.60050                                           0.39891                                           0.45224                                           2.08563                                           2.56557                                           0.69875                                           4.76747                                           
1.74 1.95                                         388.78800                                         0.55063                                           0.29208                                           -0.24274                                          0.69117                                           -0.31910                                          0.10574                                           0.55874                                           0.21995                                           0.05969                                           0.01898                                           0.02902                                           0.60167                                           0.36039                                           -0.63009                                          1.73435                                           0.08025                                           1.05203                                           1.97685                                           -0.28326                                          0.36057                                           0.16238                                           0.60103                                           0.60711                                           0.44003                                           2.10089                                           2.57323                                           0.67014                                           4.76053                                           
1.95 2.18                                         365.83921                                         0.49601                                           0.29772                                           -0.32840                                          0.70677                                           0.07633                                           0.09922                                           0.58323                                           0.26608                                           0.05621                                           -0.02597                                          0.02938                                           0.54529                                           0.35445                                           -0.59159                                          1.63422                                           0.14027                                           0.83783                                           1.57278                                           -0.86377                                          0.42786                                           0.15433                                           0.48688                                           0.47013                                           0.52195                                           2.12879                                           1.91485                                           0.63797                                           4.24913                                           
2.18 2.4                                          341.71450                                         0.50461                                           0.24042                                           0.10989                                           0.71790                                           -0.01855                                          0.09220                                           0.56552                                           0.24278                                           0.05311                                           -0.01735                                          -0.10275                                          0.48791                                           0.33229                                           -0.57288                                          1.60819                                           0.09629                                           0.64057                                           1.11308                                           -1.47754                                          0.60821                                           0.16172                                           0.41119                                           0.39807                                           0.71388                                           2.11184                                           1.07994                                           0.66831                                           3.92392                                           
