31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            573.08656                                         0.80819                                           0.70098                                           -1.29207                                          0.76471                                           0.27427                                           0.14566                                           1.40225                                           0.97104                                           0.09387                                           -0.02462                                          -0.02359                                          0.66351                                           -0.76132                                          -0.99331                                          -0.64124                                          0.69982                                           0.60049                                           1.75492                                           -0.00586                                          1.62510                                           0.13669                                           1.18144                                           0.14424                                           0.66462                                           1.44356                                           1.14896                                           0.68588                                           4.52786                                           
0.21 0.42                                         575.38992                                         0.72028                                           0.52086                                           -1.02411                                          0.76931                                           0.54538                                           0.14649                                           1.17136                                           0.33434                                           0.09467                                           0.00526                                           -0.00901                                          0.65855                                           -0.80629                                          -1.07412                                          -0.82532                                          0.49894                                           0.80925                                           2.06664                                           -0.21991                                          1.16390                                           0.12620                                           1.11067                                           -0.03227                                          0.46728                                           1.46263                                           1.94907                                           0.61588                                           4.58330                                           
0.42 0.63                                         574.94314                                         0.69582                                           0.46088                                           -1.14638                                          0.77830                                           -0.03015                                          0.14744                                           1.16970                                           0.30901                                           0.09513                                           -0.04743                                          0.03873                                           0.73031                                           -0.71822                                          -1.12102                                          -0.67052                                          0.57594                                           0.64085                                           2.35389                                           -0.42543                                          0.87313                                           0.10872                                           1.17049                                           0.36712                                           0.37065                                           1.51597                                           0.67140                                           0.57307                                           4.28309                                           
0.63 0.84                                         578.93373                                         0.75601                                           0.60223                                           -0.33948                                          0.80300                                           0.83944                                           0.14912                                           1.59360                                           0.31862                                           0.09580                                           0.01458                                           0.02294                                           0.74692                                           -0.66661                                          -1.19564                                          -0.51548                                          0.51135                                           0.60545                                           2.64542                                           -0.62727                                          0.76659                                           0.12328                                           1.15193                                           0.11388                                           0.36677                                           1.61900                                           0.98511                                           0.62559                                           4.61283                                           
0.84 1.05                                         577.26672                                         0.77963                                           0.62063                                           0.18488                                           0.85397                                           0.76937                                           0.14930                                           1.63355                                           0.51955                                           0.09581                                           0.04229                                           0.01632                                           0.80271                                           -0.69136                                          -1.13742                                          -0.45157                                          0.51993                                           0.74121                                           2.89658                                           -0.81556                                          0.76008                                           0.15230                                           1.21800                                           0.21561                                           0.39261                                           1.68242                                           1.28067                                           0.66916                                           4.94075                                           
1.05 1.37                                         592.72777                                         0.57016                                           0.42941                                           0.60718                                           0.88830                                           0.61390                                           0.15343                                           0.91024                                           0.60678                                           0.09789                                           0.04087                                           -0.03461                                          0.95811                                           -0.61586                                          -1.29947                                          -0.47288                                          0.59230                                           0.60757                                           3.28655                                           -1.07170                                          0.78840                                           0.12521                                           1.25108                                           0.12845                                           0.42057                                           1.82821                                           1.11908                                           0.46959                                           5.10316                                           
1.37 1.52                                         590.52255                                         0.78084                                           0.43723                                           -0.23235                                          0.91401                                           -1.13359                                          0.15369                                           1.01688                                           0.33705                                           0.09831                                           -0.05687                                          -0.03475                                          0.93815                                           -0.55516                                          -1.12339                                          -0.30574                                          0.42608                                           0.77710                                           3.52902                                           -1.26352                                          0.73787                                           0.13037                                           1.24238                                           0.02693                                           0.40100                                           1.97139                                           1.16153                                           0.64510                                           5.37111                                           
1.52 1.74                                         598.73429                                         0.65722                                           0.38409                                           -0.21519                                          0.97146                                           0.31123                                           0.15472                                           0.89340                                           0.27159                                           0.09951                                           -0.02059                                          -0.06526                                          0.99620                                           -0.60402                                          -1.19238                                          -0.37189                                          0.53707                                           0.66858                                           3.76711                                           -1.42988                                          0.67944                                           0.13020                                           1.28199                                           -0.28502                                          0.38154                                           2.06518                                           1.38245                                           0.53734                                           5.55402                                           
1.74 1.95                                         595.74624                                         0.66679                                           0.39117                                           -0.04316                                          1.03045                                           0.68995                                           0.15311                                           0.96923                                           0.34852                                           0.09914                                           0.01830                                           0.05418                                           0.89490                                           -0.51204                                          -0.94041                                          -0.53259                                          0.52344                                           0.67857                                           3.95115                                           -1.58654                                          0.63682                                           0.13248                                           1.25542                                           -0.31736                                          0.38138                                           2.14980                                           2.51802                                           0.55110                                           6.11518                                           
1.95 2.18                                         590.11337                                         0.61556                                           0.41545                                           -0.40945                                          1.10565                                           1.60359                                           0.15635                                           0.97759                                           0.43444                                           0.09754                                           -0.05676                                          -0.17950                                          0.82201                                           -0.46524                                          -1.13785                                          -0.68417                                          0.59152                                           0.79762                                           4.10206                                           -1.72845                                          0.78266                                           0.10513                                           1.14439                                           -0.55060                                          0.47621                                           2.23350                                           2.47791                                           0.53976                                           6.53350                                           
2.18 2.4                                          563.26292                                         0.63212                                           0.34351                                           -0.04168                                          1.15021                                           1.53017                                           0.14095                                           1.02410                                           0.42338                                           0.09196                                           -0.03822                                          -0.13935                                          0.80134                                           -0.49493                                          -1.03509                                          -0.83656                                          0.43374                                           0.62247                                           4.08189                                           -1.79389                                          1.14126                                           0.10369                                           1.14571                                           -0.68015                                          0.66558                                           2.22321                                           2.11438                                           0.48229                                           6.43060                                           
