31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            31.48319                                          0.22462                                           0.10804                                           -0.08847                                          0.04660                                           -0.01591                                          0.02072                                           0.32014                                           0.05406                                           0.02727                                           0.03807                                           0.01168                                           -0.06272                                          -0.07632                                          0.18769                                           1.19994                                           0.34257                                           0.21743                                           0.46472                                           0.46432                                           0.46479                                           0.04633                                           0.14951                                           0.56670                                           0.61107                                           0.36102                                           0.77491                                           0.47097                                           2.02456                                           
0.21 0.42                                         29.12506                                          0.18772                                           0.06004                                           -0.01388                                          0.04385                                           0.00292                                           0.01950                                           0.22981                                           0.01641                                           0.02523                                           0.01368                                           0.02371                                           -0.10120                                          -0.09418                                          0.14474                                           1.23968                                           0.18107                                           -0.07851                                          0.35034                                           0.46529                                           0.30016                                           0.04363                                           0.16029                                           0.69769                                           0.39586                                           0.36609                                           0.82962                                           0.40670                                           1.94023                                           
0.42 0.63                                         30.57653                                          0.18840                                           0.07022                                           -0.07658                                          0.04646                                           -0.01850                                          0.02050                                           0.23023                                           0.01642                                           0.02648                                           0.02782                                           -0.03030                                          -0.05923                                          -0.05959                                          0.08085                                           1.27068                                           0.27804                                           0.15301                                           0.28440                                           0.52793                                           0.24276                                           0.04673                                           0.16040                                           0.82126                                           0.32990                                           0.38735                                           0.96490                                           0.39542                                           2.06531                                           
0.63 0.84                                         29.78656                                          0.20037                                           0.09439                                           -0.07553                                          0.04585                                           -0.03854                                          0.01999                                           0.31109                                           0.01729                                           0.02580                                           -0.02098                                          0.02602                                           -0.01563                                          0.00683                                           0.13878                                           1.26622                                           0.22673                                           0.18852                                           0.19594                                           0.55460                                           0.22393                                           0.03732                                           0.17543                                           0.41289                                           0.31582                                           0.37846                                           0.65069                                           0.41268                                           1.80630                                           
0.84 1.05                                         28.93363                                          0.19344                                           0.08988                                           -0.00386                                          0.04765                                           0.00409                                           0.01960                                           0.29284                                           0.02683                                           0.02506                                           0.00999                                           -0.01650                                          -0.02535                                          0.03365                                           0.17309                                           1.29164                                           0.28315                                           -0.13562                                          0.11166                                           0.57969                                           0.23010                                           0.02844                                           0.27203                                           0.57557                                           0.32935                                           0.36291                                           0.40744                                           0.42907                                           1.81513                                           
1.05 1.37                                         27.95842                                          0.14537                                           0.04972                                           0.04655                                           0.04534                                           -0.02924                                          0.01881                                           0.15288                                           0.02875                                           0.02422                                           0.06432                                           0.04882                                           -0.07620                                          -0.03344                                          0.17770                                           1.19335                                           0.21174                                           0.11594                                           0.01216                                           0.61263                                           0.23099                                           0.01767                                           0.18937                                           0.51276                                           0.33202                                           0.35602                                           0.49438                                           0.29557                                           1.69019                                           
1.37 1.52                                         26.81320                                          0.18929                                           0.01171                                           0.00605                                           0.04457                                           -0.00246                                          0.01821                                           0.16732                                           0.01522                                           0.02322                                           0.05941                                           -0.03807                                          -0.05843                                          -0.03123                                          0.22798                                           1.19742                                           0.31499                                           -0.11220                                          -0.06961                                          0.63441                                           0.21067                                           0.03159                                           0.22441                                           0.53121                                           0.30473                                           0.35478                                           0.93606                                           0.40423                                           1.91881                                           
1.52 1.74                                         24.62108                                          0.14646                                           0.02009                                           -0.01692                                          0.04264                                           -0.00736                                          0.01689                                           0.12091                                           0.01150                                           0.02133                                           0.01493                                           0.04402                                           -0.06562                                          -0.01955                                          0.25025                                           1.22052                                           0.24454                                           -0.19934                                          -0.12257                                          0.61779                                           0.17931                                           0.02927                                           0.21538                                           0.47419                                           0.26259                                           0.34395                                           0.60899                                           0.33236                                           1.74535                                           
1.74 1.95                                         26.01221                                          0.14463                                           0.02362                                           -0.03417                                          0.04570                                           -0.02381                                          0.01749                                           0.13889                                           0.01470                                           0.02253                                           -0.03589                                          0.05851                                           0.07483                                           0.04523                                           0.22699                                           1.36253                                           0.17233                                           0.15710                                           -0.20140                                          0.69757                                           0.18704                                           0.03103                                           0.33847                                           0.72246                                           0.27870                                           0.31253                                           1.44855                                           0.35200                                           2.36572                                           
1.95 2.18                                         24.56577                                          0.14361                                           0.02741                                           -0.03277                                          0.04488                                           0.00555                                           0.01620                                           0.14284                                           0.01784                                           0.02128                                           0.04279                                           0.03673                                           -0.08031                                          -0.05820                                          0.22911                                           1.34846                                           0.22335                                           0.05905                                           -0.25957                                          0.70383                                           0.22393                                           0.01743                                           0.25205                                           0.59933                                           0.33178                                           0.28064                                           0.27568                                           0.31365                                           1.83349                                           
2.18 2.4                                          23.17416                                          0.13495                                           0.02100                                           0.01250                                           0.04484                                           0.00127                                           0.01519                                           0.14404                                           0.01646                                           0.02007                                           -0.03657                                          -0.06237                                          -0.13424                                          -0.05968                                          0.21057                                           1.38486                                           0.33907                                           -0.12452                                          -0.31167                                          0.70907                                           0.31538                                           0.01750                                           0.28349                                           0.49215                                           0.45830                                           0.26065                                           0.65759                                           0.32914                                           1.99617                                           
