31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            141.14916                                         0.40308                                           0.35000                                           -0.28333                                          0.18393                                           0.06920                                           0.04843                                           0.74649                                           0.23991                                           0.05389                                           0.03581                                           0.04109                                           -0.11101                                          0.23631                                           -0.11361                                          -0.21585                                          0.08865                                           -0.07996                                          0.17562                                           -0.21095                                          0.65119                                           0.06531                                           0.50419                                           -0.11988                                          0.28252                                           0.27636                                           0.34800                                           0.28499                                           1.46188                                           
0.21 0.42                                         141.28439                                         0.34603                                           0.24481                                           -0.31398                                          0.18458                                           0.13352                                           0.04855                                           0.63222                                           0.08224                                           0.05394                                           0.01637                                           -0.02730                                          -0.12391                                          0.22741                                           -0.14417                                          -0.21110                                          0.15282                                           0.10281                                           0.38100                                           -0.59757                                          0.45795                                           0.04936                                           0.56869                                           -0.04878                                          0.19803                                           0.28752                                           0.48478                                           0.25771                                           1.50100                                           
0.42 0.63                                         142.37131                                         0.36238                                           0.24471                                           -0.31903                                          0.18823                                           -0.00629                                          0.04906                                           0.66998                                           0.07663                                           0.05436                                           -0.07356                                          0.02372                                           -0.15477                                          0.22742                                           -0.07165                                          -0.24590                                          0.06489                                           -0.23220                                          0.56687                                           -0.90588                                          0.35126                                           0.05658                                           0.55086                                           0.07188                                           0.15841                                           0.31023                                           0.39294                                           0.24435                                           1.66590                                           
0.63 0.84                                         144.46691                                         0.38129                                           0.30465                                           -0.02856                                          0.19572                                           0.20928                                           0.05004                                           0.88306                                           0.07934                                           0.05516                                           -0.02371                                          -0.01049                                          -0.12492                                          0.21109                                           -0.15755                                          -0.15251                                          0.11601                                           0.13893                                           0.73665                                           -1.14045                                          0.32788                                           0.05564                                           0.57899                                           -0.17787                                          0.15796                                           0.35230                                           0.21521                                           0.26978                                           1.92301                                           
0.84 1.05                                         144.91964                                         0.38897                                           0.31385                                           0.07149                                           0.20948                                           0.19055                                           0.05043                                           1.00461                                           0.13154                                           0.05533                                           -0.01533                                          -0.01484                                          -0.09641                                          0.15211                                           -0.13588                                          -0.15315                                          0.16071                                           0.13459                                           0.87663                                           -1.27874                                          0.34195                                           0.03630                                           0.61238                                           -0.02397                                          0.17011                                           0.38863                                           0.56426                                           0.26863                                           2.19151                                           
1.05 1.37                                         148.42112                                         0.28736                                           0.20283                                           0.17431                                           0.21778                                           0.15362                                           0.05224                                           0.56484                                           0.15212                                           0.05667                                           -0.07416                                          0.05907                                           -0.16540                                          0.14169                                           -0.18478                                          -0.19917                                          0.12937                                           -0.09034                                          1.04025                                           -1.35626                                          0.36210                                           0.02769                                           0.54363                                           -0.04157                                          0.18176                                           0.48262                                           0.13979                                           0.19378                                           2.07836                                           
1.37 1.52                                         148.83123                                         0.39136                                           0.21377                                           -0.06814                                          0.22529                                           -0.27826                                          0.05281                                           0.59984                                           0.08506                                           0.05682                                           -0.04059                                          -0.04966                                          -0.14901                                          0.16005                                           -0.08849                                          -0.16500                                          0.17432                                           0.05066                                           1.13657                                           -1.28215                                          0.34528                                           0.04646                                           0.53340                                           -0.12738                                          0.17443                                           0.54541                                           0.36320                                           0.26337                                           2.13507                                           
1.52 1.74                                         151.14168                                         0.33534                                           0.18486                                           -0.04877                                          0.23858                                           0.08028                                           0.05367                                           0.51356                                           0.06847                                           0.05771                                           -0.09513                                          -0.04380                                          -0.15609                                          0.17669                                           -0.12419                                          -0.12000                                          0.17522                                           -0.01905                                          1.20663                                           -1.15968                                          0.32398                                           0.06152                                           0.60755                                           -0.06239                                          0.16623                                           0.55837                                           0.40345                                           0.22037                                           2.08214                                           
1.74 1.95                                         153.36686                                         0.33933                                           0.19689                                           0.00558                                           0.25500                                           0.17900                                           0.05419                                           0.59686                                           0.08983                                           0.05856                                           0.01116                                           -0.04423                                          -0.18039                                          0.16658                                           -0.13219                                          -0.17798                                          0.13315                                           -0.06162                                          1.26115                                           -0.91885                                          0.32030                                           0.03904                                           0.60833                                           -0.19765                                          0.16945                                           0.53737                                           1.11432                                           0.21997                                           2.27930                                           
1.95 2.18                                         150.81143                                         0.33045                                           0.19951                                           -0.11387                                          0.26896                                           0.40655                                           0.05332                                           0.59178                                           0.11102                                           0.05758                                           -0.03639                                          0.07290                                           -0.22222                                          0.16893                                           -0.11268                                          -0.15936                                          0.15508                                           0.13498                                           1.24971                                           -0.54557                                          0.39442                                           0.04068                                           0.66006                                           -0.04147                                          0.21005                                           0.51310                                           0.95641                                           0.21100                                           2.13182                                           
2.18 2.4                                          145.29101                                         0.32960                                           0.22255                                           0.00258                                           0.27741                                           0.39472                                           0.05265                                           0.62941                                           0.10931                                           0.05547                                           0.07083                                           0.12174                                           -0.20288                                          0.21657                                           -0.12715                                          -0.24360                                          0.13533                                           -0.04479                                          1.18577                                           -0.07363                                          0.56812                                           0.04784                                           0.63293                                           -0.22040                                          0.29631                                           0.45880                                           1.06289                                           0.21226                                           2.13512                                           
