31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            33.49702                                          0.19517                                           0.16557                                           -0.09247                                          0.04643                                           0.01600                                           0.00321                                           0.21647                                           0.05690                                           0.00543                                           0.00592                                           0.01256                                           0.18197                                           -0.27590                                          -0.13615                                          -0.14301                                          0.13832                                           0.18855                                           0.18713                                           0.10861                                           0.29002                                           0.01587                                           0.03150                                           -0.00495                                          0.16371                                           0.10166                                           0.22023                                           0.08403                                           0.71868                                           
0.21 0.42                                         33.45499                                          0.16811                                           0.11734                                           -0.07650                                          0.04651                                           0.03291                                           0.00321                                           0.17484                                           0.01948                                           0.00543                                           0.02370                                           -0.00632                                          0.19492                                           -0.24240                                          -0.12050                                          -0.16009                                          0.14335                                           0.03700                                           0.14378                                           0.06427                                           0.20195                                           0.01884                                           0.03366                                           -0.01295                                          0.11450                                           0.10156                                           0.09322                                           0.07364                                           0.56396                                           
0.42 0.63                                         33.19813                                          0.16942                                           0.11395                                           -0.06147                                          0.04670                                           -0.00243                                          0.00318                                           0.16292                                           0.01779                                           0.00539                                           -0.00678                                          0.01403                                           0.14181                                           -0.19416                                          -0.14914                                          -0.11893                                          0.12796                                           0.03826                                           0.12244                                           0.02679                                           0.15385                                           0.01004                                           0.05410                                           -0.00993                                          0.09019                                           0.09737                                           0.11570                                           0.07720                                           0.48743                                           
0.63 0.84                                         33.23840                                          0.18120                                           0.14693                                           -0.04075                                          0.04777                                           0.04728                                           0.00318                                           0.21270                                           0.01840                                           0.00539                                           -0.02777                                          -0.02555                                          0.15882                                           -0.17011                                          -0.15298                                          -0.13766                                          0.13764                                           0.05993                                           0.12491                                           -0.00331                                          0.14542                                           0.01145                                           0.05124                                           0.01549                                           0.08874                                           0.09126                                           0.51084                                           0.07915                                           0.71905                                           
0.84 1.05                                         32.65112                                          0.18505                                           0.14601                                           -0.02183                                          0.04990                                           0.04272                                           0.00311                                           0.20248                                           0.02881                                           0.00530                                           0.02158                                           0.01619                                           0.20396                                           -0.19227                                          -0.15530                                          -0.14127                                          0.14379                                           0.10607                                           0.14716                                           -0.02609                                          0.15109                                           0.01575                                           0.04082                                           -0.04162                                          0.09358                                           0.08258                                           0.32295                                           0.08020                                           0.63118                                           
1.05 1.37                                         33.47779                                          0.12810                                           0.08689                                           0.02488                                           0.05207                                           0.03465                                           0.00319                                           0.09773                                           0.03435                                           0.00543                                           0.01037                                           -0.02342                                          0.20923                                           -0.16183                                          -0.14034                                          -0.10729                                          0.13127                                           0.07477                                           0.21498                                           -0.04638                                          0.16131                                           0.01302                                           0.04671                                           -0.02250                                          0.10010                                           0.07919                                           0.08638                                           0.04629                                           0.50065                                           
1.37 1.52                                         32.61885                                          0.17686                                           0.08702                                           -0.00587                                          0.05291                                           -0.05994                                          0.00312                                           0.10534                                           0.01864                                           0.00529                                           0.05809                                           -0.02398                                          0.18977                                           -0.12475                                          -0.14953                                          -0.11783                                          0.09989                                           0.05606                                           0.29437                                           -0.05315                                          0.15031                                           0.00805                                           0.05366                                           0.00589                                           0.09334                                           0.08463                                           0.06818                                           0.07345                                           0.52090                                           
1.52 1.74                                         32.88895                                          0.14637                                           0.07244                                           -0.01731                                          0.05880                                           0.01620                                           0.00317                                           0.09285                                           0.01495                                           0.00534                                           0.04114                                           0.09731                                           0.22851                                           -0.16837                                          -0.14431                                          -0.09548                                          0.12763                                           0.10354                                           0.38388                                           -0.05389                                          0.14190                                           0.01129                                           0.06087                                           -0.01863                                          0.08832                                           0.09412                                           0.18293                                           0.05478                                           0.62812                                           
1.74 1.95                                         31.98995                                          0.15327                                           0.07360                                           -0.00741                                          0.06015                                           0.03628                                           0.00316                                           0.09795                                           0.01875                                           0.00519                                           0.03853                                           0.03734                                           0.23829                                           -0.16633                                          -0.14379                                          -0.12624                                          0.12629                                           0.09013                                           0.49300                                           -0.04630                                          0.13877                                           0.01188                                           0.05842                                           -0.01307                                          0.08630                                           0.11882                                           0.19204                                           0.05959                                           0.70609                                           
1.95 2.18                                         31.83758                                          0.14527                                           0.07721                                           -0.01089                                          0.06970                                           0.09139                                           0.00643                                           0.11191                                           0.02347                                           0.00517                                           0.02993                                           0.12224                                           0.22111                                           -0.16708                                          -0.12537                                          -0.10617                                          0.11645                                           0.08875                                           0.63593                                           -0.03268                                          0.17611                                           0.01022                                           0.06406                                           -0.02643                                          0.10827                                           0.15263                                           0.11174                                           0.06362                                           0.81636                                           
2.18 2.4                                          29.92393                                          0.14283                                           0.07284                                           -0.00185                                          0.07109                                           0.08329                                           0.00308                                           0.12001                                           0.02246                                           0.00485                                           0.04865                                           0.13434                                           0.21186                                           -0.14256                                          -0.14402                                          -0.13352                                          0.12549                                           0.11591                                           0.76043                                           -0.01079                                          0.24512                                           0.01149                                           0.10996                                           -0.01063                                          0.14901                                           0.19612                                           0.34326                                           0.05282                                           1.00881                                           
