31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            35.76983                                          0.19243                                           0.14039                                           -0.08292                                          0.05493                                           0.01854                                           0.01115                                           0.24496                                           0.06071                                           0.00723                                           -0.00496                                          0.00678                                           0.14362                                           -0.27345                                          -0.19384                                          0.13072                                           0.49759                                           0.38639                                           0.29285                                           0.29582                                           0.41716                                           0.01253                                           0.15027                                           0.08004                                           0.23705                                           0.26694                                           0.32647                                           0.12415                                           1.12549                                           
0.21 0.42                                         36.59986                                          0.16644                                           0.09449                                           -0.02311                                          0.05628                                           0.03660                                           0.01127                                           0.20991                                           0.02118                                           0.00741                                           0.02338                                           0.01848                                           0.14175                                           -0.27526                                          -0.19227                                          0.13014                                           0.49807                                           0.52738                                           0.43092                                           0.27678                                           0.29870                                           0.01694                                           0.15112                                           0.02217                                           0.16985                                           0.26286                                           0.60653                                           0.13088                                           1.26238                                           
0.42 0.63                                         36.46374                                          0.16191                                           0.08840                                           -0.06099                                          0.05695                                           -0.00037                                          0.01114                                           0.20060                                           0.01959                                           0.00736                                           -0.00629                                          0.01120                                           0.18621                                           -0.28828                                          -0.19043                                          0.16084                                           0.59047                                           0.49096                                           0.53241                                           0.25805                                           0.22549                                           0.00863                                           0.14765                                           0.22659                                           0.13433                                           0.25462                                           0.11072                                           0.13209                                           1.18830                                           
0.63 0.84                                         35.55297                                          0.17648                                           0.12178                                           -0.07123                                          0.05726                                           0.05330                                           0.01104                                           0.25021                                           0.01983                                           0.00723                                           0.02130                                           0.02074                                           0.19022                                           -0.26429                                          -0.16892                                          0.17045                                           0.50663                                           0.34407                                           0.59264                                           0.24224                                           0.20119                                           0.00754                                           0.14365                                           0.13201                                           0.12871                                           0.24298                                           0.31755                                           0.14043                                           1.14604                                           
0.84 1.05                                         34.57803                                          0.17807                                           0.13208                                           0.02212                                           0.05951                                           0.04691                                           0.01041                                           0.23389                                           0.03066                                           0.00693                                           0.02701                                           0.02435                                           0.17321                                           -0.25482                                          -0.16727                                          0.11004                                           0.58089                                           0.41623                                           0.62164                                           0.23418                                           0.20199                                           0.01133                                           0.14771                                           0.15632                                           0.13439                                           0.22509                                           0.21171                                           0.13508                                           1.17760                                           
1.05 1.37                                         35.36068                                          0.12892                                           0.06845                                           0.03431                                           0.06294                                           0.03756                                           0.01061                                           0.11945                                           0.03615                                           0.00706                                           0.02101                                           0.06471                                           0.19556                                           -0.19060                                          -0.17955                                          0.08427                                           0.62350                                           0.44193                                           0.65578                                           0.24886                                           0.21095                                           0.01032                                           0.11221                                           0.12823                                           0.14337                                           0.19663                                           0.28897                                           0.10096                                           1.20337                                           
1.37 1.52                                         34.13390                                          0.17144                                           0.05350                                           -0.00505                                          0.06286                                           -0.07109                                          0.00984                                           0.13115                                           0.01945                                           0.00671                                           0.02570                                           0.04220                                           0.20234                                           -0.18994                                          -0.16777                                          0.11317                                           0.57957                                           0.35018                                           0.61568                                           0.25836                                           0.19160                                           0.01988                                           0.09883                                           0.10209                                           0.13245                                           0.18303                                           0.48500                                           0.13994                                           1.19059                                           
1.52 1.74                                         33.50602                                          0.13906                                           0.04678                                           -0.02203                                          0.06591                                           0.01705                                           0.00910                                           0.11108                                           0.01525                                           0.00647                                           0.00801                                           0.05320                                           0.19446                                           -0.18922                                          -0.17891                                          0.12255                                           0.61521                                           0.33611                                           0.56854                                           0.27418                                           0.17469                                           0.01336                                           0.08147                                           0.13679                                           0.12201                                           0.17550                                           0.15428                                           0.10552                                           1.08170                                           
1.74 1.95                                         31.38652                                          0.13718                                           0.04010                                           -0.00918                                          0.06731                                           0.03622                                           0.00836                                           0.11141                                           0.01836                                           0.00600                                           0.01002                                           0.04366                                           0.17542                                           -0.17070                                          -0.14166                                          0.10201                                           0.54997                                           0.40197                                           0.47034                                           0.28603                                           0.16841                                           0.01661                                           0.07929                                           0.10797                                           0.11482                                           0.17594                                           0.05415                                           0.09817                                           0.99154                                           
1.95 2.18                                         30.35283                                          0.13470                                           0.05451                                           -0.01879                                          0.07283                                           0.08321                                           0.00849                                           0.12868                                           0.02240                                           0.00571                                           0.01020                                           0.03326                                           0.14793                                           -0.12698                                          -0.08934                                          0.01010                                           0.51995                                           0.31867                                           0.36826                                           0.31282                                           0.21863                                           0.01105                                           0.13729                                           -0.02169                                          0.13997                                           0.17629                                           0.43149                                           0.05453                                           0.99622                                           
2.18 2.4                                          26.83858                                          0.12988                                           0.05001                                           0.00461                                           0.07169                                           0.07413                                           0.00655                                           0.12071                                           0.02017                                           0.00497                                           0.03869                                           0.13761                                           0.19784                                           -0.17819                                          -0.14163                                          0.06495                                           0.53236                                           0.31934                                           0.22419                                           0.31612                                           0.29360                                           0.01819                                           0.03927                                           0.05803                                           0.18122                                           0.18465                                           0.12003                                           0.10326                                           0.92889                                           
