26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            30.19063                                          0.17740                                           0.12524                                           -0.07506                                          0.10617                                           0.00873                                           0.38844                                           -0.01329                                          -0.01766                                          0.14489                                           0.24305                                           -0.18433                                          0.26162                                           0.52170                                           0.49937                                           0.09222                                           0.45099                                           0.01418                                           0.13151                                           0.20864                                           0.25519                                           0.17125                                           0.12154                                           1.12704                                           
0.21 0.42                                         29.98005                                          0.14874                                           0.07963                                           -0.02007                                          0.07840                                           0.00872                                           0.32486                                           -0.00863                                          -0.02147                                          0.12840                                           0.25454                                           -0.20925                                          0.23157                                           0.43746                                           0.34576                                           0.32131                                           0.38568                                           0.01379                                           0.14609                                           0.11410                                           0.24662                                           0.14620                                           0.10599                                           0.99429                                           
0.42 0.63                                         29.72570                                          0.14515                                           0.07867                                           -0.02644                                          0.08944                                           0.00855                                           0.29017                                           -0.01220                                          0.01807                                           0.12960                                           0.22288                                           -0.17433                                          0.22193                                           0.46630                                           0.43406                                           0.51434                                           0.32819                                           0.02056                                           0.15013                                           0.13867                                           0.23830                                           0.16526                                           0.10653                                           1.07772                                           
0.63 0.84                                         29.94517                                          0.15439                                           0.10769                                           -0.01496                                          0.09969                                           0.01642                                           0.38044                                           0.01225                                           -0.01002                                          0.15239                                           0.22793                                           -0.19993                                          0.23903                                           0.53236                                           0.46341                                           0.68307                                           0.28349                                           0.01469                                           0.14852                                           0.16778                                           0.22258                                           0.26662                                           0.11003                                           1.25203                                           
0.84 1.05                                         29.62368                                          0.16719                                           0.12686                                           0.01876                                           0.10366                                           0.00860                                           0.39205                                           0.01153                                           0.01852                                           0.14523                                           0.19735                                           -0.18866                                          0.22463                                           0.46340                                           0.41493                                           0.80698                                           0.24123                                           0.01725                                           0.14348                                           0.15155                                           0.20853                                           0.12322                                           0.12622                                           1.24189                                           
1.05 1.37                                         28.51944                                          0.11838                                           0.06224                                           0.02180                                           0.12235                                           0.00780                                           0.19182                                           0.07837                                           0.04361                                           0.15838                                           0.16584                                           -0.17155                                          0.23323                                           0.44314                                           0.40859                                           0.89249                                           0.19477                                           0.01336                                           0.14135                                           0.13719                                           0.18142                                           0.06550                                           0.08542                                           1.21734                                           
1.37 1.52                                         26.41939                                          0.15018                                           0.04464                                           -0.01531                                          0.07613                                           0.00708                                           0.18648                                           -0.01905                                          -0.00615                                          0.15141                                           0.17624                                           -0.19494                                          0.24907                                           0.50017                                           0.49301                                           0.88381                                           0.15846                                           0.01502                                           0.09780                                           0.18751                                           0.16161                                           0.11776                                           0.13961                                           1.26536                                           
1.52 1.74                                         26.31559                                          0.12082                                           0.04182                                           -0.00938                                          0.06719                                           0.00705                                           0.15898                                           0.02454                                           0.02775                                           0.14410                                           0.14715                                           -0.20247                                          0.25529                                           0.46787                                           0.41079                                           0.90007                                           0.14639                                           0.01180                                           0.09559                                           0.15076                                           0.14997                                           0.11502                                           0.10678                                           1.21654                                           
1.74 1.95                                         25.49735                                          0.12644                                           0.03964                                           -0.00894                                          0.09166                                           0.00712                                           0.16919                                           0.02724                                           0.04985                                           0.14492                                           0.13879                                           -0.19723                                          0.25893                                           0.38669                                           0.39173                                           0.86753                                           0.13518                                           0.01734                                           0.09746                                           0.11576                                           0.14753                                           0.06017                                           0.09429                                           1.14870                                           
1.95 2.18                                         22.34007                                          0.11436                                           0.04136                                           -0.00957                                          0.08399                                           0.00574                                           0.17198                                           0.00812                                           0.03195                                           0.12106                                           0.11589                                           -0.17359                                          0.20205                                           0.47526                                           0.33848                                           0.72990                                           0.11853                                           0.01057                                           0.09608                                           0.13888                                           0.14670                                           0.06397                                           0.09851                                           1.04392                                           
2.18 2.4                                          20.20197                                          0.11804                                           0.03928                                           0.00614                                           0.12912                                           0.00495                                           0.16856                                           0.02605                                           0.09922                                           0.11585                                           0.10229                                           -0.14427                                          0.22230                                           0.40785                                           0.28319                                           0.60740                                           0.11300                                           0.01710                                           0.06635                                           0.09457                                           0.15178                                           0.13891                                           0.09477                                           0.91897                                           
