26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            100.92488                                         0.34128                                           0.28221                                           -0.25477                                          0.31790                                           0.03374                                           0.97660                                           -0.03077                                          -0.05106                                          -0.15732                                          -0.24982                                          -0.05073                                          -0.20981                                          0.07817                                           0.10328                                           0.31302                                           -0.98877                                          0.04496                                           0.41529                                           -0.01433                                          0.24464                                           0.35139                                           0.24353                                           1.68747                                           
0.21 0.42                                         100.60334                                         0.29979                                           0.21650                                           -0.07800                                          0.23190                                           0.03771                                           0.85949                                           0.02240                                           -0.02108                                          -0.14858                                          -0.22618                                          -0.02492                                          -0.17462                                          0.06214                                           0.08288                                           0.15185                                           -0.74715                                          0.04601                                           0.40251                                           -0.01874                                          0.24086                                           0.26629                                           0.21625                                           1.37272                                           
0.42 0.63                                         99.79344                                          0.29629                                           0.19795                                           -0.15271                                          0.26860                                           0.03339                                           0.82328                                           -0.02146                                          -0.05181                                          -0.11399                                          -0.17490                                          -0.01903                                          -0.20344                                          0.06606                                           -0.02544                                          0.03620                                           -0.55118                                          0.04257                                           0.38533                                           -0.11123                                          0.24630                                           0.32375                                           0.21270                                           1.25918                                           
0.63 0.84                                         96.76284                                          0.31089                                           0.24223                                           -0.03753                                          0.29585                                           0.03268                                           1.15555                                           0.01114                                           -0.01480                                          -0.10129                                          -0.14421                                          -0.07368                                          -0.06964                                          0.02511                                           -0.08083                                          -0.03275                                          -0.39544                                          0.03222                                           0.37946                                           -0.09129                                          0.29210                                           0.22740                                           0.23250                                           1.42643                                           
0.84 1.05                                         95.23043                                          0.31526                                           0.24138                                           0.08166                                           0.30280                                           0.03225                                           1.21511                                           -0.02029                                          -0.04184                                          -0.09277                                          -0.11998                                          -0.11163                                          -0.16869                                          0.06542                                           -0.02384                                          -0.05657                                          -0.29683                                          0.04971                                           0.35482                                           -0.13328                                          0.30065                                           0.68966                                           0.22598                                           1.59988                                           
1.05 1.37                                         93.20608                                          0.22724                                           0.15759                                           0.10634                                           0.36215                                           0.03218                                           0.61935                                           0.02260                                           0.04009                                           -0.15694                                          -0.13853                                          -0.12788                                          -0.05791                                          0.04230                                           -0.09099                                          -0.02618                                          -0.23859                                          0.03499                                           0.31266                                           -0.05349                                          0.38666                                           0.37614                                           0.16162                                           1.05081                                           
1.37 1.52                                         89.47202                                          0.31002                                           0.16391                                           -0.03088                                          0.23055                                           0.03131                                           0.65706                                           0.09352                                           0.03871                                           -0.21565                                          -0.17054                                          -0.14617                                          0.03472                                           0.09049                                           -0.05263                                          0.05281                                           -0.24048                                          0.03536                                           0.27731                                           0.05308                                           0.43358                                           0.30307                                           0.20832                                           1.04780                                           
1.52 1.74                                         86.56007                                          0.25305                                           0.13488                                           -0.02890                                          0.18902                                           0.03048                                           0.57393                                           0.02897                                           -0.01277                                          -0.17226                                          -0.12855                                          -0.17256                                          0.04423                                           0.09294                                           0.02405                                           0.14443                                           -0.27697                                          0.03528                                           0.31537                                           -0.10283                                          0.44887                                           0.20831                                           0.18039                                           0.97954                                           
1.74 1.95                                         82.02252                                          0.25865                                           0.12359                                           -0.04582                                          0.25962                                           0.02896                                           0.54002                                           0.01495                                           0.04122                                           -0.14760                                          -0.12595                                          -0.16472                                          -0.01806                                          0.05237                                           -0.06192                                          0.27527                                           -0.34860                                          0.04126                                           0.28186                                           -0.17710                                          0.43538                                           0.27149                                           0.16086                                           1.02460                                           
1.95 2.18                                         79.37522                                          0.23732                                           0.12804                                           -0.06574                                          0.25020                                           0.02796                                           0.58584                                           -0.03048                                          0.02648                                           -0.14282                                          -0.13204                                          -0.09866                                          0.05718                                           0.07410                                           -0.04706                                          0.44181                                           -0.46288                                          0.02566                                           0.30074                                           -0.12541                                          0.40993                                           0.27496                                           0.16738                                           1.12934                                           
2.18 2.4                                          76.07759                                          0.23902                                           0.14412                                           0.02279                                           0.40744                                           0.02667                                           0.60194                                           0.01608                                           0.12747                                           -0.15098                                          -0.10158                                          -0.10044                                          -0.03648                                          0.06397                                           -0.03638                                          0.63389                                           -0.60701                                          0.03594                                           0.30143                                           -0.14645                                          0.37086                                           0.36738                                           0.16777                                           1.34214                                           
