26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            56.24652                                          0.26672                                           0.14667                                           -0.15351                                          0.15114                                           0.03383                                           1.04587                                           0.03459                                           0.07508                                           -0.06361                                          0.04783                                           0.12175                                           2.92503                                           0.56986                                           0.10823                                           1.49092                                           1.06388                                           0.06144                                           0.28713                                           1.18745                                           0.45069                                           0.91066                                           0.60047                                           4.04067                                           
0.21 0.42                                         55.67203                                          0.23086                                           0.08902                                           -0.08150                                          0.12725                                           0.03340                                           0.79223                                           -0.01082                                          0.03325                                           -0.02813                                          0.08202                                           0.08820                                           2.87641                                           0.43573                                           -0.34432                                          0.88650                                           1.38785                                           0.07158                                           0.26304                                           1.45944                                           0.46858                                           1.05354                                           0.52293                                           3.97208                                           
0.42 0.63                                         56.84646                                          0.22845                                           0.08012                                           -0.16139                                          0.15997                                           0.03411                                           0.77070                                           0.01822                                           -0.00350                                          -0.06943                                          0.09626                                           0.18010                                           2.92998                                           0.29060                                           -0.06160                                          0.41524                                           1.72541                                           0.05326                                           0.26913                                           1.07629                                           0.46481                                           0.67916                                           0.49640                                           3.83144                                           
0.63 0.84                                         59.15140                                          0.24773                                           0.13612                                           -0.12574                                          0.16213                                           0.03532                                           1.11505                                           0.02631                                           -0.01614                                          -0.10522                                          0.09278                                           0.08276                                           3.13427                                           0.35882                                           0.21508                                           0.03844                                           2.08117                                           0.05711                                           0.28562                                           1.30686                                           0.46724                                           0.74535                                           0.55181                                           4.30525                                           
0.84 1.05                                         58.58695                                          0.24818                                           0.13612                                           0.04553                                           0.20315                                           0.03532                                           1.08288                                           0.03805                                           0.02998                                           -0.16147                                          0.10530                                           0.25974                                           3.42352                                           0.43897                                           0.31702                                           -0.23674                                          2.30974                                           0.03776                                           0.46052                                           1.36984                                           0.49479                                           0.40946                                           0.57261                                           4.64518                                           
1.05 1.37                                         59.06110                                          0.18063                                           0.06178                                           0.08073                                           0.23162                                           0.03546                                           0.54974                                           0.02304                                           0.07162                                           -0.12798                                          0.08350                                           0.13623                                           3.23147                                           0.41285                                           0.11561                                           -0.42268                                          2.59462                                           0.04625                                           0.34660                                           1.21569                                           0.48594                                           0.93004                                           0.40327                                           4.56244                                           
1.37 1.52                                         58.41376                                          0.24012                                           0.04481                                           -0.09533                                          0.30542                                           0.03536                                           0.64127                                           0.08092                                           0.06026                                           -0.06674                                          0.06232                                           0.23675                                           3.41469                                           0.46664                                           0.21944                                           -0.42661                                          2.75363                                           0.03527                                           0.47386                                           1.19567                                           0.50175                                           1.28722                                           0.56004                                           4.91525                                           
1.52 1.74                                         59.45177                                          0.19657                                           0.02263                                           -0.01973                                          0.20685                                           0.03566                                           0.53392                                           -0.06249                                          -0.06037                                          -0.18808                                          0.09659                                           0.24325                                           3.55890                                           0.49027                                           0.03960                                           -0.33817                                          2.92178                                           0.03822                                           0.58995                                           1.26694                                           0.48045                                           1.50579                                           0.45562                                           5.16341                                           
1.74 1.95                                         57.01325                                          0.19703                                           0.04057                                           -0.01173                                          0.18999                                           0.03425                                           0.52667                                           -0.01297                                          -0.04519                                          -0.11643                                          0.05455                                           0.27366                                           3.38142                                           0.30169                                           0.13959                                           -0.10811                                          2.90193                                           0.04002                                           0.60105                                           1.43938                                           0.46443                                           2.55649                                           0.47858                                           5.45917                                           
1.95 2.18                                         55.36563                                          0.18249                                           0.02416                                           -0.03118                                          0.22264                                           0.03282                                           0.56786                                           0.05912                                           0.07262                                           -0.14478                                          0.05697                                           0.28836                                           3.30328                                           0.47537                                           0.10449                                           0.22785                                           2.88190                                           0.04360                                           0.62982                                           1.27884                                           0.41098                                           3.79286                                           0.44228                                           6.06473                                           
2.18 2.4                                          48.58902                                          0.18025                                           0.02459                                           -0.00734                                          0.19328                                           0.02916                                           0.53665                                           -0.01905                                          0.15493                                           -0.14109                                          0.06333                                           0.23539                                           3.10496                                           0.33802                                           0.19638                                           0.60703                                           2.55384                                           0.04540                                           0.58875                                           0.99189                                           0.39484                                           3.09292                                           0.42880                                           5.32478                                           
