26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            132.11814                                         0.39469                                           0.33682                                           -0.30350                                          0.41069                                           0.01609                                           1.20991                                           -0.02253                                          0.01580                                           0.02418                                           -0.05563                                          -0.12481                                          -0.74099                                          0.03501                                           0.06578                                           -0.58916                                          -0.66138                                          0.03928                                           0.16848                                           -0.14743                                          0.16118                                           0.53708                                           0.18932                                           1.89723                                           
0.21 0.42                                         130.97311                                         0.34257                                           0.24353                                           -0.11626                                          0.29854                                           0.01597                                           0.97917                                           -0.02272                                          -0.01723                                          0.06693                                           -0.03189                                          -0.09878                                          -0.64339                                          0.02885                                           0.03318                                           -0.08346                                          -0.67529                                          0.02788                                           0.13494                                           -0.13201                                          0.16582                                           0.35106                                           0.16279                                           1.49317                                           
0.42 0.63                                         129.71023                                         0.33580                                           0.26418                                           -0.21933                                          0.34144                                           0.01586                                           0.95416                                           0.02587                                           0.06844                                           0.06270                                           -0.12362                                          -0.10504                                          -0.66492                                          0.03011                                           0.03023                                           0.31118                                           -0.71553                                          0.02924                                           0.14519                                           -0.24147                                          0.16773                                           0.37339                                           0.15841                                           1.58316                                           
0.63 0.84                                         128.11495                                         0.36554                                           0.27447                                           -0.03576                                          0.38396                                           0.01567                                           1.18423                                           0.03358                                           0.04243                                           0.04923                                           -0.07022                                          -0.13241                                          -0.67286                                          0.06232                                           -0.05232                                          0.59568                                           -0.77988                                          0.03500                                           0.13966                                           -0.22390                                          0.17894                                           0.26507                                           0.16506                                           1.81034                                           
0.84 1.05                                         124.68328                                         0.36618                                           0.30677                                           0.13206                                           0.38939                                           0.01531                                           1.21322                                           0.01771                                           0.04362                                           0.03138                                           -0.07307                                          -0.08868                                          -0.65485                                          0.04162                                           -0.01622                                          0.76237                                           -0.85643                                          0.04816                                           0.13092                                           -0.20141                                          0.20049                                           0.24785                                           0.16841                                           1.92022                                           
1.05 1.37                                         123.33560                                         0.27135                                           0.18615                                           0.09417                                           0.46824                                           0.01527                                           0.63406                                           -0.09882                                          -0.12572                                          0.08562                                           -0.00268                                          -0.14439                                          -0.58553                                          0.04579                                           0.05607                                           0.84380                                           -1.00585                                          0.03082                                           0.16759                                           -0.13235                                          0.24623                                           0.32322                                           0.11516                                           1.73652                                           
1.37 1.52                                         118.77102                                         0.35620                                           0.20236                                           -0.02249                                          0.29953                                           0.01488                                           0.72050                                           -0.07523                                          -0.05859                                          -0.06794                                          -0.05679                                          -0.19972                                          -0.56846                                          0.05574                                           -0.09574                                          0.76482                                           -1.13743                                          0.03926                                           0.16922                                           -0.23224                                          0.31152                                           0.23925                                           0.16321                                           1.78508                                           
1.52 1.74                                         116.01140                                         0.28740                                           0.14808                                           -0.02889                                          0.25037                                           0.01465                                           0.59064                                           -0.04829                                          -0.06559                                          0.06196                                           -0.03233                                          -0.13477                                          -0.52727                                          0.04955                                           0.06215                                           0.63003                                           -1.26232                                          0.01977                                           0.14980                                           -0.33971                                          0.35222                                           0.55312                                           0.12847                                           1.82309                                           
1.74 1.95                                         111.67537                                         0.28918                                           0.17513                                           -0.05275                                          0.35027                                           0.01423                                           0.65774                                           -0.00339                                          -0.11340                                          0.10057                                           0.03336                                           -0.19087                                          -0.55784                                          0.03014                                           -0.07420                                          0.39001                                           -1.40734                                          0.01925                                           0.15765                                           -0.37005                                          0.39074                                           0.30764                                           0.11986                                           1.87715                                           
1.95 2.18                                         105.26929                                         0.28352                                           0.15574                                           -0.09231                                          0.33503                                           0.01366                                           0.66278                                           -0.06702                                          -0.19794                                          0.07328                                           0.02137                                           -0.16472                                          -0.50664                                          0.04684                                           0.06732                                           0.06909                                           -1.53605                                          0.02830                                           0.12375                                           -0.29385                                          0.41338                                           0.29784                                           0.12242                                           1.91462                                           
2.18 2.4                                          99.60193                                          0.27489                                           0.17734                                           0.02352                                           0.53845                                           0.01566                                           0.63066                                           -0.08967                                          -0.30080                                          -0.01615                                          -0.08297                                          -0.18607                                          -0.52056                                          0.02940                                           0.13269                                           -0.31238                                          -1.67982                                          0.04232                                           0.11645                                           -0.32906                                          0.40380                                           0.26720                                           0.13012                                           2.10809                                           
