26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            77.30431                                          0.30220                                           0.26281                                           -0.17764                                          0.24276                                           0.00642                                           0.71270                                           -0.01335                                          -0.01490                                          0.34749                                           0.45410                                           -0.17696                                          -0.40053                                          0.10775                                           0.06818                                           0.20610                                           -0.29835                                          0.02953                                           0.01745                                           -0.16735                                          0.12660                                           0.20016                                           0.12370                                           1.19789                                           
0.21 0.42                                         75.96674                                          0.25439                                           0.19131                                           -0.02651                                          0.17593                                           0.00632                                           0.55421                                           -0.01743                                          0.02042                                           0.29677                                           0.41778                                           -0.16220                                          -0.40233                                          0.08819                                           -0.04073                                          0.15226                                           -0.15188                                          0.01161                                           0.02899                                           -0.11381                                          0.12890                                           0.13314                                           0.09781                                           0.96978                                           
0.42 0.63                                         75.63662                                          0.25960                                           0.17630                                           -0.12557                                          0.20287                                           0.00630                                           0.51637                                           -0.02383                                          -0.01954                                          0.40214                                           0.41249                                           -0.16185                                          -0.36321                                          0.09111                                           0.03502                                           0.13245                                           -0.04007                                          0.02483                                           0.04735                                           -0.12765                                          0.13062                                           0.20846                                           0.09223                                           0.98105                                           
0.63 0.84                                         76.01481                                          0.27813                                           0.22161                                           -0.03427                                          0.23107                                           0.00673                                           0.70670                                           -0.02871                                          -0.02534                                          0.42283                                           0.41938                                           -0.18578                                          -0.40668                                          0.08909                                           0.10479                                           0.14493                                           0.04177                                           0.03367                                           0.02259                                           -0.15907                                          0.13290                                           0.24132                                           0.10971                                           1.14706                                           
0.84 1.05                                         72.93482                                          0.28135                                           0.22812                                           0.09464                                           0.23123                                           0.00609                                           0.65308                                           0.03370                                           -0.02627                                          0.41593                                           0.41016                                           -0.19227                                          -0.41481                                          0.11431                                           0.09394                                           0.18020                                           0.09030                                           0.04239                                           0.01345                                           0.00360                                           0.13427                                           0.14056                                           0.10264                                           1.09815                                           
1.05 1.37                                         72.98645                                          0.20619                                           0.15430                                           0.05117                                           0.28200                                           0.00609                                           0.33960                                           0.05472                                           0.07964                                           0.46856                                           0.31877                                           -0.19694                                          -0.36253                                          0.05416                                           0.06759                                           0.27484                                           0.11313                                           0.01695                                           0.02267                                           -0.16491                                          0.13247                                           0.16911                                           0.07262                                           0.94725                                           
1.37 1.52                                         68.39443                                          0.26177                                           0.14477                                           0.03501                                           0.17360                                           0.00575                                           0.34509                                           -0.02109                                          -0.01130                                          0.46708                                           0.31954                                           -0.20980                                          -0.36650                                          0.09637                                           0.10438                                           0.37332                                           0.08935                                           0.01170                                           0.07367                                           -0.11946                                          0.14832                                           0.19677                                           0.10384                                           0.96410                                           
1.52 1.74                                         67.99011                                          0.21671                                           0.12212                                           -0.01185                                          0.14928                                           0.00577                                           0.29217                                           -0.04978                                          -0.03402                                          0.38234                                           0.26085                                           -0.22837                                          -0.33904                                          0.10716                                           0.03419                                           0.48619                                           0.05239                                           0.01167                                           0.11813                                           -0.18851                                          0.17582                                           0.04918                                           0.08630                                           0.92189                                           
1.74 1.95                                         66.88144                                          0.21832                                           0.12452                                           -0.03420                                          0.21464                                           0.00577                                           0.30039                                           -0.02506                                          -0.01380                                          0.37389                                           0.23544                                           -0.17675                                          -0.29799                                          0.06852                                           0.07154                                           0.63646                                           -0.01557                                          0.02178                                           0.13531                                           -0.14396                                          0.22899                                           0.07634                                           0.08156                                           0.99431                                           
1.95 2.18                                         61.93235                                          0.21263                                           0.11723                                           -0.05921                                          0.20558                                           0.00549                                           0.33920                                           -0.01834                                          0.06328                                           0.35208                                           0.20885                                           -0.21646                                          -0.26952                                          0.07871                                           0.13630                                           0.76672                                           -0.10425                                          0.01962                                           0.20814                                           -0.18377                                          0.30296                                           0.17831                                           0.07862                                           1.13875                                           
2.18 2.4                                          56.59719                                          0.20835                                           0.11324                                           0.00299                                           0.33014                                           0.00533                                           0.31838                                           0.03334                                           0.02146                                           0.35711                                           0.23408                                           -0.21467                                          -0.22905                                          0.06560                                           0.02618                                           0.89269                                           -0.20431                                          0.01948                                           0.26378                                           -0.12108                                          0.35212                                           0.07771                                           0.08523                                           1.25347                                           
