26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            631.08288                                         0.85490                                           0.71529                                           -1.41860                                          1.58577                                           0.17024                                           2.95414                                           0.05494                                           0.10460                                           0.78746                                           -0.87824                                          -0.90283                                          2.50490                                           0.15147                                           0.86631                                           3.26906                                           4.06983                                           0.25151                                           1.02121                                           1.69763                                           1.98141                                           3.09016                                           1.01173                                           8.29458                                           
0.21 0.42                                         634.00140                                         0.76150                                           0.52577                                           -1.05597                                          1.36403                                           0.17377                                           2.42902                                           -0.02234                                          0.02137                                           0.73234                                           -0.92400                                          -1.07594                                          2.62499                                           0.24496                                           1.01048                                           2.75400                                           3.88843                                           0.23053                                           0.95942                                           1.78822                                           2.02987                                           4.31234                                           0.88316                                           8.37109                                           
0.42 0.63                                         633.14411                                         0.73516                                           0.46312                                           -1.35417                                          1.73045                                           0.17252                                           2.32255                                           -0.04433                                          0.03463                                           0.70241                                           -0.67646                                          -1.10279                                          2.53375                                           0.26729                                           0.68452                                           2.40434                                           3.68911                                           0.21361                                           0.98483                                           1.75791                                           2.07551                                           2.63009                                           0.87849                                           7.42226                                           
0.63 0.84                                         640.98731                                         0.80052                                           0.61768                                           -0.55516                                          1.58881                                           0.17494                                           3.16575                                           0.02101                                           -0.02732                                          0.85458                                           -0.77815                                          -1.29183                                          3.12382                                           0.21027                                           0.95294                                           2.26969                                           3.54432                                           0.15312                                           0.91075                                           1.68307                                           2.17546                                           4.71456                                           0.96723                                           8.73370                                           
0.84 1.05                                         638.57880                                         0.82378                                           0.63567                                           0.28316                                           2.15083                                           0.26674                                           3.27956                                           0.04537                                           0.03206                                           0.91194                                           -0.81765                                          -1.05888                                          3.60914                                           0.22352                                           1.06127                                           2.28245                                           3.34718                                           0.15358                                           1.15472                                           1.79366                                           2.27483                                           2.60355                                           0.97141                                           8.16382                                           
1.05 1.37                                         653.75262                                         0.60039                                           0.43199                                           0.65217                                           2.43704                                           0.17986                                           1.85169                                           0.02788                                           0.02400                                           1.09383                                           -0.74016                                          -1.43010                                          3.25157                                           0.24823                                           0.85152                                           2.63462                                           3.19792                                           0.17060                                           1.12132                                           1.66396                                           2.41241                                           3.50814                                           0.70086                                           8.06248                                           
1.37 1.52                                         650.07142                                         0.82139                                           0.42869                                           -0.33217                                          3.16074                                           0.17963                                           2.05489                                           -0.01972                                          -0.03008                                          1.05802                                           -0.61373                                          -1.26406                                          3.77114                                           0.41114                                           1.12797                                           3.13352                                           2.98623                                           0.18910                                           1.30699                                           1.56491                                           2.56473                                           3.26239                                           1.00780                                           8.62921                                           
1.52 1.74                                         659.57182                                         0.69094                                           0.37981                                           -0.25040                                          2.25958                                           0.17957                                           1.81647                                           -0.04245                                          -0.02771                                          1.05657                                           -0.64289                                          -1.38984                                          3.75907                                           0.41868                                           0.93591                                           3.75808                                           2.88058                                           0.21974                                           1.44611                                           1.20324                                           2.62439                                           4.24606                                           0.85789                                           8.88542                                           
1.74 1.95                                         654.20757                                         0.69725                                           0.38405                                           -0.06995                                          2.16461                                           0.17672                                           1.88325                                           0.00880                                           -0.05649                                          0.93843                                           -0.56790                                          -1.41695                                          3.48317                                           0.22505                                           1.04029                                           4.57956                                           2.69101                                           0.22893                                           1.45875                                           1.19437                                           2.69336                                           5.79888                                           0.79542                                           9.91110                                           
1.95 2.18                                         646.69410                                         0.64197                                           0.41477                                           -0.46521                                          2.60878                                           0.17063                                           2.14496                                           0.02802                                           -0.08138                                          0.88826                                           -0.52432                                          -1.39243                                          3.26414                                           0.39512                                           1.07665                                           5.59219                                           2.49858                                           0.22630                                           1.44509                                           0.99530                                           2.71065                                           7.75772                                           0.72914                                           11.64093                                          
2.18 2.4                                          612.67709                                         0.65924                                           0.34457                                           -0.05184                                          2.46281                                           0.15787                                           2.05878                                           -0.03227                                          -0.07807                                          0.84884                                           -0.54884                                          -1.23837                                          2.56670                                           0.11268                                           0.86366                                           6.53177                                           2.21712                                           0.21126                                           1.41732                                           0.37611                                           2.68265                                           5.14047                                           0.85454                                           10.22180                                          
