26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            91.89103                                          0.32530                                           0.28820                                           -0.22766                                          0.22581                                           0.00762                                           0.83482                                           0.00490                                           -0.01691                                          0.42109                                           -0.52636                                          -0.21019                                          -0.43708                                          0.12928                                           -0.04422                                          0.00278                                           -0.76099                                          0.02422                                           0.04952                                           -0.12691                                          0.14142                                           0.12964                                           0.12262                                           1.49718                                           
0.21 0.42                                         93.55937                                          0.29100                                           0.21273                                           -0.13079                                          0.19759                                           0.00776                                           0.68019                                           -0.01541                                          -0.01367                                          0.41617                                           -0.56995                                          -0.21746                                          -0.51441                                          0.06308                                           0.08301                                           0.04709                                           -0.47704                                          0.01607                                           0.02800                                           -0.06903                                          0.14200                                           0.24240                                           0.10687                                           1.30816                                           
0.42 0.63                                         93.95727                                          0.28694                                           0.21713                                           -0.19237                                          0.24217                                           0.00778                                           0.65253                                           -0.04727                                          -0.05439                                          0.41735                                           -0.44604                                          -0.22067                                          -0.49080                                          0.12994                                           -0.06987                                          0.10963                                           -0.23785                                          0.01911                                           0.01704                                           -0.13779                                          0.13729                                           0.20387                                           0.10374                                           1.19068                                           
0.63 0.84                                         92.62542                                          0.30902                                           0.24670                                           -0.11520                                          0.22625                                           0.00770                                           0.86315                                           0.01773                                           0.02710                                           0.52873                                           -0.48394                                          -0.23676                                          -0.48085                                          0.08787                                           0.05804                                           0.18719                                           -0.05367                                          0.01370                                           0.01033                                           -0.23022                                          0.15158                                           0.20098                                           0.11597                                           1.36074                                           
0.84 1.05                                         92.99557                                          0.30882                                           0.25970                                           0.03448                                           0.29253                                           0.00773                                           0.82950                                           0.02040                                           -0.02472                                          0.47492                                           -0.45594                                          -0.23901                                          -0.46197                                          0.15042                                           -0.01893                                          0.28508                                           0.07043                                           0.02580                                           0.01743                                           -0.26502                                          0.14380                                           0.11677                                           0.11944                                           1.33279                                           
1.05 1.37                                         96.49654                                          0.22394                                           0.16325                                           0.08405                                           0.35399                                           0.01379                                           0.42483                                           0.05773                                           0.04226                                           0.57483                                           -0.40690                                          -0.24407                                          -0.48128                                          0.11857                                           0.14000                                           0.44926                                           0.15113                                           0.02096                                           0.00656                                           -0.15053                                          0.14796                                           0.16862                                           0.08539                                           1.21289                                           
1.37 1.52                                         95.56567                                          0.30457                                           0.17542                                           -0.01762                                          0.45645                                           0.00799                                           0.47335                                           -0.04784                                          0.10549                                           0.58239                                           -0.40910                                          -0.28237                                          -0.45952                                          0.12375                                           0.12164                                           0.60395                                           0.13988                                           0.01958                                           0.08331                                           -0.19538                                          0.17141                                           0.12570                                           0.12202                                           1.33955                                           
1.52 1.74                                         96.86018                                          0.25461                                           0.12796                                           -0.02957                                          0.33024                                           0.00843                                           0.42355                                           0.10083                                           -0.08685                                          0.52887                                           -0.35706                                          -0.25150                                          -0.51199                                          0.12456                                           0.09536                                           0.75527                                           0.08146                                           0.02326                                           0.15984                                           -0.12918                                          0.20235                                           0.05010                                           0.09792                                           1.32422                                           
1.74 1.95                                         95.04838                                          0.25872                                           0.13476                                           -0.00151                                          0.31878                                           0.00812                                           0.43325                                           -0.06232                                          0.02826                                           0.52217                                           -0.32929                                          -0.24494                                          -0.45444                                          0.09963                                           0.06169                                           0.92205                                           -0.04587                                          0.02854                                           0.20662                                           -0.15030                                          0.27365                                           0.10614                                           0.09546                                           1.40968                                           
1.95 2.18                                         95.78231                                          0.25330                                           0.13775                                           -0.06616                                          0.39233                                           0.00823                                           0.56110                                           0.03946                                           0.04183                                           0.54664                                           -0.33683                                          -0.30667                                          -0.50879                                          0.13543                                           0.06105                                           1.13551                                           -0.23990                                          0.02919                                           0.34364                                           -0.21602                                          0.34176                                           0.15433                                           0.09438                                           1.71604                                           
2.18 2.4                                          91.92526                                          0.25376                                           0.14639                                           -0.00873                                          0.37896                                           0.00816                                           0.54118                                           0.02972                                           0.05320                                           0.52135                                           -0.36253                                          -0.30969                                          -0.47841                                          0.06770                                           0.09224                                           1.31220                                           -0.48455                                          0.02681                                           0.41538                                           -0.28909                                          0.39282                                           0.17989                                           0.09510                                           1.90054                                           
