26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            167.95096                                         0.44452                                           0.39493                                           -0.39175                                          0.40816                                           0.02041                                           1.49983                                           -0.03147                                          -0.01844                                          0.01512                                           0.10859                                           -0.14838                                          -0.80755                                          0.08800                                           -0.02775                                          0.10951                                           -0.58142                                          0.03293                                           0.18800                                           -0.19865                                          0.18083                                           0.44945                                           0.19627                                           2.03006                                           
0.21 0.42                                         167.19112                                         0.37640                                           0.30523                                           -0.25692                                          0.34774                                           0.02035                                           1.24688                                           -0.04626                                          0.01607                                           0.07342                                           0.04638                                           -0.10660                                          -0.80982                                          0.09617                                           -0.02648                                          0.24431                                           -0.74678                                          0.03396                                           0.20315                                           -0.40511                                          0.19260                                           0.32216                                           0.17880                                           1.87591                                           
0.42 0.63                                         167.60576                                         0.38143                                           0.26721                                           -0.30527                                          0.42638                                           0.02039                                           1.23679                                           0.01844                                           0.05235                                           0.11836                                           -0.05749                                          -0.17427                                          -0.88874                                          0.03561                                           0.13673                                           0.31832                                           -0.89352                                          0.01575                                           0.20545                                           -0.33005                                          0.18622                                           0.22466                                           0.17542                                           1.97587                                           
0.63 0.84                                         169.06646                                         0.41208                                           0.33615                                           -0.13045                                          0.40504                                           0.02061                                           1.54627                                           -0.02294                                          0.00981                                           0.07984                                           -0.01403                                          -0.22053                                          -0.79624                                          0.06438                                           0.10762                                           0.33237                                           -1.02376                                          0.03820                                           0.19628                                           -0.19594                                          0.20184                                           0.29107                                           0.18630                                           2.18817                                           
0.84 1.05                                         168.62558                                         0.42805                                           0.31415                                           0.02266                                           0.52878                                           0.02063                                           1.60080                                           -0.01577                                          -0.03492                                          0.07875                                           -0.03201                                          -0.15843                                          -0.82572                                          0.02902                                           -0.10162                                          0.28015                                           -1.11956                                          0.08359                                           0.23704                                           -0.25326                                          0.23150                                           0.29782                                           0.19822                                           2.30421                                           
1.05 1.37                                         171.83121                                         0.31234                                           0.21629                                           0.13541                                           0.62129                                           0.02117                                           0.84093                                           -0.06241                                          -0.06698                                          0.17490                                           -0.03958                                          -0.24131                                          -0.81999                                          0.04142                                           0.01786                                           0.12838                                           -1.23307                                          0.04289                                           0.24667                                           -0.29487                                          0.29965                                           0.35519                                           0.13497                                           1.96282                                           
1.37 1.52                                         172.07762                                         0.42291                                           0.24631                                           -0.04800                                          0.81711                                           0.02139                                           1.02798                                           -0.03336                                          -0.17431                                          0.11576                                           -0.03662                                          -0.31428                                          -0.82611                                          0.14699                                           0.17237                                           -0.09605                                          -1.28460                                          0.02167                                           0.21890                                           -0.43297                                          0.36351                                           0.45846                                           0.18185                                           2.22200                                           
1.52 1.74                                         175.00689                                         0.34918                                           0.20819                                           -0.05927                                          0.58480                                           0.02184                                           0.90424                                           -0.11823                                          -0.09108                                          0.17723                                           -0.07815                                          -0.29574                                          -1.00694                                          0.07711                                           -0.04775                                          -0.33476                                          -1.32467                                          0.02134                                           0.25467                                           -0.51561                                          0.41798                                           0.39399                                           0.15866                                           2.22024                                           
1.74 1.95                                         173.50830                                         0.37451                                           0.21336                                           -0.01743                                          0.56423                                           0.02250                                           1.01860                                           0.03181                                           -0.11865                                          0.09440                                           0.04379                                           -0.24720                                          -0.91938                                          0.04459                                           -0.07529                                          -0.66786                                          -1.31058                                          0.02865                                           0.25673                                           -0.51834                                          0.47600                                           0.25830                                           0.15209                                           2.27105                                           
1.95 2.18                                         174.65475                                         0.35856                                           0.21110                                           -0.10704                                          0.69186                                           0.02199                                           1.11948                                           -0.01669                                          -0.31631                                          0.07599                                           0.02973                                           -0.24220                                          -0.93973                                          0.02359                                           -0.07074                                          -1.08869                                          -1.28983                                          0.04187                                           0.27365                                           -0.57650                                          0.49205                                           0.47893                                           0.14976                                           2.56798                                           
2.18 2.4                                          173.10717                                         0.35988                                           0.26176                                           -0.01603                                          0.68256                                           0.02184                                           1.15190                                           -0.11960                                          -0.43842                                          -0.07017                                          -0.12216                                          -0.23398                                          -0.97110                                          0.05237                                           -0.03355                                          -1.57411                                          -1.22103                                          0.03640                                           0.30732                                           -0.45801                                          0.46675                                           0.35390                                           0.16080                                           2.78088                                           
