26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            102.42334                                         0.34395                                           0.27827                                           -0.23965                                          0.25884                                           0.05027                                           1.18237                                           -0.05182                                          -0.06335                                          -0.09133                                          0.13830                                           0.03506                                           1.08616                                           0.18278                                           -0.30166                                          -0.49695                                          1.34192                                           0.01381                                           0.80825                                           0.54122                                           0.41687                                           0.08189                                           0.41823                                           2.50827                                           
0.21 0.42                                         102.65952                                         0.29824                                           0.21389                                           -0.19574                                          0.22053                                           0.05059                                           1.02673                                           0.01970                                           -0.01348                                          -0.08819                                          0.13437                                           0.13866                                           1.14745                                           0.22923                                           -0.06586                                          -0.65301                                          1.35033                                           0.03113                                           0.79886                                           0.55746                                           0.42219                                           0.34445                                           0.36794                                           2.49812                                           
0.42 0.63                                         100.83416                                         0.30881                                           0.20819                                           -0.18974                                          0.26839                                           0.05022                                           1.02879                                           -0.02182                                          -0.01739                                          -0.06869                                          0.11225                                           -0.09237                                          1.13743                                           0.24607                                           -0.17321                                          -0.69787                                          1.29887                                           0.02031                                           0.81652                                           0.56210                                           0.47220                                           0.20047                                           0.36235                                           2.48493                                           
0.63 0.84                                         104.15111                                         0.33280                                           0.24518                                           -0.03616                                          0.26677                                           0.05821                                           1.48973                                           0.03280                                           0.02316                                           -0.13690                                          0.14383                                           -0.06246                                          1.26730                                           0.23060                                           0.05445                                           -0.68032                                          1.27950                                           0.02138                                           0.83464                                           0.59138                                           0.52295                                           0.36268                                           0.36358                                           2.78323                                           
0.84 1.05                                         103.88204                                         0.33865                                           0.27185                                           0.10403                                           0.34507                                           0.05233                                           1.53691                                           0.02006                                           -0.02763                                          -0.09378                                          0.09962                                           0.01597                                           1.32411                                           0.28025                                           -0.08697                                          -0.53959                                          1.18059                                           0.03139                                           0.89445                                           0.76937                                           0.55472                                           0.29280                                           0.40402                                           2.83949                                           
1.05 1.37                                         106.82613                                         0.24718                                           0.17825                                           0.10701                                           0.41255                                           0.06433                                           0.95946                                           0.08333                                           -0.04549                                          -0.13721                                          0.11084                                           -0.09451                                          1.31496                                           0.28325                                           -0.04190                                          -0.22987                                          1.04059                                           0.02246                                           0.85027                                           0.58141                                           0.58305                                           0.47656                                           0.27109                                           2.41578                                           
1.37 1.52                                         107.17039                                         0.34442                                           0.17371                                           -0.04799                                          0.53177                                           0.05426                                           0.99765                                           -0.06127                                          0.01529                                           -0.11781                                          0.08511                                           0.08281                                           1.41900                                           0.26240                                           -0.16208                                          0.19403                                           0.84337                                           0.04052                                           0.99702                                           0.75692                                           0.58875                                           0.41047                                           0.39256                                           2.53789                                           
1.52 1.74                                         109.05784                                         0.27454                                           0.15775                                           -0.03541                                          0.38663                                           0.05522                                           0.82346                                           0.03413                                           0.07841                                           -0.12122                                          0.06929                                           0.02185                                           1.56157                                           0.35939                                           -0.08280                                          0.62879                                           0.66641                                           0.04216                                           1.06399                                           0.40260                                           0.58898                                           0.38616                                           0.32821                                           2.48952                                           
1.74 1.95                                         110.84320                                         0.29197                                           0.14286                                           -0.01756                                          0.35601                                           0.05562                                           0.89239                                           -0.03129                                          0.06829                                           -0.08019                                          0.06781                                           0.10181                                           1.57820                                           0.27399                                           0.11104                                           1.25114                                           0.41574                                           0.04203                                           1.06751                                           0.60389                                           0.54160                                           1.78392                                           0.34218                                           3.22321                                           
1.95 2.18                                         106.46644                                         0.28328                                           0.16431                                           -0.09713                                          0.41964                                           0.05341                                           0.96211                                           -0.06128                                          -0.17229                                          -0.17726                                          0.13059                                           0.12199                                           1.43940                                           0.26529                                           -0.03431                                          1.91292                                           0.10479                                           0.03244                                           1.02743                                           0.36588                                           0.52702                                           1.27212                                           0.30527                                           3.19864                                           
2.18 2.4                                          96.99636                                          0.26778                                           0.14399                                           -0.03897                                          0.37722                                           0.04865                                           0.91440                                           -0.08153                                          -0.16524                                          -0.19455                                          -0.10759                                          0.13975                                           1.24494                                           0.23655                                           0.08137                                           2.50991                                           -0.21464                                          0.03053                                           0.98384                                           0.37671                                           0.47763                                           1.35081                                           0.28590                                           3.50849                                           
