31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            30.20402                                          0.17744                                           0.12533                                           -0.07952                                          0.04678                                           -0.01309                                          0.00949                                           0.20877                                           0.05165                                           0.00611                                           -0.01075                                          -0.01543                                          0.14230                                           0.24530                                           -0.15342                                          0.13912                                           0.52432                                           0.50284                                           -0.21499                                          0.52069                                           0.34314                                           0.01412                                           0.13327                                           0.21230                                           0.23287                                           0.25509                                           0.10890                                           0.13713                                           1.17058                                           
0.21 0.42                                         29.97421                                          0.15221                                           0.07904                                           -0.02022                                          0.04664                                           0.00103                                           0.00946                                           0.17172                                           0.01681                                           0.00607                                           -0.00864                                          -0.02151                                          0.12833                                           0.25449                                           -0.18386                                          0.13731                                           0.43696                                           0.34661                                           0.05044                                           0.48572                                           0.23917                                           0.01402                                           0.14607                                           0.11396                                           0.16183                                           0.24661                                           0.14850                                           0.11243                                           0.96754                                           
0.42 0.63                                         29.71741                                          0.14666                                           0.07587                                           -0.02649                                          0.04694                                           -0.01557                                          0.00926                                           0.15946                                           0.01602                                           0.00601                                           -0.01225                                          0.01794                                           0.12962                                           0.22268                                           -0.15662                                          0.13462                                           0.46599                                           0.43402                                           0.27513                                           0.44973                                           0.18007                                           0.02059                                           0.14995                                           0.13921                                           0.12736                                           0.23832                                           0.23089                                           0.10686                                           1.01988                                           
0.63 0.84                                         29.92142                                          0.15967                                           0.10901                                           -0.01367                                          0.05847                                           -0.03348                                          0.00920                                           0.20782                                           0.01725                                           0.00603                                           0.00655                                           -0.01085                                          0.15530                                           0.22012                                           -0.17501                                          0.14483                                           0.51955                                           0.45196                                           0.46704                                           0.41967                                           0.16575                                           0.01475                                           0.14237                                           0.16117                                           0.12602                                           0.22249                                           0.26121                                           0.12493                                           1.12968                                           
0.84 1.05                                         29.51638                                          0.16667                                           0.12575                                           0.02229                                           0.05109                                           -0.00011                                          0.00916                                           0.21032                                           0.02661                                           0.00605                                           0.00997                                           0.02001                                           0.14424                                           0.19523                                           -0.15292                                          0.18320                                           0.45484                                           0.40771                                           0.61202                                           0.38020                                           0.16868                                           0.01603                                           0.14314                                           0.13897                                           0.13346                                           0.20757                                           0.15325                                           0.13631                                           1.11537                                           
1.05 1.37                                         28.51481                                          0.11709                                           0.06808                                           0.01970                                           0.05067                                           -0.02757                                          0.00845                                           0.09989                                           0.02919                                           0.00578                                           0.07866                                           0.04338                                           0.15858                                           0.16597                                           -0.14165                                          0.12716                                           0.44292                                           0.40819                                           0.72585                                           0.32460                                           0.16672                                           0.01341                                           0.14140                                           0.13783                                           0.13451                                           0.18143                                           0.18208                                           0.08569                                           1.12685                                           
1.37 1.52                                         26.41728                                          0.14910                                           0.04586                                           -0.01555                                          0.04922                                           -0.00041                                          0.00766                                           0.10142                                           0.01497                                           0.00527                                           -0.01897                                          -0.00602                                          0.15143                                           0.17620                                           -0.15281                                          0.15164                                           0.50041                                           0.49297                                           0.73994                                           0.26436                                           0.14527                                           0.01505                                           0.09776                                           0.18774                                           0.11926                                           0.16158                                           0.08423                                           0.14168                                           1.16642                                           
1.52 1.74                                         26.30974                                          0.12285                                           0.03851                                           -0.00965                                          0.05249                                           -0.00619                                          0.00764                                           0.08360                                           0.01231                                           0.00523                                           0.02458                                           0.02763                                           0.14400                                           0.14706                                           -0.14789                                          0.15155                                           0.46792                                           0.41104                                           0.76145                                           0.23391                                           0.13297                                           0.01179                                           0.09560                                           0.15068                                           0.11146                                           0.14998                                           0.14849                                           0.10694                                           1.11385                                           
1.74 1.95                                         25.50000                                          0.13062                                           0.04264                                           -0.00934                                          0.05562                                           -0.02055                                          0.00786                                           0.08973                                           0.01450                                           0.00500                                           0.02724                                           0.04977                                           0.14499                                           0.13884                                           -0.16352                                          0.14186                                           0.38617                                           0.39221                                           0.73517                                           0.19271                                           0.12790                                           0.01734                                           0.09741                                           0.11535                                           0.10852                                           0.14755                                           0.15067                                           0.09328                                           1.04361                                           
1.95 2.18                                         22.34228                                          0.11663                                           0.04241                                           -0.00949                                          0.05420                                           0.00528                                           0.00619                                           0.09152                                           0.01633                                           0.00434                                           0.00807                                           0.03205                                           0.12096                                           0.11570                                           -0.13727                                          0.11590                                           0.47519                                           0.33929                                           0.61190                                           0.13747                                           0.14624                                           0.01063                                           0.09603                                           0.13865                                           0.11986                                           0.14667                                           0.14684                                           0.09854                                           0.96244                                           
2.18 2.4                                          20.15480                                          0.11374                                           0.04085                                           0.00645                                           0.05464                                           -0.00116                                          0.00522                                           0.09314                                           0.01437                                           0.00383                                           0.02605                                           0.09911                                           0.11580                                           0.10230                                           -0.11350                                          0.14820                                           0.40751                                           0.28307                                           0.49422                                           0.09422                                           0.20077                                           0.01705                                           0.06651                                           0.09470                                           0.15833                                           0.15176                                           0.18024                                           0.09357                                           0.85177                                           
