31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            27.90954                                          0.18039                                           0.14876                                           -0.05205                                          0.03886                                           -0.01236                                          0.00271                                           0.17971                                           0.04755                                           0.00453                                           -0.00469                                          0.01090                                           0.16392                                           0.22288                                           -0.11380                                          -0.10805                                          0.11490                                           -0.02712                                          0.12505                                           0.20368                                           0.31273                                           0.00763                                           0.04368                                           0.03425                                           0.12803                                           0.09707                                           0.30732                                           0.08059                                           0.67908                                           
0.21 0.42                                         27.82467                                          0.15707                                           0.10412                                           -0.01500                                          0.03884                                           0.00171                                           0.00269                                           0.14427                                           0.01574                                           0.00451                                           0.01827                                           0.01955                                           0.17347                                           0.20362                                           -0.11678                                          -0.11348                                          0.09658                                           0.08169                                           0.31068                                           0.13032                                           0.21622                                           0.00778                                           0.03701                                           0.02101                                           0.08938                                           0.09463                                           0.19277                                           0.07212                                           0.60818                                           
0.42 0.63                                         27.20660                                          0.15427                                           0.10084                                           -0.02876                                          0.03835                                           -0.01374                                          0.00262                                           0.13928                                           0.01455                                           0.00441                                           0.01810                                           0.00452                                           0.14402                                           0.16320                                           -0.10274                                          -0.09602                                          0.11136                                           0.06025                                           0.44706                                           0.06704                                           0.16331                                           0.00722                                           0.03491                                           0.08837                                           0.06938                                           0.08576                                           0.08810                                           0.06364                                           0.61637                                           
0.63 0.84                                         26.86789                                          0.15954                                           0.11818                                           -0.01568                                          0.03869                                           -0.03055                                          0.00258                                           0.16308                                           0.01560                                           0.00436                                           -0.00635                                          0.01310                                           0.15900                                           0.16384                                           -0.09823                                          -0.10404                                          0.12348                                           0.12291                                           0.54489                                           0.01715                                           0.15491                                           0.01547                                           0.04808                                           -0.02817                                          0.06733                                           0.08196                                           0.05176                                           0.07431                                           0.70047                                           
0.84 1.05                                         26.47027                                          0.16910                                           0.13134                                           0.03944                                           0.04068                                           0.00198                                           0.00253                                           0.17052                                           0.02435                                           0.00429                                           -0.01149                                          -0.01751                                          0.17377                                           0.16529                                           -0.12792                                          -0.09395                                          0.13545                                           0.12676                                           0.60114                                           -0.02100                                          0.16310                                           0.00931                                           0.04262                                           -0.02193                                          0.07121                                           0.07519                                           0.25146                                           0.07302                                           0.79862                                           
1.05 1.37                                         25.80710                                          0.12211                                           0.07848                                           0.01489                                           0.04035                                           -0.02350                                          0.00247                                           0.08157                                           0.02651                                           0.00419                                           -0.05184                                          -0.03925                                          0.15729                                           0.11440                                           -0.10460                                          -0.07656                                          0.11445                                           0.03141                                           0.61297                                           -0.05258                                          0.16612                                           0.00487                                           0.03309                                           -0.00953                                          0.07243                                           0.07194                                           0.06124                                           0.04722                                           0.71595                                           
1.37 1.52                                         24.70732                                          0.15416                                           0.08186                                           0.00444                                           0.04026                                           -0.00016                                          0.00237                                           0.08687                                           0.01389                                           0.00401                                           0.06791                                           0.04760                                           0.18431                                           0.12877                                           -0.09452                                          -0.08061                                          0.12649                                           0.06293                                           0.56298                                           -0.06463                                          0.15221                                           0.00897                                           0.02491                                           -0.06002                                          0.06637                                           0.06935                                           0.06131                                           0.06372                                           0.68888                                           
1.52 1.74                                         24.22234                                          0.12832                                           0.06838                                           -0.00892                                          0.04201                                           -0.00549                                          0.00235                                           0.06663                                           0.01133                                           0.00393                                           0.03411                                           0.05864                                           0.17720                                           0.12680                                           -0.12273                                          -0.10523                                          0.09354                                           0.04049                                           0.50325                                           -0.06598                                          0.14016                                           0.00828                                           0.03404                                           -0.04930                                          0.06106                                           0.07999                                           0.13096                                           0.04976                                           0.64063                                           
1.74 1.95                                         23.46173                                          0.13533                                           0.06500                                           -0.01146                                          0.04433                                           -0.01936                                          0.00231                                           0.07038                                           0.01333                                           0.00381                                           -0.01164                                          -0.01864                                          0.15145                                           0.09465                                           -0.08969                                          -0.06264                                          0.11423                                           0.04393                                           0.40020                                           -0.05784                                          0.13784                                           0.00632                                           0.03029                                           0.01969                                           0.05941                                           0.09728                                           0.19479                                           0.05239                                           0.55561                                           
1.95 2.18                                         21.43417                                          0.12102                                           0.06361                                           -0.01340                                          0.04571                                           0.00513                                           0.00219                                           0.07040                                           0.01566                                           0.00348                                           0.04201                                           0.10537                                           0.15602                                           0.11830                                           -0.11000                                          -0.04703                                          0.10014                                           0.14263                                           0.25106                                           -0.03800                                          0.16183                                           0.00676                                           0.03355                                           -0.04912                                          0.06842                                           0.12828                                           0.24278                                           0.04720                                           0.53292                                           
2.18 2.4                                          19.29976                                          0.12060                                           0.05891                                           0.00441                                           0.04729                                           -0.00233                                          0.00210                                           0.07589                                           0.01375                                           0.00313                                           0.03327                                           0.04842                                           0.14734                                           0.11519                                           -0.10262                                          -0.07509                                          0.09175                                           0.06217                                           0.08950                                           -0.01191                                          0.21561                                           0.00975                                           0.05527                                           -0.01808                                          0.09021                                           0.16700                                           0.20899                                           0.05197                                           0.46807                                           
