31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            56.34820                                          0.26712                                           0.14729                                           -0.14857                                          0.07947                                           0.02944                                           0.03621                                           0.59357                                           0.09568                                           0.04880                                           0.03321                                           0.07374                                           -0.06446                                          0.04925                                           0.31906                                           2.38200                                           0.57060                                           0.11184                                           -0.04598                                          2.34169                                           0.46800                                           0.06152                                           0.28830                                           1.18752                                           0.54651                                           0.45087                                           0.81030                                           0.59953                                           3.90676                                           
0.21 0.42                                         55.67469                                          0.23144                                           0.08716                                           -0.08487                                          0.07834                                           0.05607                                           0.03479                                           0.43063                                           0.03243                                           0.04822                                           -0.01088                                          0.03342                                           -0.02892                                          0.08203                                           0.31233                                           2.24508                                           0.43543                                           -0.34459                                          0.02247                                           2.09861                                           0.32392                                           0.07157                                           0.26331                                           1.46061                                           0.37813                                           0.46869                                           0.99629                                           0.49516                                           3.73993                                           
0.42 0.63                                         56.84399                                          0.22482                                           0.08238                                           -0.16449                                          0.08079                                           -0.00344                                          0.03553                                           0.44415                                           0.03062                                           0.04923                                           0.01826                                           0.00333                                           -0.06959                                          0.09602                                           0.26535                                           2.39602                                           0.29089                                           -0.06011                                          0.09648                                           1.99238                                           0.25038                                           0.05310                                           0.26928                                           1.07549                                           0.30647                                           0.46453                                           0.71515                                           0.49650                                           3.53518                                           
0.63 0.84                                         59.04564                                          0.24701                                           0.13873                                           -0.11425                                          0.08455                                           0.08721                                           0.03675                                           0.60795                                           0.03250                                           0.05114                                           0.02620                                           -0.01684                                          -0.10633                                          0.09428                                           0.21126                                           2.45979                                           0.36210                                           0.23081                                           0.18100                                           1.98540                                           0.23765                                           0.05727                                           0.28579                                           1.30529                                           0.31283                                           0.46741                                           1.09358                                           0.52096                                           3.78495                                           
0.84 1.05                                         58.41326                                          0.24557                                           0.13463                                           0.03701                                           0.08930                                           0.09268                                           0.03670                                           0.59117                                           0.05373                                           0.05059                                           0.03651                                           0.02617                                           -0.15942                                          0.10526                                           0.44320                                           2.71409                                           0.43758                                           0.32498                                           0.26331                                           1.95209                                           0.24302                                           0.03882                                           0.46213                                           1.37193                                           0.33225                                           0.49465                                           0.40648                                           0.56997                                           3.89514                                           
1.05 1.37                                         59.01901                                          0.18460                                           0.06645                                           0.08723                                           0.08914                                           0.06596                                           0.03693                                           0.30705                                           0.06035                                           0.05112                                           0.02315                                           0.07168                                           -0.12744                                          0.08287                                           0.25104                                           2.55915                                           0.41204                                           0.11780                                           0.37971                                           2.05966                                           0.25187                                           0.04657                                           0.34591                                           1.21482                                           0.35022                                           0.48592                                           1.16304                                           0.40389                                           3.85654                                           
1.37 1.52                                         58.41094                                          0.23846                                           0.04511                                           -0.09910                                          0.09004                                           -0.12661                                          0.03684                                           0.36332                                           0.03338                                           0.05059                                           0.08187                                           0.06025                                           -0.06762                                          0.06328                                           0.36834                                           2.77784                                           0.46643                                           0.21974                                           0.48134                                           2.20993                                           0.23518                                           0.03527                                           0.47361                                           1.19544                                           0.33171                                           0.50175                                           1.27133                                           0.55637                                           4.17408                                           
1.52 1.74                                         59.43334                                          0.19624                                           0.02172                                           -0.01906                                          0.09384                                           0.03457                                           0.03715                                           0.31322                                           0.02689                                           0.05148                                           -0.06261                                          -0.06040                                          -0.18762                                          0.09642                                           0.47821                                           2.92071                                           0.49027                                           0.03978                                           0.57819                                           2.44981                                           0.22107                                           0.03816                                           0.58925                                           1.26627                                           0.31674                                           0.48044                                           1.78104                                           0.45549                                           4.60592                                           
1.74 1.95                                         57.01165                                          0.19650                                           0.04048                                           -0.01071                                          0.09391                                           0.07038                                           0.03568                                           0.29772                                           0.03339                                           0.04938                                           -0.01260                                          -0.04546                                          -0.11716                                          0.05455                                           0.47211                                           2.74424                                           0.30220                                           0.14138                                           0.65734                                           2.64205                                           0.21248                                           0.04001                                           0.60351                                           1.43992                                           0.30523                                           0.46447                                           2.68828                                           0.47392                                           5.06460                                           
1.95 2.18                                         55.36193                                          0.19013                                           0.02404                                           -0.02996                                          0.09515                                           0.16331                                           0.03423                                           0.32308                                           0.04081                                           0.04795                                           0.05901                                           0.07284                                           -0.14511                                          0.05688                                           0.56734                                           2.66247                                           0.47554                                           0.10401                                           0.74483                                           2.92903                                           0.27014                                           0.04351                                           0.62967                                           1.27807                                           0.37363                                           0.41092                                           3.91109                                           0.44971                                           5.90538                                           
2.18 2.4                                          48.52061                                          0.18644                                           0.02199                                           -0.00588                                          0.08899                                           0.13695                                           0.03033                                           0.31085                                           0.03652                                           0.04203                                           -0.01894                                          0.15607                                           -0.14170                                          0.06343                                           0.36965                                           2.50523                                           0.33834                                           0.19561                                           0.75235                                           2.95998                                           0.35901                                           0.04537                                           0.58867                                           0.98210                                           0.47949                                           0.39459                                           2.92221                                           0.43255                                           5.15982                                           
