31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            102.60852                                         0.34448                                           0.27919                                           -0.24509                                          0.13708                                           0.05028                                           0.05541                                           0.64424                                           0.17409                                           0.05869                                           -0.05031                                          -0.06294                                          -0.09186                                          0.13967                                           0.04160                                           0.93420                                           0.18275                                           -0.29741                                          -0.09756                                          1.15648                                           0.46992                                           0.01376                                           0.80695                                           0.54270                                           0.37598                                           0.41649                                           0.19880                                           0.41444                                           2.16373                                           
0.21 0.42                                         102.66466                                         0.30501                                           0.21549                                           -0.20101                                          0.13690                                           0.10092                                           0.05443                                           0.57141                                           0.05966                                           0.05872                                           0.01987                                           -0.01342                                          -0.08769                                          0.13399                                           0.13638                                           0.89134                                           0.23032                                           -0.06484                                          -0.21993                                          1.19660                                           0.32971                                           0.03118                                           0.79831                                           0.55769                                           0.26343                                           0.42235                                           0.45646                                           0.35736                                           2.11444                                           
0.42 0.63                                         100.82761                                         0.30294                                           0.19346                                           -0.19610                                          0.13690                                           -0.00899                                          0.05398                                           0.54957                                           0.05416                                           0.05767                                           -0.02183                                          -0.01731                                          -0.06854                                          0.11250                                           -0.02741                                          0.94146                                           0.24551                                           -0.17301                                          -0.28383                                          1.18800                                           0.24588                                           0.02040                                           0.81613                                           0.56286                                           0.20537                                           0.47243                                           0.22783                                           0.36864                                           2.09527                                           
0.63 0.84                                         103.98833                                         0.33098                                           0.24521                                           -0.01119                                          0.14527                                           0.15886                                           0.05694                                           0.83613                                           0.05704                                           0.05948                                           0.02689                                           0.01852                                           -0.13409                                          0.13816                                           0.02161                                           1.05393                                           0.23522                                           0.05517                                           -0.30878                                          1.21165                                           0.23298                                           0.02122                                           0.81996                                           0.59216                                           0.20815                                           0.52263                                           0.45489                                           0.39781                                           2.31220                                           
0.84 1.05                                         103.65069                                         0.33347                                           0.22595                                           0.09647                                           0.15380                                           0.14747                                           0.05625                                           0.83860                                           0.09440                                           0.05929                                           0.01447                                           -0.03122                                          -0.10165                                          0.10389                                           0.14040                                           1.11567                                           0.28617                                           -0.07163                                          -0.27002                                          1.16746                                           0.24138                                           0.02657                                           0.89335                                           0.74530                                           0.22273                                           0.55466                                           0.60666                                           0.41061                                           2.43734                                           
1.05 1.37                                         106.76358                                         0.25326                                           0.17156                                           0.12372                                           0.15867                                           0.10596                                           0.05814                                           0.50290                                           0.10942                                           0.06107                                           0.07232                                           -0.05629                                          -0.13763                                          0.12133                                           0.03886                                           1.10033                                           0.28311                                           -0.04300                                          -0.15004                                          1.11094                                           0.25684                                           0.02280                                           0.85008                                           0.58009                                           0.23935                                           0.58287                                           0.53881                                           0.27675                                           2.19902                                           
1.37 1.52                                         107.16662                                         0.33487                                           0.16638                                           -0.05451                                          0.16210                                           -0.22388                                          0.05837                                           0.55250                                           0.06111                                           0.06130                                           -0.06204                                          0.01528                                           -0.11769                                          0.08517                                           0.19703                                           1.21992                                           0.26212                                           -0.16049                                          0.03744                                           0.99683                                           0.24488                                           0.04054                                           0.99118                                           0.75549                                           0.22993                                           0.58888                                           0.40613                                           0.37798                                           2.32104                                           
1.52 1.74                                         109.03801                                         0.27338                                           0.13103                                           -0.03413                                          0.18432                                           0.06211                                           0.05940                                           0.44508                                           0.04941                                           0.06237                                           0.03365                                           0.07804                                           -0.12116                                          0.06890                                           0.24116                                           1.37786                                           0.35924                                           -0.08331                                          0.23853                                           0.89473                                           0.23045                                           0.04225                                           1.06364                                           0.40261                                           0.21954                                           0.58900                                           0.56763                                           0.32776                                           2.32678                                           
1.74 1.95                                         110.84632                                         0.28579                                           0.15006                                           -0.01605                                          0.18136                                           0.13212                                           0.05982                                           0.49052                                           0.06488                                           0.06340                                           -0.03123                                          0.06820                                           -0.07972                                          0.06759                                           0.26962                                           1.29738                                           0.27478                                           0.11115                                           0.53533                                           0.74052                                           0.23030                                           0.04203                                           1.06748                                           0.60288                                           0.22420                                           0.54152                                           1.68995                                           0.32750                                           2.80807                                           
1.95 2.18                                         106.46844                                         0.27192                                           0.16081                                           -0.09480                                          0.18583                                           0.29622                                           0.05746                                           0.50616                                           0.07838                                           0.06090                                           -0.06101                                          -0.17211                                          -0.17733                                          0.13048                                           0.25891                                           1.24220                                           0.26495                                           -0.03427                                          0.86192                                           0.51536                                           0.28053                                           0.03250                                           1.02763                                           0.36469                                           0.27146                                           0.52695                                           1.15551                                           0.30128                                           2.49888                                           
2.18 2.4                                          96.85614                                          0.26806                                           0.14642                                           -0.03680                                          0.17953                                           0.26868                                           0.05227                                           0.46740                                           0.07303                                           0.05540                                           -0.08215                                          -0.16760                                          -0.19534                                          -0.10806                                          0.27226                                           1.05388                                           0.23640                                           0.08077                                           1.16464                                           0.25823                                           0.38281                                           0.03047                                           0.98220                                           0.37474                                           0.36161                                           0.47768                                           1.34777                                           0.29405                                           2.57415                                           
