31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            100.94843                                         0.34134                                           0.28232                                           -0.26850                                          0.13227                                           -0.04502                                          0.03497                                           0.52096                                           0.17317                                           0.03854                                           -0.02989                                          -0.05091                                          -0.15708                                          -0.25025                                          -0.08624                                          -0.17569                                          0.07918                                           0.10405                                           0.13851                                           -0.98462                                          0.61413                                           0.04446                                           0.41603                                           -0.01362                                          0.30971                                           0.24437                                           0.42199                                           0.25221                                           1.60000                                           
0.21 0.42                                         100.59195                                         0.30266                                           0.20387                                           -0.07821                                          0.13198                                           0.00525                                           0.03477                                           0.44987                                           0.05661                                           0.03841                                           0.02269                                           -0.02096                                          -0.14859                                          -0.22619                                          -0.04705                                          -0.14749                                          0.06353                                           0.08308                                           0.06052                                           -0.67778                                          0.42604                                           0.04634                                           0.40263                                           -0.01922                                          0.21611                                           0.24087                                           0.28222                                           0.21393                                           1.19240                                           
0.42 0.63                                         99.75345                                          0.30427                                           0.18884                                           -0.15333                                          0.13241                                           -0.05021                                          0.03464                                           0.46891                                           0.05366                                           0.03809                                           -0.02087                                          -0.05132                                          -0.11338                                          -0.17440                                          -0.03135                                          -0.19637                                          0.06587                                           -0.02268                                          0.00098                                           -0.43139                                          0.32495                                           0.04244                                           0.38520                                           -0.11104                                          0.17012                                           0.24621                                           0.32728                                           0.21080                                           1.04435                                           
0.63 0.84                                         96.71731                                          0.31721                                           0.23220                                           -0.03993                                          0.13196                                           -0.11108                                          0.03382                                           0.62997                                           0.05602                                           0.03693                                           0.01089                                           -0.01414                                          -0.10116                                          -0.14480                                          -0.07317                                          -0.09920                                          0.02637                                           -0.08464                                          -0.03901                                          -0.24312                                          0.29882                                           0.03229                                           0.37949                                           -0.09541                                          0.16209                                           0.29224                                           0.23749                                           0.23207                                           1.03362                                           
0.84 1.05                                         95.00499                                          0.31454                                           0.24023                                           0.08184                                           0.13832                                           0.00278                                           0.03334                                           0.62868                                           0.08653                                           0.03627                                           -0.01499                                          -0.04161                                          -0.09547                                          -0.12213                                          -0.07498                                          -0.17557                                          0.06262                                           -0.02937                                          -0.06061                                          -0.12402                                          0.31116                                           0.04708                                           0.35224                                           -0.12332                                          0.17094                                           0.30069                                           1.01040                                           0.21637                                           1.41445                                           
1.05 1.37                                         93.20386                                          0.23679                                           0.16451                                           0.09900                                           0.13876                                           -0.08588                                          0.03334                                           0.33848                                           0.09539                                           0.03559                                           0.02228                                           0.03952                                           -0.15659                                          -0.13881                                          -0.04770                                          -0.05873                                          0.04273                                           -0.09163                                          -0.06329                                          -0.05970                                          0.31777                                           0.03506                                           0.31237                                           -0.05461                                          0.17495                                           0.38681                                           0.38662                                           0.15949                                           0.90378                                           
1.37 1.52                                         89.47542                                          0.31547                                           0.15777                                           -0.03144                                          0.13857                                           -0.00022                                          0.03242                                           0.36967                                           0.05062                                           0.03416                                           0.09353                                           0.03908                                           -0.21583                                          -0.17097                                          -0.03983                                          0.04230                                           0.09033                                           -0.05240                                          -0.04273                                          -0.07637                                          0.29135                                           0.03547                                           0.27737                                           0.05290                                           0.16073                                           0.43360                                           0.36204                                           0.21227                                           0.92217                                           
1.52 1.74                                         86.54312                                          0.25698                                           0.12122                                           -0.02971                                          0.14050                                           -0.02045                                          0.03157                                           0.31964                                           0.04049                                           0.03304                                           0.02880                                           -0.01274                                          -0.17235                                          -0.12839                                          -0.05576                                          0.03421                                           0.09324                                           0.02469                                           -0.01398                                          -0.13431                                          0.26382                                           0.03528                                           0.31523                                           -0.10257                                          0.14589                                           0.44887                                           0.22056                                           0.18052                                           0.83986                                           
1.74 1.95                                         82.02901                                          0.24973                                           0.12095                                           -0.04691                                          0.14079                                           -0.06631                                          0.02999                                           0.29867                                           0.04638                                           0.03132                                           0.01470                                           0.04096                                           -0.14734                                          -0.12587                                          -0.02085                                          -0.02178                                          0.05239                                           -0.06228                                          0.03116                                           -0.24208                                          0.25243                                           0.04128                                           0.28195                                           -0.17698                                          0.13892                                           0.43537                                           0.27813                                           0.16091                                           0.85392                                           
1.95 2.18                                         79.38868                                          0.24197                                           0.13114                                           -0.06547                                          0.14553                                           0.01527                                           0.02896                                           0.31977                                           0.05768                                           0.03031                                           -0.03031                                          0.02642                                           -0.14277                                          -0.13200                                          -0.02234                                          0.05163                                           0.07422                                           -0.04719                                          0.08952                                           -0.39985                                          0.31349                                           0.02562                                           0.30119                                           -0.12603                                          0.16948                                           0.40997                                           0.27960                                           0.16307                                           0.93571                                           
2.18 2.4                                          75.90756                                          0.24306                                           0.13657                                           0.02419                                           0.14868                                           -0.00243                                          0.02756                                           0.32159                                           0.05388                                           0.02898                                           0.01610                                           0.12727                                           -0.15058                                          -0.10160                                          -0.02689                                          -0.05928                                          0.06337                                           -0.03632                                          0.15905                                           -0.59614                                          0.44485                                           0.03586                                           0.30063                                           -0.14656                                          0.23729                                           0.37071                                           0.38068                                           0.16094                                           1.12453                                           
