31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            77.32058                                          0.30226                                           0.26291                                           -0.18802                                          0.10298                                           -0.03109                                          0.00699                                           0.38819                                           0.13170                                           0.01238                                           -0.01292                                          -0.01473                                          0.34756                                           0.45494                                           -0.22458                                          -0.33747                                          0.10759                                           0.06736                                           0.08456                                           -0.12580                                          0.54052                                           0.03010                                           0.01771                                           -0.16478                                          0.17154                                           0.12661                                           0.20142                                           0.12174                                           1.11231                                           
0.21 0.42                                         75.95703                                          0.25596                                           0.18545                                           -0.02678                                          0.10156                                           0.00336                                           0.00687                                           0.29359                                           0.04266                                           0.01216                                           -0.01732                                          0.02043                                           0.29709                                           0.41805                                           -0.23253                                          -0.34008                                          0.08796                                           -0.04058                                          0.21276                                           -0.13957                                          0.36941                                           0.01163                                           0.02886                                           -0.11491                                          0.11801                                           0.12894                                           0.14121                                           0.09875                                           0.92311                                           
0.42 0.63                                         75.61036                                          0.25913                                           0.18610                                           -0.12590                                          0.10252                                           -0.03661                                          0.00685                                           0.28932                                           0.04071                                           0.01211                                           -0.02357                                          -0.01959                                          0.40195                                           0.41230                                           -0.25562                                          -0.32748                                          0.09110                                           0.03505                                           0.31663                                           -0.14737                                          0.28336                                           0.02497                                           0.04717                                           -0.12759                                          0.09325                                           0.13068                                           0.21736                                           0.09427                                           0.98275                                           
0.63 0.84                                         75.99575                                          0.28233                                           0.22948                                           -0.03585                                          0.10562                                           -0.08704                                          0.00689                                           0.36590                                           0.04417                                           0.01217                                           -0.02899                                          -0.02493                                          0.42270                                           0.41787                                           -0.25156                                          -0.34503                                          0.08817                                           0.10533                                           0.39924                                           -0.14908                                          0.27132                                           0.03354                                           0.02208                                           -0.16205                                          0.09210                                           0.13295                                           0.36192                                           0.10969                                           1.10315                                           
0.84 1.05                                         72.70739                                          0.28053                                           0.22681                                           0.09734                                           0.10828                                           0.00110                                           0.00660                                           0.34764                                           0.06565                                           0.01164                                           0.03129                                           -0.02395                                          0.41352                                           0.40910                                           -0.27560                                          -0.35548                                          0.11301                                           0.09746                                           0.43613                                           -0.13635                                          0.27602                                           0.03651                                           0.01509                                           -0.00373                                          0.09460                                           0.13457                                           0.17576                                           0.10914                                           1.05779                                           
1.05 1.37                                         72.98377                                          0.20187                                           0.14402                                           0.04569                                           0.10955                                           -0.06619                                          0.00662                                           0.18513                                           0.07451                                           0.01169                                           0.05561                                           0.07978                                           0.46852                                           0.31875                                           -0.26050                                          -0.33728                                          0.05360                                           0.06801                                           0.47299                                           -0.11860                                          0.28892                                           0.01688                                           0.02282                                           -0.16422                                          0.09907                                           0.13250                                           0.16004                                           0.06996                                           1.00290                                           
1.37 1.52                                         68.39142                                          0.26745                                           0.14731                                           0.03449                                           0.10702                                           -0.00052                                          0.00625                                           0.18597                                           0.03878                                           0.01095                                           -0.02127                                          -0.01125                                          0.46680                                           0.31931                                           -0.26600                                          -0.34310                                          0.09615                                           0.10409                                           0.44325                                           -0.08695                                          0.25863                                           0.01169                                           0.07362                                           -0.11975                                          0.08884                                           0.14829                                           0.21767                                           0.10239                                           0.98901                                           
1.52 1.74                                         67.97435                                          0.21621                                           0.11138                                           -0.01249                                          0.11267                                           -0.01533                                          0.00627                                           0.16018                                           0.03172                                           0.01088                                           -0.04984                                          -0.03404                                          0.38246                                           0.26073                                           -0.26991                                          -0.32726                                          0.10716                                           0.03415                                           0.42135                                           -0.06156                                          0.24018                                           0.01172                                           0.11818                                           -0.18857                                          0.08287                                           0.17584                                           0.04266                                           0.08687                                           0.89366                                           
1.74 1.95                                         66.88198                                          0.22588                                           0.12471                                           -0.03513                                          0.12015                                           -0.05342                                          0.00627                                           0.16575                                           0.03792                                           0.01071                                           -0.02504                                          -0.01383                                          0.37419                                           0.23563                                           -0.22169                                          -0.28703                                          0.06862                                           0.07192                                           0.37170                                           -0.02570                                          0.23686                                           0.02171                                           0.13537                                           -0.14416                                          0.08191                                           0.22899                                           0.21953                                           0.08144                                           0.86567                                           
1.95 2.18                                         61.94585                                          0.21928                                           0.12379                                           -0.05440                                          0.12437                                           0.01334                                           0.00602                                           0.17977                                           0.04527                                           0.00992                                           -0.01376                                          0.05871                                           0.34713                                           0.20246                                           -0.22606                                          -0.29961                                          0.09014                                           0.14086                                           0.28207                                           0.01590                                           0.27962                                           0.01977                                           0.20137                                           -0.17962                                          0.09563                                           0.30287                                           0.17299                                           0.08004                                           0.87796                                           
2.18 2.4                                          56.46573                                          0.20825                                           0.11048                                           0.00393                                           0.12595                                           -0.00302                                          0.00556                                           0.16963                                           0.04010                                           0.00904                                           0.03304                                           0.02184                                           0.35633                                           0.23379                                           -0.23409                                          -0.23341                                          0.06549                                           0.02625                                           0.17857                                           0.05785                                           0.37806                                           0.01950                                           0.26323                                           -0.12015                                          0.12764                                           0.35207                                           0.31900                                           0.08462                                           0.93138                                           
