31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            132.14550                                         0.39476                                           0.33694                                           -0.32167                                          0.17474                                           -0.05342                                          0.01688                                           0.67031                                           0.22487                                           0.03349                                           -0.02553                                          0.01579                                           0.02390                                           -0.05604                                          -0.19454                                          -0.61329                                          0.03489                                           0.06743                                           -0.37756                                          -0.61599                                          0.63522                                           0.03984                                           0.17298                                           -0.14506                                          0.31892                                           0.16111                                           0.61556                                           0.19015                                           1.64220                                           
0.21 0.42                                         130.95882                                         0.33867                                           0.25557                                           -0.11726                                          0.17119                                           0.00686                                           0.01675                                           0.55033                                           0.07363                                           0.03319                                           -0.02370                                          -0.01746                                          0.06731                                           -0.03247                                          -0.13554                                          -0.52347                                          0.02906                                           0.03314                                           -0.11544                                          -0.64881                                          0.43863                                           0.02780                                           0.13469                                           -0.13166                                          0.22133                                           0.16583                                           0.35675                                           0.14899                                           1.26797                                           
0.42 0.63                                         129.66600                                         0.33574                                           0.23882                                           -0.21994                                          0.17165                                           -0.06107                                          0.01660                                           0.51971                                           0.06986                                           0.03287                                           0.02585                                           0.06842                                           0.06295                                           -0.12386                                          -0.14900                                          -0.56502                                          0.03028                                           0.03024                                           0.09864                                           -0.70192                                          0.33345                                           0.02926                                           0.14494                                           -0.24157                                          0.17396                                           0.16779                                           0.35984                                           0.15425                                           1.29938                                           
0.63 0.84                                         128.06664                                         0.35870                                           0.28823                                           -0.03788                                          0.17309                                           -0.14524                                          0.01643                                           0.66812                                           0.07467                                           0.03246                                           0.03228                                           0.04123                                           0.04761                                           -0.06768                                          -0.19018                                          -0.55320                                          0.06246                                           -0.04827                                          0.26505                                           -0.77330                                          0.31126                                           0.03531                                           0.13904                                           -0.22429                                          0.16884                                           0.17893                                           0.22600                                           0.16561                                           1.38633                                           
0.84 1.05                                         124.42442                                         0.36541                                           0.30553                                           0.13654                                           0.18000                                           0.00038                                           0.01603                                           0.66775                                           0.11328                                           0.03154                                           0.01500                                           0.04257                                           0.02587                                           -0.07689                                          -0.13308                                          -0.54225                                          0.03663                                           -0.02264                                          0.37889                                           -0.84973                                          0.32004                                           0.04048                                           0.12729                                           -0.21879                                          0.17611                                           0.20032                                           0.34135                                           0.16901                                           1.47531                                           
1.05 1.37                                         123.31406                                         0.26854                                           0.18069                                           0.08460                                           0.18131                                           -0.11192                                          0.01601                                           0.37718                                           0.12587                                           0.03126                                           -0.09923                                          -0.12566                                          0.08556                                           -0.00246                                          -0.16750                                          -0.48447                                          0.04592                                           0.05457                                           0.46864                                           -0.99448                                          0.33013                                           0.03077                                           0.16712                                           -0.13202                                          0.18209                                           0.24640                                           0.31078                                           0.11444                                           1.45355                                           
1.37 1.52                                         118.76891                                         0.35554                                           0.20650                                           -0.02343                                          0.18228                                           -0.00228                                          0.01562                                           0.38763                                           0.06710                                           0.03010                                           -0.07488                                          -0.05858                                          -0.06802                                          -0.05679                                          -0.16059                                          -0.46464                                          0.05584                                           -0.09645                                          0.47817                                           -1.11420                                          0.30347                                           0.03934                                           0.16909                                           -0.23188                                          0.16784                                           0.31157                                           0.30429                                           0.16512                                           1.54742                                           
1.52 1.74                                         115.98596                                         0.28821                                           0.17348                                           -0.02990                                          0.18772                                           -0.02780                                          0.01537                                           0.32396                                           0.05417                                           0.02940                                           -0.04824                                          -0.06578                                          0.06175                                           -0.03229                                          -0.12706                                          -0.43882                                          0.04982                                           0.06293                                           0.45351                                           -1.22528                                          0.27659                                           0.01979                                           0.14961                                           -0.34031                                          0.15381                                           0.35220                                           0.69689                                           0.12802                                           1.72467                                           
1.74 1.95                                         111.67888                                         0.29390                                           0.17272                                           -0.05414                                          0.19348                                           -0.08931                                          0.01493                                           0.34826                                           0.06311                                           0.02831                                           -0.00378                                          -0.11407                                          0.10041                                           0.03379                                           -0.14877                                          -0.47101                                          0.03020                                           -0.07442                                          0.38531                                           -1.35138                                          0.26655                                           0.01924                                           0.15771                                           -0.36864                                          0.14878                                           0.39070                                           0.33019                                           0.11968                                           1.72748                                           
1.95 2.18                                         105.29172                                         0.27633                                           0.16241                                           -0.09176                                          0.19812                                           0.01901                                           0.01423                                           0.35163                                           0.07651                                           0.02669                                           -0.06711                                          -0.19721                                          0.07361                                           0.02147                                           -0.14445                                          -0.43112                                          0.04617                                           0.06763                                           0.27564                                           -1.45862                                          0.32056                                           0.02824                                           0.12408                                           -0.28660                                          0.17682                                           0.41335                                           0.30801                                           0.11741                                           1.78408                                           
2.18 2.4                                          99.38612                                          0.28826                                           0.18131                                           0.02553                                           0.20274                                           -0.00275                                          0.01346                                           0.34423                                           0.07071                                           0.02519                                           -0.08928                                          -0.29986                                          -0.01591                                          -0.08246                                          -0.17177                                          -0.46917                                          0.02963                                           0.13297                                           0.13797                                           -1.57367                                          0.44966                                           0.04245                                           0.12038                                           -0.32776                                          0.24440                                           0.40388                                           0.28100                                           0.13320                                           1.92692                                           
