31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            92.02277                                          0.32575                                           0.28896                                           -0.22634                                          0.12262                                           0.04430                                           0.00830                                           0.44511                                           0.15574                                           0.01473                                           0.00430                                           -0.01790                                          0.42055                                           -0.52963                                          -0.28457                                          -0.37987                                          0.13032                                           -0.04241                                          0.37925                                           -1.02315                                          0.40429                                           0.02427                                           0.05023                                           -0.12799                                          0.14479                                           0.14150                                           0.16744                                           0.12253                                           1.59179                                           
0.21 0.42                                         93.56375                                          0.29003                                           0.21390                                           -0.13521                                          0.12491                                           0.08623                                           0.00844                                           0.37031                                           0.05430                                           0.01498                                           -0.01531                                          -0.01357                                          0.41609                                           -0.56992                                          -0.30328                                          -0.44166                                          0.06266                                           0.08293                                           0.31093                                           -0.64799                                          0.28806                                           0.01608                                           0.02815                                           -0.06904                                          0.10309                                           0.14206                                           0.29982                                           0.11630                                           1.32787                                           
0.42 0.63                                         93.96429                                          0.28709                                           0.23006                                           -0.19792                                          0.12684                                           -0.00400                                          0.00847                                           0.36525                                           0.05050                                           0.01504                                           -0.04719                                          -0.05443                                          0.41724                                           -0.44579                                          -0.30146                                          -0.45102                                          0.13068                                           -0.07060                                          0.28083                                           -0.34340                                          0.22109                                           0.01919                                           0.01693                                           -0.13788                                          0.08218                                           0.13729                                           0.20003                                           0.10402                                           1.13164                                           
0.63 0.84                                         92.49487                                          0.31023                                           0.22672                                           -0.09729                                          0.12896                                           0.13246                                           0.00838                                           0.43746                                           0.05097                                           0.01481                                           0.01644                                           0.02748                                           0.52856                                           -0.48153                                          -0.33239                                          -0.44502                                          0.08579                                           0.06111                                           0.28836                                           -0.12075                                          0.20249                                           0.01344                                           0.00963                                           -0.22965                                          0.07950                                           0.15161                                           0.22882                                           0.12450                                           1.18748                                           
0.84 1.05                                         92.76274                                          0.31347                                           0.26208                                           0.02235                                           0.13691                                           0.12055                                           0.00838                                           0.43833                                           0.08298                                           0.01485                                           0.01931                                           0.01999                                           0.49312                                           -0.47003                                          -0.32596                                          -0.36507                                          0.14720                                           -0.01455                                          0.34416                                           0.01129                                           0.21288                                           0.02203                                           0.01846                                           -0.25675                                          0.08559                                           0.14363                                           0.14131                                           0.12152                                           1.14951                                           
1.05 1.37                                         96.44823                                          0.23152                                           0.15825                                           0.08769                                           0.15385                                           0.09689                                           0.00871                                           0.23288                                           0.09880                                           0.01544                                           0.05159                                           -0.03660                                          0.56868                                           -0.40029                                          -0.33906                                          -0.41138                                          0.11006                                           0.13401                                           0.49374                                           0.05856                                           0.22993                                           0.02136                                           0.01250                                           -0.15587                                          0.09284                                           0.14794                                           0.34701                                           0.08669                                           1.18971                                           
1.37 1.52                                         95.56880                                          0.31707                                           0.18177                                           -0.02236                                          0.14813                                           -0.17778                                          0.00868                                           0.26237                                           0.05450                                           0.01530                                           -0.04791                                          0.10567                                           0.58256                                           -0.40909                                          -0.34991                                          -0.39805                                          0.12676                                           0.12254                                           0.66767                                           -0.01820                                          0.21742                                           0.01953                                           0.08331                                           -0.19591                                          0.08804                                           0.17143                                           0.30488                                           0.12448                                           1.29462                                           
1.52 1.74                                         96.85088                                          0.25453                                           0.14814                                           -0.02839                                          0.15897                                           0.04746                                           0.00887                                           0.22333                                           0.04403                                           0.01551                                           0.10060                                           -0.08632                                          0.52896                                           -0.35706                                          -0.34672                                          -0.44944                                          0.12439                                           0.09533                                           0.85853                                           -0.15791                                          0.20450                                           0.02327                                           0.15959                                           -0.12917                                          0.08373                                           0.20234                                           0.13035                                           0.09818                                           1.33983                                           
1.74 1.95                                         95.05442                                          0.27369                                           0.13572                                           -0.00058                                          0.16933                                           0.10780                                           0.00882                                           0.23718                                           0.05567                                           0.01522                                           -0.06207                                          0.02783                                           0.52210                                           -0.32906                                          -0.32712                                          -0.42995                                          0.09946                                           0.06165                                           1.09304                                           -0.39950                                          0.19664                                           0.02847                                           0.20661                                           -0.15016                                          0.08256                                           0.27367                                           0.11496                                           0.09978                                           1.54057                                           
1.95 2.18                                         95.78324                                          0.26244                                           0.15555                                           -0.06434                                          0.18797                                           0.25689                                           0.00894                                           0.28487                                           0.07077                                           0.01534                                           0.03954                                           0.04123                                           0.54673                                           -0.33638                                          -0.38034                                          -0.49446                                          0.13522                                           0.06168                                           1.40782                                           -0.75050                                          0.24750                                           0.02917                                           0.34364                                           -0.21636                                          0.10486                                           0.34170                                           0.32280                                           0.09440                                           2.01389                                           
2.18 2.4                                          91.78134                                          0.25362                                           0.14548                                           -0.00649                                          0.19842                                           0.24118                                           0.00880                                           0.28456                                           0.06891                                           0.01470                                           0.02954                                           0.05248                                           0.52359                                           -0.36161                                          -0.35848                                          -0.45027                                          0.06728                                           0.09168                                           1.69756                                           -1.15616                                          0.35223                                           0.02674                                           0.41514                                           -0.28757                                          0.14714                                           0.39273                                           0.58777                                           0.09276                                           2.46692                                           
