30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            104.39818                                         0.34931                                           0.28626                                           -0.24589                                          0.13810                                           0.05049                                           0.05490                                           0.65541                                           0.17715                                           0.05972                                           -0.05574                                          -0.06344                                          -0.09347                                          0.14343                                           0.04211                                           0.95004                                           0.19180                                           -0.30252                                          -0.18580                                          1.20751                                           0.60956                                           0.01419                                           0.82325                                           0.57110                                           0.37565                                           0.33311                                           0.43074                                           2.23752                                           
0.21 0.42                                         104.44259                                         0.30258                                           0.19906                                           -0.20212                                          0.13935                                           0.10273                                           0.05540                                           0.58132                                           0.06069                                           0.05974                                           0.01590                                           0.01596                                           -0.08867                                          0.13663                                           0.14132                                           0.91796                                           0.22599                                           -0.06350                                          -0.27665                                          1.24138                                           0.42740                                           0.03140                                           0.83250                                           0.54880                                           0.38283                                           0.64964                                           0.38703                                           2.21750                                           
0.42 0.63                                         102.59151                                         0.30346                                           0.19016                                           -0.19345                                          0.13927                                           -0.00899                                          0.05494                                           0.55921                                           0.05513                                           0.05868                                           -0.02179                                          -0.02014                                          -0.07253                                          0.11566                                           -0.02749                                          0.96435                                           0.24714                                           -0.18069                                          -0.31301                                          1.22725                                           0.32473                                           0.02062                                           0.83640                                           0.53785                                           0.43307                                           0.37584                                           0.37782                                           2.15165                                           
0.63 0.84                                         105.84187                                         0.33761                                           0.25121                                           0.00125                                           0.14625                                           0.15990                                           0.05665                                           0.85103                                           0.05805                                           0.06054                                           0.02797                                           0.01267                                           -0.13693                                          0.14226                                           0.02028                                           1.06854                                           0.23684                                           -0.07069                                          -0.31609                                          1.24855                                           0.31711                                           0.02135                                           0.84919                                           0.58880                                           0.47855                                           0.65020                                           0.40778                                           2.39446                                           
0.84 1.05                                         105.50599                                         0.34247                                           0.26220                                           0.09475                                           0.15632                                           0.14976                                           0.05718                                           0.85364                                           0.09609                                           0.06035                                           0.01755                                           -0.02570                                          -0.09817                                          0.09968                                           0.14775                                           1.13315                                           0.28437                                           -0.06590                                          -0.25902                                          1.20145                                           0.33356                                           0.02563                                           0.91597                                           0.62020                                           0.51138                                           0.83257                                           0.42001                                           2.50166                                           
1.05 1.37                                         108.68198                                         0.25518                                           0.16029                                           0.12650                                           0.17186                                           0.11756                                           0.06632                                           0.51193                                           0.11136                                           0.06217                                           0.07206                                           -0.04761                                          -0.14806                                          0.12030                                           0.03345                                           1.12335                                           0.28895                                           -0.02068                                          -0.12152                                          1.14389                                           0.35663                                           0.02355                                           0.87484                                           0.59398                                           0.53720                                           0.47579                                           0.28983                                           2.21962                                           
1.37 1.52                                         109.15009                                         0.34086                                           0.17219                                           -0.05594                                          0.16487                                           -0.22659                                          0.05936                                           0.56272                                           0.06224                                           0.06243                                           -0.06583                                          0.01628                                           -0.11689                                          0.07996                                           0.20102                                           1.23482                                           0.26453                                           -0.15541                                          0.07525                                           1.03004                                           0.34144                                           0.04095                                           1.02430                                           0.71454                                           0.54579                                           0.60735                                           0.39553                                           2.38560                                           
1.52 1.74                                         110.94153                                         0.28171                                           0.14597                                           -0.03458                                          0.17232                                           0.06274                                           0.05969                                           0.45285                                           0.05027                                           0.06346                                           0.03827                                           0.06930                                           -0.11843                                          0.06724                                           0.25160                                           1.40728                                           0.36245                                           -0.08060                                          0.27997                                           0.92818                                           0.32325                                           0.04403                                           1.08959                                           0.44651                                           0.54217                                           0.82155                                           0.34272                                           2.44888                                           
1.74 1.95                                         112.84532                                         0.30301                                           0.15980                                           -0.01587                                          0.18453                                           0.13475                                           0.06190                                           0.49933                                           0.06605                                           0.06455                                           -0.03530                                          0.07318                                           -0.08453                                          0.06936                                           0.27406                                           1.31402                                           0.28025                                           0.11607                                           0.57668                                           0.77700                                           0.32671                                           0.04401                                           1.09469                                           0.62077                                           0.50345                                           2.01248                                           0.33981                                           3.04954                                           
1.95 2.18                                         108.32895                                         0.27572                                           0.15775                                           -0.09505                                          0.18704                                           0.30064                                           0.05824                                           0.51497                                           0.07975                                           0.06196                                           -0.06721                                          -0.18164                                          -0.17786                                          0.13007                                           0.26697                                           1.26179                                           0.26129                                           -0.04162                                          0.89522                                           0.55322                                           0.39652                                           0.03265                                           1.05130                                           0.44160                                           0.49337                                           1.38876                                           0.33755                                           2.66637                                           
2.18 2.4                                          98.52013                                          0.27495                                           0.15526                                           -0.03931                                          0.18240                                           0.27269                                           0.05309                                           0.47542                                           0.07428                                           0.05635                                           -0.07817                                          -0.17409                                          -0.19297                                          -0.10801                                          0.27992                                           1.07103                                           0.23958                                           0.08051                                           1.18412                                           0.29676                                           0.53454                                           0.03091                                           1.00374                                           0.38456                                           0.43905                                           1.54480                                           0.30103                                           2.71063                                           
