30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            170.44750                                         0.45116                                           0.40419                                           -0.38984                                          0.22200                                           0.07780                                           0.02173                                           0.82702                                           0.28783                                           0.04320                                           -0.03455                                          -0.01759                                          0.01472                                           0.11232                                           -0.24205                                          -0.72380                                          0.09124                                           -0.01764                                          0.19697                                           -0.66439                                          0.92328                                           0.03564                                           0.18366                                           -0.21179                                          0.15896                                           0.50516                                           0.19447                                           1.86442                                           
0.21 0.42                                         169.39355                                         0.38157                                           0.30893                                           -0.26591                                          0.22140                                           0.15684                                           0.02163                                           0.66675                                           0.09845                                           0.04294                                           -0.04562                                          0.01154                                           0.07273                                           0.04413                                           -0.20011                                          -0.67795                                          0.09616                                           -0.03391                                          0.38406                                           -0.91062                                          0.64461                                           0.03619                                           0.20088                                           -0.40018                                          0.17401                                           0.42553                                           0.18861                                           1.74837                                           
0.42 0.63                                         169.82849                                         0.38644                                           0.31315                                           -0.31676                                          0.22416                                           -0.00769                                          0.02167                                           0.67329                                           0.09132                                           0.04305                                           0.01989                                           0.05059                                           0.12315                                           -0.06016                                          -0.25027                                          -0.75551                                          0.03959                                           0.15417                                           0.51649                                           -1.12289                                          0.49299                                           0.01545                                           0.20381                                           -0.36083                                          0.16650                                           0.34157                                           0.17730                                           1.87394                                           
0.63 0.84                                         171.12464                                         0.42213                                           0.36569                                           -0.09474                                          0.23133                                           0.24172                                           0.02191                                           0.87738                                           0.09418                                           0.04337                                           0.02352                                           0.00854                                           0.08932                                           -0.02262                                          -0.26186                                          -0.71970                                          0.06207                                           0.11222                                           0.59507                                           -1.30163                                          0.45883                                           0.04181                                           0.19391                                           -0.21429                                          0.18151                                           0.51189                                           0.19901                                           2.08003                                           
0.84 1.05                                         170.36946                                         0.42824                                           0.34959                                           0.02036                                           0.25586                                           0.23223                                           0.03276                                           0.88292                                           0.15284                                           0.04318                                           0.02178                                           0.04419                                           0.07420                                           0.03974                                           -0.28122                                          -0.70953                                          0.03859                                           0.13022                                           0.60921                                           -1.42414                                          0.47621                                           0.07727                                           0.24820                                           -0.26084                                          0.22621                                           0.35818                                           0.20161                                           2.15410                                           
1.05 1.37                                         174.06834                                         0.32166                                           0.23438                                           0.15299                                           0.25492                                           0.17558                                           0.02252                                           0.48301                                           0.17787                                           0.04412                                           -0.06657                                          -0.07196                                          0.17051                                           -0.03470                                          -0.29047                                          -0.75299                                          0.03973                                           0.01232                                           0.56015                                           -1.56038                                          0.50394                                           0.04312                                           0.23655                                           -0.32683                                          0.27580                                           0.41885                                           0.14490                                           2.13873                                           
1.37 1.52                                         174.34895                                         0.43399                                           0.26072                                           -0.05914                                          0.26460                                           -0.32440                                          0.02270                                           0.56225                                           0.09960                                           0.04419                                           -0.03599                                          -0.18008                                          0.11644                                           -0.03975                                          -0.30352                                          -0.72760                                          0.14596                                           0.16764                                           0.42728                                           -1.60031                                          0.48068                                           0.02123                                           0.21521                                           -0.49380                                          0.33948                                           0.66430                                           0.19394                                           2.27033                                           
1.52 1.74                                         177.35371                                         0.35490                                           0.22946                                           -0.05948                                          0.28318                                           0.09051                                           0.02372                                           0.53576                                           0.08047                                           0.04495                                           -0.13635                                          -0.11934                                          0.19798                                           -0.07484                                          -0.32066                                          -0.83276                                          0.07474                                           -0.05851                                          0.27475                                           -1.62010                                          0.45229                                           0.02137                                           0.24591                                           -0.44374                                          0.39795                                           0.55635                                           0.15639                                           2.23128                                           
1.74 1.95                                         175.82410                                         0.36062                                           0.21331                                           -0.01424                                          0.31084                                           0.20097                                           0.02315                                           0.55034                                           0.10285                                           0.04457                                           0.03275                                           -0.11692                                          0.09948                                           0.04498                                           -0.21997                                          -0.78826                                          0.04293                                           -0.06822                                          0.03025                                           -1.55571                                          0.43637                                           0.02938                                           0.25816                                           -0.53082                                          0.44705                                           0.39132                                           0.15896                                           2.13089                                           
1.95 2.18                                         176.95106                                         0.35477                                           0.23164                                           -0.10646                                          0.32835                                           0.47459                                           0.02317                                           0.60168                                           0.13023                                           0.04485                                           -0.02367                                          -0.32584                                          0.07885                                           0.02890                                           -0.24087                                          -0.79826                                          0.02391                                           -0.07004                                          -0.28376                                          -1.46736                                          0.54713                                           0.04305                                           0.27636                                           -0.60849                                          0.46436                                           0.60268                                           0.15048                                           2.27532                                           
2.18 2.4                                          175.18908                                         0.36751                                           0.22743                                           -0.01167                                          0.34924                                           0.47736                                           0.02338                                           0.64245                                           0.13176                                           0.04441                                           -0.12299                                          -0.43698                                          -0.07864                                          -0.12215                                          -0.29669                                          -0.82705                                          0.05501                                           -0.02778                                          -0.66624                                          -1.30514                                          0.80718                                           0.03726                                           0.30864                                           -0.48149                                          0.44226                                           0.61589                                           0.16128                                           2.35914                                           
