30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            93.28801                                          0.33020                                           0.29509                                           -0.22928                                          0.12423                                           0.04505                                           0.00841                                           0.45126                                           0.15793                                           0.01494                                           0.00425                                           -0.01846                                          0.42614                                           -0.53705                                          -0.29156                                          -0.38728                                          0.13236                                           -0.03191                                          0.39330                                           -1.03605                                          0.46783                                           0.02510                                           0.04879                                           -0.09118                                          0.12808                                           0.19836                                           0.13086                                           1.62513                                           
0.21 0.42                                         94.85810                                          0.29494                                           0.21030                                           -0.13662                                          0.12665                                           0.08742                                           0.00855                                           0.37546                                           0.05506                                           0.01519                                           -0.02076                                          -0.01912                                          0.42688                                           -0.58146                                          -0.30725                                          -0.45340                                          0.05969                                           0.07665                                           0.32780                                           -0.66078                                          0.33332                                           0.01639                                           0.02607                                           -0.07292                                          0.12735                                           0.30713                                           0.11384                                           1.35881                                           
0.42 0.63                                         95.21131                                          0.28553                                           0.20927                                           -0.20154                                          0.12851                                           -0.00390                                          0.00858                                           0.37008                                           0.05116                                           0.01524                                           -0.04623                                          -0.05262                                          0.42925                                           -0.44946                                          -0.30963                                          -0.46169                                          0.13470                                           -0.06813                                          0.29962                                           -0.35572                                          0.25669                                           0.01947                                           0.01513                                           -0.17319                                          0.12539                                           0.21215                                           0.10319                                           1.16103                                           
0.63 0.84                                         93.69819                                          0.30095                                           0.24283                                           -0.09525                                          0.12990                                           0.13350                                           0.00865                                           0.44316                                           0.05162                                           0.01500                                           0.01947                                           0.02870                                           0.53586                                           -0.48728                                          -0.33924                                          -0.45399                                          0.08732                                           0.05681                                           0.30824                                           -0.13272                                          0.23650                                           0.01351                                           0.01171                                           -0.24171                                          0.13803                                           0.25050                                           0.12691                                           1.21866                                           
0.84 1.05                                         93.98203                                          0.32089                                           0.28389                                           0.02087                                           0.13864                                           0.12147                                           0.00849                                           0.44419                                           0.08407                                           0.01505                                           0.02283                                           0.02852                                           0.49384                                           -0.46991                                          -0.33478                                          -0.36962                                          0.14849                                           -0.01313                                          0.36504                                           -0.00064                                          0.24939                                           0.02220                                           0.02161                                           -0.23727                                          0.13228                                           0.16279                                           0.12526                                           1.17005                                           
1.05 1.37                                         97.73862                                          0.23591                                           0.16533                                           0.08946                                           0.14589                                           0.09851                                           0.00886                                           0.23601                                           0.10012                                           0.01565                                           0.05057                                           -0.03238                                          0.57813                                           -0.40740                                          -0.34598                                          -0.42716                                          0.11157                                           0.14274                                           0.51592                                           0.04625                                           0.26955                                           0.02185                                           0.01597                                           -0.18492                                          0.13743                                           0.37488                                           0.08193                                           1.23013                                           
1.37 1.52                                         96.87558                                          0.31672                                           0.17508                                           -0.02027                                          0.15036                                           -0.18042                                          0.00927                                           0.26595                                           0.05524                                           0.01551                                           -0.04727                                          0.10856                                           0.59011                                           -0.40035                                          -0.35361                                          -0.40136                                          0.12544                                           0.11048                                           0.68945                                           -0.03039                                          0.25507                                           0.02029                                           0.08689                                           -0.16345                                          0.16079                                           0.32105                                           0.12348                                           1.31039                                           
1.52 1.74                                         98.17671                                          0.25820                                           0.13292                                           -0.02777                                          0.16065                                           0.04789                                           0.00897                                           0.22639                                           0.04463                                           0.01572                                           0.10345                                           -0.08884                                          0.53625                                           -0.35982                                          -0.35582                                          -0.46172                                          0.12802                                           0.09609                                           0.87983                                           -0.17032                                          0.24030                                           0.02325                                           0.16375                                           -0.16348                                          0.19275                                           0.18700                                           0.09699                                           1.37754                                           
1.74 1.95                                         96.38591                                          0.26073                                           0.13539                                           -0.00040                                          0.17103                                           0.10940                                           0.00947                                           0.24052                                           0.05645                                           0.01543                                           -0.05892                                          0.02901                                           0.52977                                           -0.33588                                          -0.33148                                          -0.44119                                          0.10066                                           0.06764                                           1.11288                                           -0.41195                                          0.23202                                           0.02878                                           0.20907                                           -0.15271                                          0.26351                                           0.13147                                           0.09409                                           1.56953                                           
1.95 2.18                                         97.10999                                          0.26499                                           0.14102                                           -0.06366                                          0.19025                                           0.26035                                           0.00908                                           0.28881                                           0.07175                                           0.01555                                           0.04201                                           0.03432                                           0.55417                                           -0.34145                                          -0.38747                                          -0.50445                                          0.13703                                           0.05989                                           1.42563                                           -0.76324                                          0.29249                                           0.02937                                           0.35113                                           -0.22482                                          0.33168                                           0.34935                                           0.09359                                           2.04607                                           
2.18 2.4                                          93.04361                                          0.25918                                           0.13961                                           -0.00672                                          0.20123                                           0.25173                                           0.00896                                           0.28848                                           0.06986                                           0.01490                                           0.03158                                           0.05066                                           0.53436                                           -0.37092                                          -0.36551                                          -0.46189                                          0.06740                                           0.08245                                           1.71190                                           -1.16861                                          0.41540                                           0.02727                                           0.42177                                           -0.27999                                          0.37998                                           0.65190                                           0.09967                                           2.51035                                           
