30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            102.38808                                         0.34603                                           0.28851                                           -0.26835                                          0.13402                                           -0.04526                                          0.03536                                           0.52843                                           0.17566                                           0.03909                                           -0.02796                                          -0.05298                                          -0.15741                                          -0.25672                                          -0.08422                                          -0.18220                                          0.08222                                           0.10846                                           0.12328                                           -1.00414                                          0.71418                                           0.04542                                           0.42084                                           -0.03918                                          0.20894                                           0.46161                                           0.24487                                           1.63468                                           
0.21 0.42                                         102.04002                                         0.30658                                           0.21265                                           -0.07497                                          0.13383                                           0.00533                                           0.03788                                           0.45649                                           0.05744                                           0.03896                                           0.01941                                           -0.02370                                          -0.14597                                          -0.22546                                          -0.04167                                          -0.15551                                          0.06673                                           0.08249                                           0.04387                                           -0.69665                                          0.49612                                           0.04891                                           0.40499                                           -0.01030                                          0.20663                                           0.34326                                           0.21592                                           1.22503                                           
0.42 0.63                                         101.13471                                         0.30239                                           0.19825                                           -0.15604                                          0.13718                                           -0.05095                                          0.03827                                           0.47534                                           0.05441                                           0.03861                                           -0.01935                                          -0.05122                                          -0.11087                                          -0.17087                                          -0.02371                                          -0.19603                                          0.06589                                           -0.03084                                          -0.01626                                          -0.45012                                          0.38068                                           0.04359                                           0.38770                                           -0.12211                                          0.21296                                           0.38035                                           0.20923                                           1.07444                                           
0.63 0.84                                         98.10916                                          0.30687                                           0.24220                                           -0.03386                                          0.13372                                           -0.11258                                          0.03428                                           0.63905                                           0.05680                                           0.03746                                           0.01229                                           -0.01424                                          -0.10219                                          -0.14394                                          -0.07227                                          -0.10656                                          0.02854                                           -0.09320                                          -0.05573                                          -0.26270                                          0.35298                                           0.03189                                           0.38258                                           -0.04736                                          0.25709                                           0.27962                                           0.23542                                           1.05270                                           
0.84 1.05                                         96.34470                                          0.32377                                           0.25337                                           0.07938                                           0.14017                                           0.00296                                           0.03379                                           0.63761                                           0.08772                                           0.03678                                           -0.01453                                          -0.04261                                          -0.09777                                          -0.12427                                          -0.07833                                          -0.19053                                          0.06568                                           -0.03848                                          -0.07631                                          -0.14529                                          0.36850                                           0.04642                                           0.35505                                           -0.11579                                          0.26789                                           1.05348                                           0.22246                                           1.45519                                           
1.05 1.37                                         94.55624                                          0.23036                                           0.15225                                           0.09996                                           0.14065                                           -0.08692                                          0.03379                                           0.34339                                           0.09679                                           0.03610                                           0.02021                                           0.03990                                           -0.15784                                          -0.14137                                          -0.04875                                          -0.06392                                          0.04452                                           -0.10228                                          -0.07687                                          -0.08446                                          0.37666                                           0.03620                                           0.31563                                           -0.07305                                          0.35465                                           0.44628                                           0.16468                                           0.93236                                           
1.37 1.52                                         90.81426                                          0.31880                                           0.16098                                           -0.03169                                          0.14046                                           -0.00017                                          0.03286                                           0.37521                                           0.05138                                           0.03467                                           0.09755                                           0.04157                                           -0.23077                                          -0.18041                                          -0.03683                                          -0.04161                                          0.09330                                           -0.05823                                          -0.05333                                          -0.10461                                          0.34566                                           0.03623                                           0.27722                                           -0.00986                                          0.40042                                           0.44301                                           0.21400                                           0.95838                                           
1.52 1.74                                         87.83994                                          0.25296                                           0.12431                                           -0.03026                                          0.14241                                           -0.02061                                          0.03199                                           0.32442                                           0.04110                                           0.03354                                           0.02671                                           -0.01243                                          -0.17728                                          -0.13241                                          -0.05178                                          0.02682                                           0.09214                                           0.03228                                           -0.02179                                          -0.16576                                          0.31316                                           0.03529                                           0.31776                                           -0.06974                                          0.41427                                           0.25592                                           0.18019                                           0.84357                                           
1.74 1.95                                         83.19103                                          0.24796                                           0.13305                                           -0.04662                                          0.14261                                           -0.06735                                          0.03038                                           0.30287                                           0.04704                                           0.03176                                           0.01508                                           0.04045                                           -0.15286                                          -0.12950                                          -0.01969                                          -0.02560                                          0.05277                                           -0.05798                                          0.02704                                           -0.27702                                          0.29902                                           0.04214                                           0.28437                                           -0.18979                                          0.39675                                           0.32449                                           0.16291                                           0.87442                                           
1.95 2.18                                         80.55223                                          0.25122                                           0.13398                                           -0.06655                                          0.14748                                           0.01555                                           0.02935                                           0.32446                                           0.05853                                           0.03076                                           -0.03086                                          0.03167                                           -0.14262                                          -0.13449                                          -0.02297                                          0.05511                                           0.07265                                           -0.05269                                          0.08944                                           -0.43991                                          0.36999                                           0.02576                                           0.30617                                           -0.11014                                          0.38116                                           0.31772                                           0.16420                                           0.96178                                           
2.18 2.4                                          77.02522                                          0.24457                                           0.15205                                           0.02545                                           0.15067                                           -0.00211                                          0.02793                                           0.32634                                           0.05466                                           0.02941                                           0.01667                                           0.12379                                           -0.15310                                          -0.10355                                          -0.02891                                          -0.06797                                          0.06400                                           -0.03483                                          0.16342                                           -0.64129                                          0.52350                                           0.03649                                           0.30314                                           -0.11960                                          0.33587                                           0.43987                                           0.16918                                           1.17157                                           
