30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            65.07806                                          0.28667                                           0.21540                                           -0.15761                                          0.08841                                           -0.02707                                          0.03524                                           0.42317                                           0.11213                                           0.03722                                           0.02637                                           0.02370                                           -0.07299                                          -0.07892                                          0.06299                                           0.53347                                           0.16570                                           -0.01897                                          -0.37913                                          1.09641                                           0.42436                                           0.01906                                           0.54132                                           0.31871                                           0.30579                                           0.23872                                           0.35445                                           1.67340                                           
0.21 0.42                                         66.23856                                          0.25219                                           0.16939                                           -0.08295                                          0.08934                                           0.00473                                           0.03557                                           0.36663                                           0.03722                                           0.03789                                           -0.02322                                          0.02672                                           -0.07985                                          -0.12835                                          0.04847                                           0.59754                                           0.09944                                           -0.03249                                          -0.32289                                          0.73675                                           0.30155                                           0.02641                                           0.57951                                           0.44128                                           0.28424                                           0.71069                                           0.30786                                           1.58947                                           
0.42 0.63                                         64.13696                                          0.24715                                           0.16795                                           -0.10397                                          0.08888                                           -0.03396                                          0.03508                                           0.37078                                           0.03455                                           0.03669                                           -0.03440                                          0.02292                                           -0.16666                                          -0.14937                                          0.11712                                           0.58693                                           0.16422                                           0.08967                                           -0.26358                                          0.40317                                           0.22762                                           0.01568                                           0.55571                                           0.30046                                           0.33472                                           0.29389                                           0.30277                                           1.26790                                           
0.63 0.84                                         62.48896                                          0.26795                                           0.18558                                           -0.05029                                          0.08864                                           -0.08104                                          0.03447                                           0.51806                                           0.03631                                           0.03574                                           0.01563                                           0.01461                                           -0.10423                                          -0.10289                                          0.04682                                           0.62622                                           0.17466                                           -0.14545                                          -0.22063                                          0.14610                                           0.21358                                           0.01758                                           0.52833                                           0.41275                                           0.35343                                           0.24267                                           0.31408                                           1.28038                                           
0.84 1.05                                         60.14095                                          0.26243                                           0.18897                                           0.08195                                           0.09228                                           0.00360                                           0.03378                                           0.52682                                           0.05608                                           0.03440                                           -0.02108                                          0.01702                                           -0.13389                                          -0.13736                                          0.09781                                           0.70738                                           0.14561                                           0.03289                                           -0.18871                                          -0.04340                                          0.21910                                           0.03091                                           0.54289                                           0.30989                                           0.40365                                           0.41660                                           0.33542                                           1.35275                                           
1.05 1.37                                         57.89902                                          0.19178                                           0.11312                                           0.04218                                           0.08921                                           -0.05622                                          0.03274                                           0.25340                                           0.05970                                           0.03312                                           -0.13144                                          -0.07393                                          -0.18539                                          -0.11105                                          -0.03381                                          0.62265                                           0.13773                                           0.02812                                           -0.16834                                          -0.19192                                          0.21979                                           0.03320                                           0.46286                                           0.33427                                           0.40437                                           0.28243                                           0.22264                                           1.14328                                           
1.37 1.52                                         57.06208                                          0.25214                                           0.11370                                           0.00328                                           0.08946                                           -0.00014                                          0.03215                                           0.28806                                           0.03232                                           0.03264                                           -0.08457                                          -0.10008                                          -0.17307                                          -0.10818                                          0.09983                                           0.69480                                           0.16337                                           0.08973                                           -0.16840                                          -0.25282                                          0.20707                                           0.01251                                           0.55062                                           0.45316                                           0.38553                                           0.50089                                           0.29788                                           1.35109                                           
1.52 1.74                                         54.79649                                          0.20818                                           0.09509                                           -0.02689                                          0.08978                                           -0.01393                                          0.03113                                           0.22457                                           0.02556                                           0.03134                                           0.05258                                           -0.03344                                          -0.09720                                          -0.09052                                          0.09469                                           0.69935                                           0.13947                                           -0.06705                                          -0.17257                                          -0.24803                                          0.18626                                           0.01765                                           0.56771                                           0.19049                                           0.39077                                           0.77008                                           0.24684                                           1.38063                                           
1.74 1.95                                         53.13128                                          0.20344                                           0.09176                                           -0.03627                                          0.09081                                           -0.04385                                          0.03005                                           0.22896                                           0.03005                                           0.03039                                           -0.01474                                          -0.03982                                          -0.07793                                          -0.04013                                          0.11405                                           0.69541                                           0.14070                                           0.14359                                           -0.18921                                          -0.20039                                          0.18156                                           0.01474                                           0.54236                                           0.40197                                           0.36471                                           0.54127                                           0.21961                                           1.28867                                           
1.95 2.18                                         50.43398                                          0.19479                                           0.09462                                           -0.05105                                          0.09147                                           0.00945                                           0.02848                                           0.23586                                           0.03662                                           0.02885                                           -0.04428                                          -0.04848                                          -0.10578                                          -0.04633                                          0.10223                                           0.65225                                           0.17457                                           -0.11756                                          -0.21104                                          -0.10264                                          0.21899                                           0.03532                                           0.50073                                           0.28381                                           0.33626                                           0.55243                                           0.22455                                           1.21683                                           
2.18 2.4                                          48.44464                                          0.19492                                           0.09584                                           0.02949                                           0.09263                                           -0.00285                                          0.02708                                           0.24852                                           0.03446                                           0.02771                                           0.01487                                           -0.06382                                          -0.05541                                          -0.03905                                          0.17617                                           0.73108                                           0.11749                                           0.01680                                           -0.24383                                          0.03631                                           0.31027                                           0.02679                                           0.45707                                           0.24026                                           0.29200                                           0.31238                                           0.22649                                           1.15331                                           
