OBJ: TTree	physics	physics : 0 at: 0x9ddc6c0
MuonBoy 48 189751	20048 : -160.49058	  60.49502	 196.25737  |  -160.49057	  60.49502	 196.25734 *** True
MuonBoy 49 189751	20049 :   50.85285	 -39.24611	 116.04362  |    50.85285	 -39.24612	 116.04362 *** True
MuonBoy 50 189751	20050 :    0.21540	  11.96704	  75.45349  |     0.21540	  11.96704	  75.45349 *** True
MuonBoy 51 189751	20051 :  -54.64395	  37.80346	  66.44594  |   -54.64395	  37.80346	  66.44594 *** True
MuonBoy 52 189751	20052 : -207.19846	-259.23264	 337.43050  |  -207.19846	-259.23264	 337.43050 *** True
MuonBoy 53 189751	20053 :  -15.19627	 -18.99476	  34.96756  |   -15.19627	 -18.99476	  34.96756 *** True
MuonBoy 54 189751	20054 : -357.97179	 110.77157	 376.15069  |  -357.97173	 110.77164	 376.15069 *** True
MuonBoy 55 189751	20055 :   61.66818	  14.62760	 126.71761  |    61.66817	  14.62761	 126.71761 *** True
MuonBoy 56 189751	20056 :   27.94044	 100.95081	 137.88270  |    27.94044	 100.95081	 137.88270 *** True
MuonBoy 57 189751	20057 :   84.76846	 -31.89564	 115.56723  |    84.76846	 -31.89564	 115.56723 *** True
MuonBoy 58 189751	20058 :   37.59919	 -80.30908	  97.49903  |    37.59917	 -80.30908	  97.49903 *** True
MuonBoy 59 189751	20059 :    0.00000	   0.00000	   0.00000  |     0.00000	   0.00000	   0.00000 *** True
MuonBoy 60 189751	20060 :   -8.06844	 196.57194	 196.78192  |    -8.06846	 196.57193	 196.78192 *** True
MuonBoy 61 189751	20061 :   17.66013	  -0.70756	  77.99520  |    17.66013	  -0.70755	  77.99520 *** True
MuonBoy 62 189751	20062 :   29.59219	 -69.05553	 110.79195  |    29.59219	 -69.05553	 110.79193 *** True
MuonBoy 63 189751	20063 :   13.14208	 -50.76452	  55.32347  |    13.14208	 -50.76452	  55.32347 *** True
MuonBoy 64 189751	20064 :   36.02248	   7.10485	  36.71645  |    36.02248	   7.10485	  36.71645 *** True
MuonBoy 65 189751	20065 :   49.61333	  -4.38582	  49.80680  |    49.61333	  -4.38582	  49.80680 *** True
MuonBoy 66 189751	20066 :  -62.34860	  54.61892	 109.20002  |   -62.34858	  54.61893	 109.20000 *** True
MuonBoy 67 189751	20067 :  -62.91604	  13.96846	  64.44801  |   -62.91605	  13.96846	  64.44802 *** True
MuonBoy 68 189751	20068 : -101.19089	 -66.89410	 170.09378  |  -101.19090	 -66.89411	 170.09378 *** True
MuonBoy 69 189751	20069 :   13.71140	  22.14908	  26.04965  |    13.71141	  22.14908	  26.04965 *** True
MuonBoy 70 189751	20070 :  -42.79014	  61.94843	 104.86548  |   -42.79012	  61.94844	 104.86548 *** True
MuonBoy 71 189751	20071 :  -23.42419	  -8.98402	  25.08795  |   -23.42419	  -8.98402	  25.08795 *** True
MuonBoy 72 189751	20072 :  -11.16291	 -17.03219	  20.36433  |   -11.16291	 -17.03219	  20.36433 *** True
MuonBoy 73 189751	20073 :   19.56177	  12.92002	  90.01499  |    19.56177	  12.92002	  90.01500 *** True
MuonBoy 74 189751	20074 :  -42.19452	 119.39110	 147.64158  |   -42.19452	 119.39109	 147.64156 *** True
MuonBoy 75 189751	20075 :   -5.73546	 -72.63172	 112.92337  |    -5.73546	 -72.63172	 112.92336 *** True
MuonBoy 76 189751	20076 :  -30.13102	  -1.46910	  86.83734  |   -30.13102	  -1.46910	  86.83734 *** True
MuonBoy 77 189751	20077 :  -24.55006	  43.08338	 107.21143  |   -24.55006	  43.08337	 107.21141 *** True
MuonBoy 78 189751	20078 : -123.04813	 -90.35105	 162.50091  |  -123.04812	 -90.35104	 162.50089 *** True
MuonBoy 79 189751	20079 :  123.98310	  73.23929	 175.81833  |   123.98307	  73.23927	 175.81831 *** True
MuonBoy 80 189751	20080 :  -14.12465	 100.08118	 108.51355  |   -14.12465	 100.08118	 108.51353 *** True
MuonBoy 81 189751	20081 :  -33.47339	 -53.07304	 113.91267  |   -33.47339	 -53.07305	 113.91266 *** True
MuonBoy 82 189751	20082 :  -53.01830	  57.41530	  78.15022  |   -53.01830	  57.41529	  78.15020 *** True
MuonBoy 83 189751	20083 :   -2.35421	 -66.55582	 110.86301  |    -2.35421	 -66.55581	 110.86300 *** True
MuonBoy 84 189751	20084 :  -31.17172	-104.50172	 124.83443  |   -31.17172	-104.50172	 124.83443 *** True
MuonBoy 85 189751	20085 : -115.20250	-155.70040	 194.76634  |  -115.20249	-155.70039	 194.76634 *** True
MuonBoy 86 189751	20086 :  130.36435	 -22.92409	 148.89828  |   130.36433	 -22.92409	 148.89827 *** True
MuonBoy 87 189751	20087 :   29.47648	  66.53739	 103.93956  |    29.47649	  66.53738	 103.93956 *** True
MuonBoy 88 189751	20088 :   33.87642	  41.33335	 101.54603  |    33.87643	  41.33334	 101.54603 *** True
MuonBoy 89 189751	20089 :   31.88264	 170.57469	 183.27191  |    31.88264	 170.57469	 183.27189 *** True
MuonBoy 90 189751	20090 :    7.05843	 -32.86601	  33.61541  |     7.05843	 -32.86601	  33.61541 *** True
MuonBoy 91 189751	20091 :   43.79631	 -10.01041	 103.33336  |    43.79631	 -10.01041	 103.33336 *** True
MuonBoy 92 189751	20092 :   42.73068	  20.66186	  99.93895  |    42.73069	  20.66186	  99.93894 *** True
MuonBoy 93 189751	20093 :  -59.46300	  -7.72700	 106.31014  |   -59.46300	  -7.72702	 106.31013 *** True
MuonBoy 94 189751	20094 :  -63.72865	 104.69240	 142.20786  |   -63.72865	 104.69240	 142.20786 *** True
MuonBoy 95 189751	20095 : -113.00224	-228.78826	 270.18528  |  -113.00223	-228.78824	 270.18528 *** True
MuonBoy 96 189751	20096 :    5.95047	  -5.35000	   8.00191  |     5.95047	  -5.35000	   8.00191 *** True
MuonBoy 97 189751	20097 :  -26.76305	  56.11296	  62.16852  |   -26.76305	  56.11296	  62.16852 *** True
MuonBoy 98 189751	20098 : -139.09836	  -9.45140	 174.42417  |  -139.09836	  -9.45140	 174.42417 *** True
MuonBoy 99 189751	20099 :  -22.08449	  86.81086	 112.04258  |   -22.08449	  86.81085	 112.04258 *** True
MuonBoy 100 189751	20100 :    1.20484	  21.15852	  21.19279  |     1.20484	  21.15852	  21.19279 *** True
TOTAL ERRORS: 0
